cost_scenario_id,slippage_bps_per_side,statutory_costs_enabled,commission_enabled,gross_scenario,reference_execution_scenario,counterfactual_cost_shadow,deployment_interpretation_allowed,run_id,contract_version
GROSS,0,False,False,True,False,True,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
SLIP000,0,True,True,False,False,True,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
SLIP005,5,True,True,False,True,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
SLIP010,10,True,True,False,False,True,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
SLIP020,20,True,True,False,False,True,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
SLIP040,40,True,True,False,False,True,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
