membership_date,board_bucket,eligible_count,board_quota,kept_count,quota_fill_rate,quota_shortfall_count,quota_shortfall_reason,rank_cutoff_market_cap_cny
2017-01-03,chinext,121,100,100,1.0,0,,4226502800.0
2017-01-03,main_board,1350,400,400,1.0,0,,13651538815.42
2017-01-04,chinext,122,100,100,1.0,0,,4284552000.0
2017-01-04,main_board,1354,400,400,1.0,0,,13786049030.6
2017-01-05,chinext,122,100,100,1.0,0,,4275993600.0
2017-01-05,main_board,1352,400,400,1.0,0,,13682865702.78
2017-01-06,chinext,122,100,100,1.0,0,,4219088000.0
2017-01-06,main_board,1355,400,400,1.0,0,,13675446939.439999
2017-01-09,chinext,122,100,100,1.0,0,,4252838400.0
2017-01-09,main_board,1355,400,400,1.0,0,,13673456896.0
2017-01-10,chinext,124,100,100,1.0,0,,4199141214.4
2017-01-10,main_board,1354,400,400,1.0,0,,13646399937.300001
2017-01-11,chinext,124,100,100,1.0,0,,4141600000.0
2017-01-11,main_board,1353,400,400,1.0,0,,13389975000.0
2017-01-12,chinext,125,100,100,1.0,0,,4048300800.0
2017-01-12,main_board,1357,400,400,1.0,0,,13289585164.699999
2017-01-13,chinext,125,100,100,1.0,0,,3956992000.0
2017-01-13,main_board,1360,400,400,1.0,0,,13040475808.83
2017-01-16,chinext,125,100,100,1.0,0,,3706523999.9999995
2017-01-16,main_board,1356,400,400,1.0,0,,12770025629.4
2017-01-17,chinext,124,100,100,1.0,0,,3727987200.0
2017-01-17,main_board,1356,400,400,1.0,0,,12832626000.0
2017-01-18,chinext,124,100,100,1.0,0,,3681676799.9999995
2017-01-18,main_board,1360,400,400,1.0,0,,12958559265.0
2017-01-19,chinext,124,100,100,1.0,0,,3646943999.9999995
2017-01-19,main_board,1358,400,400,1.0,0,,12853489849.2
2017-01-20,chinext,124,100,100,1.0,0,,3725928008.0
2017-01-20,main_board,1363,400,400,1.0,0,,13092229736.320002
2017-01-23,chinext,126,100,100,1.0,0,,3787560000.0
2017-01-23,main_board,1368,400,400,1.0,0,,13327721027.94
2017-01-24,chinext,126,100,100,1.0,0,,3788617360.0
2017-01-24,main_board,1369,400,400,1.0,0,,13294261276.550001
2017-01-25,chinext,126,100,100,1.0,0,,3839903999.9999995
2017-01-25,main_board,1371,400,400,1.0,0,,13271087084.9
2017-01-26,chinext,126,100,100,1.0,0,,3882085794.0
2017-01-26,main_board,1371,400,400,1.0,0,,13313089215.75
2017-02-03,chinext,126,100,100,1.0,0,,3821324848.0
2017-02-03,main_board,1369,400,400,1.0,0,,13336073184.06
2017-02-06,chinext,127,100,100,1.0,0,,3943200000.0
2017-02-06,main_board,1370,400,400,1.0,0,,13447009027.539999
2017-02-07,chinext,128,100,100,1.0,0,,3944347248.0
2017-02-07,main_board,1367,400,400,1.0,0,,13472823276.550001
2017-02-08,chinext,127,100,100,1.0,0,,3967905635.9999995
2017-02-08,main_board,1372,400,400,1.0,0,,13519469462.65
2017-02-09,chinext,126,100,100,1.0,0,,4001990399.9999995
2017-02-09,main_board,1369,400,400,1.0,0,,13589528638.0
2017-02-10,chinext,126,100,100,1.0,0,,4039049260.2
2017-02-10,main_board,1372,400,400,1.0,0,,13660310640.6
2017-02-13,chinext,126,100,100,1.0,0,,4017427200.0
2017-02-13,main_board,1374,400,400,1.0,0,,13805668982.52
2017-02-14,chinext,125,100,100,1.0,0,,3996000000.0
2017-02-14,main_board,1377,400,400,1.0,0,,13751778857.589998
2017-02-15,chinext,127,100,100,1.0,0,,4033891007.1600003
2017-02-15,main_board,1379,400,400,1.0,0,,13724348636.24
2017-02-16,chinext,127,100,100,1.0,0,,3995817846.1
2017-02-16,main_board,1381,400,400,1.0,0,,13798289947.300001
2017-02-17,chinext,128,100,100,1.0,0,,3968026222.75
2017-02-17,main_board,1381,400,400,1.0,0,,13763351977.3
2017-02-20,chinext,127,100,100,1.0,0,,4002316550.3999996
2017-02-20,main_board,1371,400,400,1.0,0,,13696462633.84
2017-02-21,chinext,129,100,100,1.0,0,,4186209300.0
2017-02-21,main_board,1376,400,400,1.0,0,,13813928735.76
2017-02-22,chinext,130,100,100,1.0,0,,4238909999.9999995
2017-02-22,main_board,1376,400,400,1.0,0,,14004420983.199999
2017-02-23,chinext,131,100,100,1.0,0,,4400000000.0
2017-02-23,main_board,1378,400,400,1.0,0,,13866473947.26
2017-02-24,chinext,131,100,100,1.0,0,,4449600000.0
2017-02-24,main_board,1377,400,400,1.0,0,,13898880000.0
2017-02-27,chinext,131,100,100,1.0,0,,4440000000.0
2017-02-27,main_board,1378,400,400,1.0,0,,13745700707.09
2017-02-28,chinext,132,100,100,1.0,0,,4461600000.0
2017-02-28,main_board,1377,400,400,1.0,0,,13867682136.0
2017-03-01,chinext,133,100,100,1.0,0,,4455360000.0
2017-03-01,main_board,1375,400,400,1.0,0,,13955337935.84
2017-03-02,chinext,133,100,100,1.0,0,,4473859067.28
2017-03-02,main_board,1377,400,400,1.0,0,,13883597126.56
2017-03-03,chinext,133,100,100,1.0,0,,4424301000.0
2017-03-03,main_board,1380,400,400,1.0,0,,13943657898.4
2017-03-06,chinext,134,100,100,1.0,0,,4560660000.0
2017-03-06,main_board,1381,400,400,1.0,0,,14051345913.05
2017-03-07,chinext,134,100,100,1.0,0,,4569600000.0
2017-03-07,main_board,1383,400,400,1.0,0,,14151915000.0
2017-03-08,chinext,135,100,100,1.0,0,,4538700000.0
2017-03-08,main_board,1382,400,400,1.0,0,,14133109783.519999
2017-03-09,chinext,135,100,100,1.0,0,,4587408000.0
2017-03-09,main_board,1382,400,400,1.0,0,,13988925720.0
2017-03-10,chinext,135,100,100,1.0,0,,4598415360.0
2017-03-10,main_board,1386,400,400,1.0,0,,14060273723.999998
2017-03-13,chinext,135,100,100,1.0,0,,4607280000.0
2017-03-13,main_board,1386,400,400,1.0,0,,14291673143.84
2017-03-14,chinext,135,100,100,1.0,0,,4583018880.0
2017-03-14,main_board,1389,400,400,1.0,0,,14278500472.499998
2017-03-15,chinext,135,100,100,1.0,0,,4627975717.38
2017-03-15,main_board,1390,400,400,1.0,0,,14299790735.999998
2017-03-16,chinext,135,100,100,1.0,0,,4678160400.0
2017-03-16,main_board,1389,400,400,1.0,0,,14465018387.5
2017-03-17,chinext,135,100,100,1.0,0,,4647944000.0
2017-03-17,main_board,1391,400,400,1.0,0,,14283058068.24
2017-03-20,chinext,134,100,100,1.0,0,,4694736550.79
2017-03-20,main_board,1388,400,400,1.0,0,,14386856400.0
2017-03-21,chinext,135,100,100,1.0,0,,4717484412.63
2017-03-21,main_board,1392,400,400,1.0,0,,14422402189.2
2017-03-22,chinext,136,100,100,1.0,0,,4684800000.0
2017-03-22,main_board,1393,400,400,1.0,0,,14198605533.84
