membership_date,board_bucket,listed_instrument_count,candidate_with_daily_bar_count,excluded_missing_daily_bar_count,excluded_not_listed_count,excluded_st_count,excluded_suspended_count,excluded_missing_market_cap_count,eligible_count,status_source
2017-02-06,main_board,2499,2173,326,0,58,0,0,1370,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-07,chinext,590,520,70,0,0,0,0,128,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-07,main_board,2501,2173,328,0,58,0,0,1367,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-08,chinext,592,522,70,0,0,0,0,127,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-08,main_board,2504,2180,324,0,59,0,0,1372,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-09,chinext,593,521,72,0,0,0,0,126,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-09,main_board,2506,2178,328,0,59,0,0,1369,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-10,chinext,593,520,73,0,0,0,0,126,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-10,main_board,2507,2182,325,0,59,0,0,1372,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-13,chinext,595,520,75,0,0,0,0,126,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-13,main_board,2510,2184,326,0,58,0,0,1374,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-14,chinext,595,519,76,0,0,0,0,125,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-14,main_board,2510,2184,326,0,58,0,0,1377,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-15,chinext,598,524,74,0,0,0,0,127,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-15,main_board,2511,2187,324,0,58,0,0,1379,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-16,chinext,598,524,74,0,0,0,0,127,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-16,main_board,2511,2186,325,0,58,0,0,1381,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-17,chinext,598,525,73,0,0,0,0,128,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-17,main_board,2513,2186,327,0,58,0,0,1381,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-20,chinext,600,525,75,0,0,0,0,127,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-20,main_board,2514,2170,344,0,58,0,0,1371,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-21,chinext,600,524,76,0,0,0,0,129,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-21,main_board,2515,2177,338,0,58,0,0,1376,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-22,chinext,600,525,75,0,0,0,0,130,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-22,main_board,2517,2178,339,0,58,0,0,1376,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-23,chinext,600,524,76,0,0,0,0,131,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-23,main_board,2517,2180,337,0,58,0,0,1378,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-24,chinext,600,524,76,0,0,0,0,131,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-24,main_board,2517,2179,338,0,58,0,0,1377,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-27,chinext,600,524,76,0,0,0,0,131,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-27,main_board,2517,2178,339,0,58,0,0,1378,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-28,chinext,601,525,76,0,0,0,0,132,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-28,main_board,2517,2177,340,0,58,0,0,1377,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-01,chinext,602,528,74,0,0,0,0,133,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-01,main_board,2517,2179,338,0,59,0,0,1375,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-02,chinext,602,527,75,0,0,0,0,133,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-02,main_board,2518,2184,334,0,60,0,0,1377,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-03,chinext,602,524,78,0,0,0,0,133,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-03,main_board,2518,2187,331,0,60,0,0,1380,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-06,chinext,603,526,77,0,0,0,0,134,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-06,main_board,2521,2190,331,0,59,0,0,1381,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-07,chinext,604,526,78,0,0,0,0,134,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-07,main_board,2522,2193,329,0,59,0,0,1383,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-08,chinext,604,526,78,0,0,0,0,135,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-08,main_board,2523,2191,332,0,59,0,0,1382,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-09,chinext,604,528,76,0,0,0,0,135,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-09,main_board,2523,2191,332,0,59,0,0,1382,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-10,chinext,605,530,75,0,0,0,0,135,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-10,main_board,2526,2195,331,0,59,0,0,1386,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-13,chinext,605,528,77,0,0,0,0,135,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-13,main_board,2528,2196,332,0,59,0,0,1386,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-14,chinext,606,528,78,0,0,0,0,135,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-14,main_board,2530,2199,331,0,57,0,0,1389,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-15,chinext,607,529,78,0,0,0,0,135,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-15,main_board,2531,2201,330,0,57,0,0,1390,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-16,chinext,608,528,80,0,0,0,0,135,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-16,main_board,2531,2200,331,0,57,0,0,1389,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-17,chinext,610,532,78,0,0,0,0,135,stock_info_sz_change_name_asof;daily_bar_presence
