membership_date,year,board_bucket,topn_count,fixed_cap_count,intersection_count,topn_only_count,fixed_cap_only_count,jaccard_overlap
2017-01-03,2017,chinext,100,4,4,96,0,0.04
2017-01-03,2017,main_board,400,78,78,322,0,0.195
2017-01-04,2017,chinext,100,5,5,95,0,0.05
2017-01-04,2017,main_board,400,79,79,321,0,0.1975
2017-01-05,2017,chinext,100,5,5,95,0,0.05
2017-01-05,2017,main_board,400,79,79,321,0,0.1975
2017-01-06,2017,chinext,100,4,4,96,0,0.04
2017-01-06,2017,main_board,400,79,79,321,0,0.1975
2017-01-09,2017,chinext,100,4,4,96,0,0.04
2017-01-09,2017,main_board,400,79,79,321,0,0.1975
2017-01-10,2017,chinext,100,4,4,96,0,0.04
2017-01-10,2017,main_board,400,79,79,321,0,0.1975
2017-01-11,2017,chinext,100,4,4,96,0,0.04
2017-01-11,2017,main_board,400,78,78,322,0,0.195
2017-01-12,2017,chinext,100,4,4,96,0,0.04
2017-01-12,2017,main_board,400,77,77,323,0,0.1925
2017-01-13,2017,chinext,100,4,4,96,0,0.04
2017-01-13,2017,main_board,400,79,79,321,0,0.1975
2017-01-16,2017,chinext,100,4,4,96,0,0.04
2017-01-16,2017,main_board,400,81,81,319,0,0.2025
2017-01-17,2017,chinext,100,4,4,96,0,0.04
2017-01-17,2017,main_board,400,80,80,320,0,0.2
2017-01-18,2017,chinext,100,4,4,96,0,0.04
2017-01-18,2017,main_board,400,80,80,320,0,0.2
2017-01-19,2017,chinext,100,4,4,96,0,0.04
2017-01-19,2017,main_board,400,80,80,320,0,0.2
2017-01-20,2017,chinext,100,4,4,96,0,0.04
2017-01-20,2017,main_board,400,81,81,319,0,0.2025
2017-01-23,2017,chinext,100,4,4,96,0,0.04
2017-01-23,2017,main_board,400,82,82,318,0,0.205
2017-01-24,2017,chinext,100,4,4,96,0,0.04
2017-01-24,2017,main_board,400,82,82,318,0,0.205
2017-01-25,2017,chinext,100,4,4,96,0,0.04
2017-01-25,2017,main_board,400,83,83,317,0,0.2075
2017-01-26,2017,chinext,100,4,4,96,0,0.04
2017-01-26,2017,main_board,400,84,84,316,0,0.21
2017-02-03,2017,chinext,100,4,4,96,0,0.04
2017-02-03,2017,main_board,400,84,84,316,0,0.21
2017-02-06,2017,chinext,100,4,4,96,0,0.04
2017-02-06,2017,main_board,400,83,83,317,0,0.2075
2017-02-07,2017,chinext,100,4,4,96,0,0.04
2017-02-07,2017,main_board,400,82,82,318,0,0.205
2017-02-08,2017,chinext,100,4,4,96,0,0.04
2017-02-08,2017,main_board,400,82,82,318,0,0.205
2017-02-09,2017,chinext,100,4,4,96,0,0.04
2017-02-09,2017,main_board,400,82,82,318,0,0.205
2017-02-10,2017,chinext,100,4,4,96,0,0.04
2017-02-10,2017,main_board,400,85,85,315,0,0.2125
2017-02-13,2017,chinext,100,4,4,96,0,0.04
2017-02-13,2017,main_board,400,83,83,317,0,0.2075
2017-02-14,2017,chinext,100,4,4,96,0,0.04
2017-02-14,2017,main_board,400,84,84,316,0,0.21
2017-02-15,2017,chinext,100,4,4,96,0,0.04
2017-02-15,2017,main_board,400,85,85,315,0,0.2125
2017-02-16,2017,chinext,100,4,4,96,0,0.04
2017-02-16,2017,main_board,400,85,85,315,0,0.2125
2017-02-17,2017,chinext,100,4,4,96,0,0.04
2017-02-17,2017,main_board,400,85,85,315,0,0.2125
2017-02-20,2017,chinext,100,4,4,96,0,0.04
2017-02-20,2017,main_board,400,88,88,312,0,0.22
2017-02-21,2017,chinext,100,4,4,96,0,0.04
2017-02-21,2017,main_board,400,88,88,312,0,0.22
2017-02-22,2017,chinext,100,4,4,96,0,0.04
2017-02-22,2017,main_board,400,88,88,312,0,0.22
2017-02-23,2017,chinext,100,4,4,96,0,0.04
2017-02-23,2017,main_board,400,87,87,313,0,0.2175
2017-02-24,2017,chinext,100,4,4,96,0,0.04
2017-02-24,2017,main_board,400,87,87,313,0,0.2175
2017-02-27,2017,chinext,100,4,4,96,0,0.04
2017-02-27,2017,main_board,400,87,87,313,0,0.2175
2017-02-28,2017,chinext,100,4,4,96,0,0.04
2017-02-28,2017,main_board,400,87,87,313,0,0.2175
2017-03-01,2017,chinext,100,4,4,96,0,0.04
2017-03-01,2017,main_board,400,87,87,313,0,0.2175
2017-03-02,2017,chinext,100,4,4,96,0,0.04
2017-03-02,2017,main_board,400,87,87,313,0,0.2175
2017-03-03,2017,chinext,100,4,4,96,0,0.04
2017-03-03,2017,main_board,400,87,87,313,0,0.2175
2017-03-06,2017,chinext,100,4,4,96,0,0.04
2017-03-06,2017,main_board,400,87,87,313,0,0.2175
2017-03-07,2017,chinext,100,4,4,96,0,0.04
2017-03-07,2017,main_board,400,86,86,314,0,0.215
2017-03-08,2017,chinext,100,4,4,96,0,0.04
2017-03-08,2017,main_board,400,87,87,313,0,0.2175
2017-03-09,2017,chinext,100,4,4,96,0,0.04
2017-03-09,2017,main_board,400,88,88,312,0,0.22
2017-03-10,2017,chinext,100,4,4,96,0,0.04
2017-03-10,2017,main_board,400,90,90,310,0,0.225
2017-03-13,2017,chinext,100,4,4,96,0,0.04
2017-03-13,2017,main_board,400,89,89,311,0,0.2225
2017-03-14,2017,chinext,100,4,4,96,0,0.04
2017-03-14,2017,main_board,400,89,89,311,0,0.2225
2017-03-15,2017,chinext,100,4,4,96,0,0.04
2017-03-15,2017,main_board,400,90,90,310,0,0.225
2017-03-16,2017,chinext,100,4,4,96,0,0.04
2017-03-16,2017,main_board,400,89,89,311,0,0.2225
2017-03-17,2017,chinext,100,4,4,96,0,0.04
2017-03-17,2017,main_board,400,89,89,311,0,0.2225
2017-03-20,2017,chinext,100,4,4,96,0,0.04
2017-03-20,2017,main_board,400,90,90,310,0,0.225
2017-03-21,2017,chinext,100,4,4,96,0,0.04
