membership_date,year,board_bucket,topn_count,fixed_cap_count,intersection_count,topn_only_count,fixed_cap_only_count,jaccard_overlap,topn_only_share_of_topn,fixed_cap_only_share_of_fixed_cap
2017-01-03,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-01-03,2017,main_board,400,78,78,322,0,0.195,0.805,0.0
2017-01-04,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-01-04,2017,main_board,400,79,79,321,0,0.1975,0.8025,0.0
2017-01-05,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-01-05,2017,main_board,400,79,79,321,0,0.1975,0.8025,0.0
2017-01-06,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-01-06,2017,main_board,400,79,79,321,0,0.1975,0.8025,0.0
2017-01-09,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-01-09,2017,main_board,400,79,79,321,0,0.1975,0.8025,0.0
2017-01-10,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-01-10,2017,main_board,400,79,79,321,0,0.1975,0.8025,0.0
2017-01-11,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-01-11,2017,main_board,400,78,78,322,0,0.195,0.805,0.0
2017-01-12,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-01-12,2017,main_board,400,77,77,323,0,0.1925,0.8075,0.0
2017-01-13,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-01-13,2017,main_board,400,79,79,321,0,0.1975,0.8025,0.0
2017-01-16,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-01-16,2017,main_board,400,81,81,319,0,0.2025,0.7975,0.0
2017-01-17,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-01-17,2017,main_board,400,80,80,320,0,0.2,0.8,0.0
2017-01-18,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-01-18,2017,main_board,400,80,80,320,0,0.2,0.8,0.0
2017-01-19,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-01-19,2017,main_board,400,80,80,320,0,0.2,0.8,0.0
2017-01-20,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-01-20,2017,main_board,400,81,81,319,0,0.2025,0.7975,0.0
2017-01-23,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-01-23,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-01-24,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-01-24,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-01-25,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-01-25,2017,main_board,400,83,83,317,0,0.2075,0.7925,0.0
2017-01-26,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-01-26,2017,main_board,400,84,84,316,0,0.21,0.79,0.0
2017-02-03,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-02-03,2017,main_board,400,84,84,316,0,0.21,0.79,0.0
2017-02-06,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-02-06,2017,main_board,400,83,83,317,0,0.2075,0.7925,0.0
2017-02-07,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-02-07,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-02-08,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-02-08,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-02-09,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-02-09,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-02-10,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-02-10,2017,main_board,400,85,85,315,0,0.2125,0.7875,0.0
2017-02-13,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-02-13,2017,main_board,400,83,83,317,0,0.2075,0.7925,0.0
2017-02-14,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-02-14,2017,main_board,400,84,84,316,0,0.21,0.79,0.0
2017-02-15,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-02-15,2017,main_board,400,85,85,315,0,0.2125,0.7875,0.0
2017-02-16,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-02-16,2017,main_board,400,85,85,315,0,0.2125,0.7875,0.0
2017-02-17,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-02-17,2017,main_board,400,85,85,315,0,0.2125,0.7875,0.0
2017-02-20,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-02-20,2017,main_board,400,88,88,312,0,0.22,0.78,0.0
2017-02-21,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-02-21,2017,main_board,400,88,88,312,0,0.22,0.78,0.0
2017-02-22,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-02-22,2017,main_board,400,88,88,312,0,0.22,0.78,0.0
2017-02-23,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-02-23,2017,main_board,400,87,87,313,0,0.2175,0.7825,0.0
2017-02-24,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-02-24,2017,main_board,400,87,87,313,0,0.2175,0.7825,0.0
2017-02-27,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
