year,trading_days,avg_daily_member_count,min_daily_member_count,max_daily_member_count,instrument_days,universe_years_252,avg_main_board_count,avg_chinext_count,main_board_quota_fill_rate_mean,chinext_quota_fill_rate_mean,history_ready_240d_rate
2017,244,500.0,500,500,122000,484.12698412698415,400.0,100.0,1.0,1.0,0.014573770491803278
2018,243,500.0,500,500,121500,482.14285714285717,400.0,100.0,1.0,1.0,0.9080082304526749
2019,244,500.0,500,500,122000,484.12698412698415,400.0,100.0,1.0,1.0,0.9447868852459016
2020,243,500.0,500,500,121500,482.14285714285717,400.0,100.0,1.0,1.0,0.9500987654320988
2021,243,500.0,500,500,121500,482.14285714285717,400.0,100.0,1.0,1.0,0.9523374485596707
2022,242,500.0,500,500,121000,480.1587301587302,400.0,100.0,1.0,1.0,0.9543636363636364
2023,242,500.0,500,500,121000,480.1587301587302,400.0,100.0,1.0,1.0,0.9737107438016529
2024,242,500.0,500,500,121000,480.1587301587302,400.0,100.0,1.0,1.0,0.9904132231404958
2025,243,500.0,500,500,121500,482.14285714285717,400.0,100.0,1.0,1.0,0.9908477366255144
2026,95,500.0,500,500,47500,188.4920634920635,400.0,100.0,1.0,1.0,0.9859578947368421
