family,role,primary_score_formed_flag,aggregate_oof_sample_status,fold_coverage_caveat,validation_evaluable_fold_count,robustness_evaluable_fold_count,validation_full_valid_instrument_count,robustness_full_valid_instrument_count,validation_valid_signal_date_count,robustness_valid_signal_date_count,time_transfer_gate_pass,instrument_transfer_gate_pass,fold_stability_gate_pass,monotonicity_gate_pass,concentration_gate_pass,validation_vs_train_non_deterioration_pass,robustness_vs_train_non_deterioration_pass,robustness_non_deterioration_pass,validation_single_positive_year_caveat,robustness_single_positive_year_caveat,no_disallowed_caveat_active,train_oof_unseen_mean_spread,validation_oof_unseen_mean_spread,validation_oof_unseen_median_spread,robustness_oof_unseen_mean_spread,robustness_oof_unseen_median_spread,validation_oof_unseen_positive_instrument_share,robustness_oof_unseen_positive_instrument_share,validation_positive_year_count,robustness_positive_year_count,robustness_actual_evaluable_year_count,positive_fold_count_validation,positive_fold_count_robustness,median_fold_spread_validation,median_fold_spread_robustness,min_fold_spread_validation,min_fold_spread_robustness,fold_positive_instrument_share_median_validation,fold_positive_instrument_share_median_robustness,aggregate_monotonicity_validation,aggregate_monotonicity_robustness,max_fold_contribution_share_of_total_abs_contribution,supported_family_flag,authorized_strategy_requirement,comparator_dominates_primary_flag
vwap_deviation,primary,True,pass,False,5,4,181,188,97,91,True,False,True,False,False,True,True,True,True,False,False,0.002498719163421334,0.0026379405727972394,0.002381379103695012,0.002483688627618092,0.0028077160265981053,0.5248618784530387,0.6968085106382979,1,2,2,5,5,0.0019331261271356643,0.0015595821062126321,3.937532074701109e-05,0.0010211395775736026,0.5365853658536586,0.75,0.7818181818181817,0.9272727272727272,0.11719443533602919,False,False,False
volume_price_correlation,audit_only_comparator,True,fail,False,1,4,192,196,92,94,True,True,True,False,True,True,True,True,False,False,True,0.00033847525956291714,0.00030064553311617674,0.0014245792863785338,0.001908867449542278,0.0011532262433440895,0.5677083333333334,0.8418367346938775,1,2,2,4,4,0.000862330492346673,0.0013621720025148894,-0.0031253401007603184,-0.0031616088593429794,0.5526315789473685,0.8378378378378378,0.7212121212121211,0.9878787878787878,0.13489994655125911,False,False,False
