fold_id,early_path_k,horizon_mode,arm,event_n,purged_rows_n,embargoed_rows_n,sample_weight_source,evaluable_n,selected_n,selected_fraction,winner_rate,fast_fail_rate,utility_per_event_mean_0bps,utility_per_event_mean_50bps,utility_per_event_mean_100bps,utility_per_selected_entry_mean_50bps,utility_per_event_median_50bps,missed_upper_in_window_n,early_lower_in_window_n,missed_upper_opportunity_cost_50bps
0,2,horizon_mode_calendar_t0,arm_t0_baseline,2091,84,85,fold_local_exact_13f_max_event_span_average_uniqueness,2091,2091,1.0,0.359636537541846,0.043041606886657105,0.01965650755683834,0.014656507556838337,0.009656507556838338,0.014656507556838337,-0.005,36,24,0.0
0,2,horizon_mode_calendar_t0,arm_gate_delayed,2091,84,85,fold_local_exact_13f_max_event_span_average_uniqueness,2082,2058,0.9842180774748924,0.31924198250728864,0.12147716229348883,0.015119085108024483,0.010197994720650019,0.005276904333275559,0.010361519417336826,-0.005,36,24,0.0011608733014933737
0,2,horizon_mode_calendar_t0,arm_model_delayed,2091,84,85,fold_local_exact_13f_max_event_span_average_uniqueness,2082,1046,0.5002391200382592,0.35181644359464626,0.10325047801147227,0.01070749269060231,0.008206297090411015,0.005705101490219719,0.016404748772513793,0.0,36,24,0.001247047809984762
0,2,horizon_mode_from_entry,arm_t0_baseline,2091,84,85,fold_local_exact_13f_max_event_span_average_uniqueness,2091,2091,1.0,0.359636537541846,0.043041606886657105,0.01965650755683834,0.014656507556838337,0.009656507556838338,0.014656507556838337,-0.005,36,24,0.0
0,2,horizon_mode_from_entry,arm_gate_delayed,2091,84,85,fold_local_exact_13f_max_event_span_average_uniqueness,2082,2058,0.9842180774748924,0.33770651117589895,0.12147716229348883,0.016545480848001084,0.011624390460626624,0.006703300073252164,0.011810787392211015,-0.005,36,24,0.001189748867978635
0,2,horizon_mode_from_entry,arm_model_delayed,2091,84,85,fold_local_exact_13f_max_event_span_average_uniqueness,2082,1046,0.5002391200382592,0.37093690248565964,0.10803059273422562,0.011742347366744163,0.009241151766552862,0.0067399561663615696,0.01847346877998283,0.0,36,24,0.0012914621432942503
0,3,horizon_mode_calendar_t0,arm_t0_baseline,2091,84,85,fold_local_exact_13f_max_event_span_average_uniqueness,2091,2091,1.0,0.359636537541846,0.043041606886657105,0.01965650755683834,0.014656507556838337,0.009656507556838338,0.014656507556838337,-0.005,81,49,0.0
0,3,horizon_mode_calendar_t0,arm_gate_delayed,2091,84,85,fold_local_exact_13f_max_event_span_average_uniqueness,2080,2031,0.9713055954088953,0.2998522895125554,0.12998522895125553,0.013465228356867006,0.00860870037982253,0.003752172402778055,0.008863019445696164,-0.005,81,49,0.0026152395751045314
0,3,horizon_mode_calendar_t0,arm_model_delayed,2091,84,85,fold_local_exact_13f_max_event_span_average_uniqueness,2080,1046,0.5002391200382592,0.3441682600382409,0.1367112810707457,0.010589746785948023,0.008088551185756725,0.00558735558556543,0.016169369530991694,0.0,81,49,0.0029086298510658166
0,3,horizon_mode_from_entry,arm_t0_baseline,2091,84,85,fold_local_exact_13f_max_event_span_average_uniqueness,2091,2091,1.0,0.359636537541846,0.043041606886657105,0.01965650755683834,0.014656507556838337,0.009656507556838338,0.014656507556838337,-0.005,81,49,0.0
0,3,horizon_mode_from_entry,arm_gate_delayed,2091,84,85,fold_local_exact_13f_max_event_span_average_uniqueness,2080,2031,0.9713055954088953,0.3308714918759232,0.12998522895125553,0.015678861385113204,0.010822333408068725,0.005965805431024249,0.011142047836667503,-0.005,81,49,0.0025444693926763634
0,3,horizon_mode_from_entry,arm_model_delayed,2091,84,85,fold_local_exact_13f_max_event_span_average_uniqueness,2080,1046,0.5002391200382592,0.39292543021032506,0.13001912045889102,0.01328885377738409,0.01078765817719279,0.008286462577001497,0.021565003105650214,0.0,81,49,0.0029423067520936447
