early_path_k,horizon_mode,arm,fold_mean_utility_per_event_mean_50bps,fold_std_utility_per_event_mean_50bps,fold_mean_utility_per_selected_entry_mean_50bps,fold_mean_utility_per_event_median_50bps,fold_mean_winner_rate,fold_mean_fast_fail_rate,fold_mean_selected_fraction,fold_mean_missed_upper_fraction,delta_utility_per_event_mean_50bps_vs_t0,delta_utility_per_event_mean_50bps_vs_gate,missed_upper_opportunity_cost_50bps,delta_sign_consistency_folds,comparison_status
2,horizon_mode_calendar_t0,arm_gate_delayed,0.003355644113219391,0.012057537758176298,0.0033487495916625725,-0.005,0.2614666422848497,0.1368416733944918,0.978542250735275,0.021499445145245568,-0.0037803767324005267,0.0,0.002094432654014323,1,no_improvement_vs_t0
2,horizon_mode_calendar_t0,arm_model_delayed,0.0015387017712538264,0.0078951853861643,0.003074148112194993,0.0,0.2741505200368609,0.1574477818191642,0.5001315060160201,0.021499445145245568,-0.005597319074366091,-0.0018169423419655641,0.0021301703500408928,1,no_improvement_vs_t0
2,horizon_mode_calendar_t0,arm_t0_baseline,0.007136020845619917,0.01406672628217166,0.007136020845619917,-0.011753098657940407,0.30048314833899004,0.05877575570989677,1.0,0.021499445145245568,0.0,0.0037803767324005267,0.0,0,no_improvement_vs_t0
2,horizon_mode_from_entry,arm_gate_delayed,0.004342703282188234,0.012151709659379104,0.004354826327275315,-0.005,0.2809796203662812,0.1368416733944918,0.978542250735275,0.021499445145245568,-0.0027933175634316833,0.0,0.002130664928657954,1,no_improvement_vs_t0
2,horizon_mode_from_entry,arm_model_delayed,0.0022470498099610137,0.008059451615541046,0.004490283196323251,0.0,0.29624132500378136,0.15724531248341708,0.5001315060160201,0.021499445145245568,-0.0048889710356589035,-0.0020956534722272207,0.002167526251065242,2,no_improvement_vs_t0
2,horizon_mode_from_entry,arm_t0_baseline,0.007136020845619917,0.01406672628217166,0.007136020845619917,-0.011753098657940407,0.30048314833899004,0.05877575570989677,1.0,0.021499445145245568,0.0,0.0027933175634316833,0.0,0,no_improvement_vs_t0
3,horizon_mode_calendar_t0,arm_gate_delayed,0.0021005864490528186,0.009969209943677743,0.002088341653220599,-0.005,0.24702409695262548,0.13901898646802796,0.960144842248052,0.040382256083440995,-0.005035434396567099,0.0,0.004260249490715987,1,no_improvement_vs_t0
3,horizon_mode_calendar_t0,arm_model_delayed,0.0016345240110700085,0.007430158479493293,0.003266491799789496,0.0,0.27471032318468447,0.17723478541301754,0.5001315060160201,0.040382256083440995,-0.005501496834549909,-0.0004660624379828102,0.0043461750087105434,2,no_improvement_vs_t0
3,horizon_mode_calendar_t0,arm_t0_baseline,0.007136020845619917,0.01406672628217166,0.007136020845619917,-0.011753098657940407,0.30048314833899004,0.05877575570989677,1.0,0.040382256083440995,0.0,0.005035434396567099,0.0,0,no_improvement_vs_t0
3,horizon_mode_from_entry,arm_gate_delayed,0.003087292711373045,0.010604300394857847,0.003103860982658046,-0.005,0.2746688030784864,0.13901898646802796,0.960144842248052,0.040382256083440995,-0.004048728134246873,0.0,0.004299391213938469,1,no_improvement_vs_t0
