early_path_k,row_count,early_path_evaluable_n,early_path_window_start_min_pos,early_path_window_end_max_pos,delayed_entry_target_pos_check_status,label_window_disjoint_status,barrier_uses_t0_volatility_status,lookahead_column_count,early_path_pit_gate_status
2,6232,6232,67.0,1218.0,pass,pass,pass,0,pass
3,6232,6232,67.0,1219.0,pass,pass,pass,0,pass
5,6232,6232,67.0,1221.0,pass,pass,pass,0,pass
8,6232,6232,67.0,1224.0,pass,pass,pass,0,pass
13,6232,6232,67.0,1229.0,pass,pass,pass,0,pass
