early_path_k,horizon_mode,evaluable_n,not_executable_n,forward_shifted_entry_n,missing_label_horizon_n,not_executable_fraction,delayed_entry_executability_gate_status
2,horizon_mode_calendar_t0,6205,27,39,27,0.004332477535301669,pass
2,horizon_mode_from_entry,6205,27,39,27,0.004332477535301669,pass
3,horizon_mode_calendar_t0,6196,36,36,36,0.005776636713735558,pass
3,horizon_mode_from_entry,6196,36,36,36,0.005776636713735558,pass
5,horizon_mode_calendar_t0,6175,57,36,57,0.009146341463414634,pass
5,horizon_mode_from_entry,6175,57,36,57,0.009146341463414634,pass
8,horizon_mode_calendar_t0,6153,79,37,79,0.012676508344030809,pass
8,horizon_mode_from_entry,6153,79,37,79,0.012676508344030809,pass
13,horizon_mode_calendar_t0,6118,114,45,114,0.018292682926829267,pass
13,horizon_mode_from_entry,6118,114,45,114,0.018292682926829267,pass
