split,event_type,entry_variant,horizon,event_count,instrument_count,event_month_count,event_date_count,event_weighted_mean_gross_short_return,event_weighted_median_gross_short_return,event_weighted_positive_event_share,date_weighted_mean_gross_short_return,date_weighted_positive_event_date_share,date_weighted_mean_market_hedged_short_return,date_weighted_mean_after_cost_short_return_ex_borrow,date_weighted_mean_after_cost_short_return_borrow_2bps,date_weighted_mean_after_cost_short_return_borrow_5bps,date_weighted_mean_after_cost_short_return_borrow_10bps,newey_west_observation_unit,newey_west_lag,newey_west_tstat_date_weighted_mean_gross_short_return,newey_west_tstat_date_weighted_mean_market_hedged_short_return,newey_west_tstat_date_weighted_mean_after_cost_ex_borrow
robustness,nonlimit_high_return,d0_close_oracle,1,222,117,22,111,-0.0020579059,0.0010023225,0.5045045,0.0033532742,0.55855856,0.0035768023,-0.0076467258,-0.0078467258,-0.0081467258,-0.0086467258,event_date_mean_return_series,1,0.95022459,1.2528361,-2.1668692
robustness,nonlimit_high_return,d0_close_oracle,2,222,117,22,111,-0.0019193761,0.0070229603,0.55405405,0.0012847825,0.54054054,0.0021409138,-0.0097152175,-0.010115217,-0.010715217,-0.011715217,event_date_mean_return_series,2,0.24012725,0.53251124,-1.8157847
robustness,nonlimit_high_return,d0_close_oracle,5,222,117,22,111,0.0010312383,0.014811993,0.59009009,0.0015197031,0.57657658,0.005207288,-0.0094802969,-0.010480297,-0.011980297,-0.014480297,event_date_mean_return_series,5,0.16204352,0.70805608,-1.010869
robustness,nonlimit_high_return,d0_close_oracle,10,221,117,22,111,-0.00050700125,0.027405244,0.59728507,-0.0037334847,0.53153153,0.0012872583,-0.014733485,-0.016733485,-0.019733485,-0.024733485,event_date_mean_return_series,10,-0.3630183,0.16715075,-1.4325824
robustness,nonlimit_high_return,d0_close_oracle,20,222,117,22,111,-0.013349614,0.023432803,0.55405405,-0.0068980647,0.5045045,0.0057179798,-0.017898065,-0.021898065,-0.027898065,-0.037898065,event_date_mean_return_series,20,-0.51514755,0.49052069,-1.3366277
robustness,nonlimit_high_return,d0_close_oracle,60,222,117,22,111,-0.044168827,0.0065473696,0.5045045,-0.031364001,0.48648649,-0.013612638,-0.042364001,-0.054364001,-0.072364001,-0.102364,event_date_mean_return_series,20,-0.94954947,-0.4736285,-1.282576
robustness,nonlimit_high_return,d0_close_oracle,120,188,102,20,96,-0.094723201,-0.033097448,0.46808511,-0.082531829,0.4375,-0.038540853,-0.093531829,-0.11753183,-0.15353183,-0.21353183,event_date_mean_return_series,20,-1.635763,-1.2614542,-1.8537806
robustness,nonlimit_high_return,d1_close,1,222,117,22,111,0,0,0,0,0,0,-0.011,-0.0112,-0.0115,-0.012,event_date_mean_return_series,1,,,-1.1377745e+16
robustness,nonlimit_high_return,d1_close,2,222,117,22,111,-2.2503865e-06,0.0030475013,0.53153153,-0.0021599785,0.52252252,-0.0015565539,-0.013159979,-0.013559979,-0.014159979,-0.015159979,event_date_mean_return_series,2,-0.55993725,-0.46885436,-3.4114979
robustness,nonlimit_high_return,d1_close,5,222,117,22,111,0.0027153736,0.016191923,0.59009009,-0.0018141043,0.51351351,0.0016476103,-0.012814104,-0.013814104,-0.015314104,-0.017814104,event_date_mean_return_series,5,-0.22657194,0.24085999,-1.6004132
robustness,nonlimit_high_return,d1_close,10,221,117,22,111,0.0012304623,0.017574676,0.59728507,-0.0072791273,0.52252252,-0.0024342349,-0.018279127,-0.020279127,-0.023279127,-0.028279127,event_date_mean_return_series,10,-0.77754033,-0.32506474,-1.9525361
robustness,nonlimit_high_return,d1_close,20,222,117,22,111,-0.011927322,0.011742352,0.54054054,-0.010563163,0.51351351,0.0019571878,-0.021563163,-0.025563163,-0.031563163,-0.041563163,event_date_mean_return_series,20,-0.76250477,0.15356275,-1.5565427
robustness,nonlimit_high_return,d1_close,60,222,117,22,111,-0.042454029,0.026801915,0.52252252,-0.035267931,0.48648649,-0.017711158,-0.046267931,-0.058267931,-0.076267931,-0.10626793,event_date_mean_return_series,20,-1.0526652,-0.59284489,-1.3809895
robustness,nonlimit_high_return,d1_close,120,188,102,20,96,-0.090669178,-0.020601612,0.46808511,-0.084875992,0.44791667,-0.041269892,-0.095875992,-0.11987599,-0.15587599,-0.21587599,event_date_mean_return_series,20,-1.7381213,-1.4221465,-1.9633832
robustness,nonlimit_high_return,d1_open,1,222,117,22,111,0.0057251119,0.0036908093,0.55855856,0.00046882685,0.53153153,-0.00074319218,-0.010531173,-0.010731173,-0.011031173,-0.011531173,event_date_mean_return_series,1,0.15071883,-0.27861894,-3.3855699
robustness,nonlimit_high_return,d1_open,2,222,117,22,111,0.0054579245,0.0091642705,0.56306306,-0.0015991255,0.45945946,-0.0021635459,-0.012599126,-0.012999126,-0.013599126,-0.014599126,event_date_mean_return_series,2,-0.35505431,-0.59105578,-2.7973875
robustness,nonlimit_high_return,d1_open,5,222,117,22,111,0.0080860064,0.019309104,0.58108108,-0.0014224755,0.5045045,0.00084822039,-0.012422476,-0.013422476,-0.014922476,-0.017422476,event_date_mean_return_series,5,-0.15808908,0.1139838,-1.3805916
robustness,nonlimit_high_return,d1_open,10,221,117,22,111,0.0065645663,0.022403228,0.61085973,-0.0067894345,0.54054054,-0.0031508602,-0.017789434,-0.019789434,-0.022789434,-0.027789434,event_date_mean_return_series,10,-0.66628266,-0.39830152,-1.7457701
robustness,nonlimit_high_return,d1_open,20,222,117,22,111,-0.0060771467,0.032973834,0.57207207,-0.0098449381,0.47747748,0.0014083476,-0.020844938,-0.024844938,-0.030844938,-0.040844938,event_date_mean_return_series,20,-0.74646763,0.11582778,-1.5805149
robustness,nonlimit_high_return,d1_open,60,222,117,22,111,-0.036699954,0.026308957,0.53603604,-0.034615328,0.51351351,-0.018268765,-0.045615328,-0.057615328,-0.075615328,-0.10561533,event_date_mean_return_series,20,-1.0280231,-0.61832249,-1.3547066
robustness,nonlimit_high_return,d1_open,120,188,102,20,96,-0.084544477,-0.023064236,0.48404255,-0.084356247,0.45833333,-0.041939785,-0.095356247,-0.11935625,-0.15535625,-0.21535625,event_date_mean_return_series,20,-1.6764627,-1.3838945,-1.8950724
robustness,regular_10pct_upper_close_hit,d0_close_oracle,1,538,162,23,196,-0.019646793,-0.013794389,0.366171,-0.014810889,0.33163265,-0.01365584,-0.025810889,-0.026010889,-0.026310889,-0.026810889,event_date_mean_return_series,1,-4.7674189,-4.8299958,-8.3081658
robustness,regular_10pct_upper_close_hit,d0_close_oracle,2,538,162,23,196,-0.022192984,-0.010836158,0.44052045,-0.019211033,0.36734694,-0.015804003,-0.030211033,-0.030611033,-0.031211033,-0.032211033,event_date_mean_return_series,2,-3.782622,-3.487483,-5.9485046
robustness,regular_10pct_upper_close_hit,d0_close_oracle,5,536,160,23,195,-0.017851562,-0.0039669097,0.47761194,-0.025683233,0.43589744,-0.019183192,-0.036683233,-0.037683233,-0.039183233,-0.041683233,event_date_mean_return_series,5,-2.6954891,-2.2505852,-3.8499535
