split,date,entry_variant,upper_hit_instrument,matched_instrument,match_status,unmatched_reason,same_industry_match,upper_hit_market_cap_percentile,matched_market_cap_percentile,size_percentile_abs_diff,horizon,upper_hit_gross_short_return,matched_gross_short_return,incremental_short_return
train,2018-07-13,d0_close_oracle,SZ000596,SH600309,matched_same_date_size_only,,False,0.02173913,0.67391304,0.65217391,1,-0.0028309366,-0.012589136,0.0097581992
train,2018-07-13,d0_close_oracle,SZ000596,SH600309,matched_same_date_size_only,,False,0.02173913,0.67391304,0.65217391,2,0.027176922,-0.031828983,0.059005905
train,2018-07-13,d0_close_oracle,SZ000596,SH600309,matched_same_date_size_only,,False,0.02173913,0.67391304,0.65217391,5,0.04586112,-0.0083135939,0.054174714
train,2018-07-13,d0_close_oracle,SZ000596,SH600309,matched_same_date_size_only,,False,0.02173913,0.67391304,0.65217391,10,0.04586112,-0.0054632628,0.051324383
train,2018-07-13,d0_close_oracle,SZ000596,SH600309,matched_same_date_size_only,,False,0.02173913,0.67391304,0.65217391,20,0.19533462,,
train,2018-07-13,d0_close_oracle,SZ000596,SH600309,matched_same_date_size_only,,False,0.02173913,0.67391304,0.65217391,60,0.27595968,0.25581945,0.020140231
train,2018-07-13,d0_close_oracle,SZ000596,SH600309,matched_same_date_size_only,,False,0.02173913,0.67391304,0.65217391,120,0.45895142,0.39073633,0.068215091
train,2018-07-13,d1_close,SZ000596,SH600309,matched_same_date_size_only,,False,0.02173913,0.67391304,0.65217391,1,0,0,0
train,2018-07-13,d1_close,SZ000596,SH600309,matched_same_date_size_only,,False,0.02173913,0.67391304,0.65217391,2,0.029923148,-0.019000646,0.048923794
train,2018-07-13,d1_close,SZ000596,SH600309,matched_same_date_size_only,,False,0.02173913,0.67391304,0.65217391,5,0.048554602,0.0042223857,0.044332216
train,2018-07-13,d1_close,SZ000596,SH600309,matched_same_date_size_only,,False,0.02173913,0.67391304,0.65217391,10,0.048554602,0.0070372796,0.041517322
train,2018-07-13,d1_close,SZ000596,SH600309,matched_same_date_size_only,,False,0.02173913,0.67391304,0.65217391,20,0.19760615,,
train,2018-07-13,d1_close,SZ000596,SH600309,matched_same_date_size_only,,False,0.02173913,0.67391304,0.65217391,60,0.27800361,0.26507157,0.012932043
train,2018-07-13,d1_close,SZ000596,SH600309,matched_same_date_size_only,,False,0.02173913,0.67391304,0.65217391,120,0.46047877,0.39831107,0.062167698
train,2018-07-13,d1_open,SZ000596,SH600309,matched_same_date_size_only,,False,0.02173913,0.67391304,0.65217391,1,-0.0035127202,-0.013793147,0.010280427
train,2018-07-13,d1_open,SZ000596,SH600309,matched_same_date_size_only,,False,0.02173913,0.67391304,0.65217391,2,0.026515539,-0.033055872,0.059571411
train,2018-07-13,d1_open,SZ000596,SH600309,matched_same_date_size_only,,False,0.02173913,0.67391304,0.65217391,5,0.04521244,-0.0095125216,0.054724962
train,2018-07-13,d1_open,SZ000596,SH600309,matched_same_date_size_only,,False,0.02173913,0.67391304,0.65217391,10,0.04521244,-0.0066588014,0.051871242
