split,entry_variant,horizon,upper_hit_event_count_for_comparator,matched_upper_hit_event_count,matched_event_share,matched_same_industry_share,median_size_percentile_abs_diff,comparator_coverage_status,event_weighted_mean_incremental_short_return_vs_nonlimit_high_return,date_weighted_mean_incremental_short_return_vs_nonlimit_high_return,newey_west_tstat_date_weighted_mean_incremental_short_return
train,d1_open,1,480,161,0.33541667,0.36645963,0.15384615,fail_insufficient_matched_event_share,-0.00047622535,0.00060780514,0.15298506
train,d1_open,2,480,161,0.33541667,0.36645963,0.15384615,fail_insufficient_matched_event_share,0.0028207422,0.0020538454,0.32293791
train,d1_open,5,480,160,0.33333333,0.36875,0.15295994,fail_insufficient_matched_event_share,-0.004577591,-0.0030769778,-0.31399728
train,d1_open,10,480,160,0.33333333,0.36875,0.15295994,fail_insufficient_matched_event_share,-0.011364437,-0.006893704,-0.51059206
train,d1_open,20,479,160,0.33402923,0.36875,0.15295994,fail_insufficient_matched_event_share,-0.0077055089,-6.7484292e-05,-0.0036677892
train,d1_open,60,478,161,0.33682008,0.36645963,0.15384615,fail_insufficient_matched_event_share,-0.0089939734,-0.0040297453,-0.23358579
train,d1_open,120,480,161,0.33541667,0.36645963,0.15384615,fail_insufficient_matched_event_share,0.029550663,0.018636324,0.82845353
train,d1_close,1,480,161,0.33541667,0.36645963,0.15384615,fail_insufficient_matched_event_share,0,0,
train,d1_close,2,480,161,0.33541667,0.36645963,0.15384615,fail_insufficient_matched_event_share,0.0032238467,0.0013473587,0.30295954
train,d1_close,5,480,160,0.33333333,0.36875,0.15295994,fail_insufficient_matched_event_share,-0.0039202236,-0.0036830998,-0.4160441
train,d1_close,10,480,160,0.33333333,0.36875,0.15295994,fail_insufficient_matched_event_share,-0.011114879,-0.0078021435,-0.55812696
train,d1_close,20,479,160,0.33402923,0.36875,0.15295994,fail_insufficient_matched_event_share,-0.006907942,-0.00034968044,-0.019508961
train,d1_close,60,478,161,0.33682008,0.36645963,0.15384615,fail_insufficient_matched_event_share,-0.0097498055,-0.0060329348,-0.34967919
