split,cluster_position,event_count,cluster_count,mean_cluster_length,max_cluster_length
robustness,continuation_hit,74,464,1.1594828,4
robustness,first_hit,464,464,1.1594828,4
train,continuation_hit,26,457,1.0568928,3
train,first_hit,457,457,1.0568928,3
validation,continuation_hit,7,180,1.0388889,3
validation,first_hit,180,180,1.0388889,3
