date,calendar_date_split,horizon,active_event_count,active_instrument_count,max_abs_weight_per_instrument,gross_short_return,name_capped_gross_short_return
2018-07-16,train,5,1,1,0.05,-0.0035127202,-0.0035127202
2018-07-17,train,5,2,2,0.05,-0.0058717634,-0.0058717634
2018-07-18,train,5,2,2,0.05,0.019687819,0.019687819
2018-07-19,train,5,2,2,0.05,-0.00081654328,-0.00081654328
2018-07-20,train,5,2,2,0.05,0.006421267,0.006421267
2018-07-23,train,5,1,1,0.05,-0.0059016494,-0.0059016494
2018-08-08,train,5,1,1,0.05,0.014348798,0.014348798
2018-08-09,train,5,1,1,0.05,-0.014557683,-0.014557683
2018-08-10,train,5,2,2,0.05,0.0020535634,0.0020535634
2018-08-13,train,5,2,2,0.05,-0.028992588,-0.028992588
2018-08-14,train,5,2,2,0.05,-0.017988065,-0.017988065
2018-08-15,train,5,1,1,0.05,0.041223397,0.041223397
2018-08-16,train,5,1,1,0.05,-0.015256607,-0.015256607
2018-08-28,train,5,1,1,0.05,0.009477154,0.009477154
2018-08-29,train,5,1,1,0.05,0.0046189176,0.0046189176
2018-08-30,train,5,1,1,0.05,0.03612861,0.03612861
2018-08-31,train,5,1,1,0.05,0.068775791,0.068775791
2018-09-03,train,5,1,1,0.05,0.036558337,0.036558337
2018-10-31,train,5,1,1,0.05,0,0
2018-11-01,train,5,1,1,0.05,0.014106607,0.014106607
2018-11-02,train,5,1,1,0.05,-0.025437178,-0.025437178
2018-11-05,train,5,3,3,0.05,0.0077381546,0.0077381546
2018-11-06,train,5,3,3,0.05,0.019032842,0.019032842
2018-11-07,train,5,2,2,0.05,-0.0011976279,-0.0011976279
2018-11-08,train,5,2,2,0.05,0.0039946361,0.0039946361
2018-11-09,train,5,2,2,0.05,0.010710857,0.010710857
2019-01-11,train,5,1,1,0.05,0.04121214,0.04121214
2019-01-14,train,5,1,1,0.05,-0.015170656,-0.015170656
2019-01-15,train,5,1,1,0.05,-0.057285187,-0.057285187
2019-01-16,train,5,1,1,0.05,0.011778496,0.011778496
2019-01-17,train,5,1,1,0.05,0.019070417,0.019070417
2019-02-12,train,5,1,1,0.05,-0.0027210859,-0.0027210859
2019-02-13,train,5,1,1,0.05,-0.0067842865,-0.0067842865
2019-02-14,train,5,3,3,0.05,0.012239246,0.012239246
2019-02-15,train,5,3,3,0.05,-0.020027155,-0.020027155
2019-02-18,train,5,4,3,0.05,-0.033422652,-0.034668678
2019-02-19,train,5,3,3,0.05,-0.02015734,-0.02015734
2019-02-20,train,5,3,3,0.05,0.0074340018,0.0074340018
2019-02-21,train,5,1,1,0.05,-0.033199768,-0.033199768
2019-02-22,train,5,1,1,0.05,-0.0066482462,-0.0066482462
2019-02-25,train,5,3,3,0.05,-0.047884888,-0.047884888
2019-02-26,train,5,7,6,0.05,0.027089775,0.025557326
2019-02-27,train,5,7,6,0.05,0.0082744716,0.0066414969
2019-02-28,train,5,7,6,0.05,0.027860419,0.028754685
2019-03-01,train,5,7,6,0.05,-0.032440336,-0.031135078
2019-03-04,train,5,5,5,0.05,-0.008966184,-0.008966184
2019-03-05,train,5,1,1,0.05,-0.10018552,-0.10018552
2019-03-06,train,5,1,1,0.05,-0.099915721,-0.099915721
2019-03-07,train,5,1,1,0.05,-0.10003835,-0.10003835
2019-03-08,train,5,1,1,0.05,0.10000003,0.10000003
2019-03-12,train,5,1,1,0.05,0.0044359757,0.0044359757
2019-03-13,train,5,1,1,0.05,0.04646725,0.04646725
2019-03-14,train,5,1,1,0.05,0.026702245,0.026702245
2019-03-15,train,5,1,1,0.05,-0.01851855,-0.01851855
2019-03-18,train,5,1,1,0.05,-0.0188552,-0.0188552
2019-03-19,train,5,3,3,0.05,0.0084800657,0.0084800657
2019-03-20,train,5,3,3,0.05,-0.0034031855,-0.0034031855
2019-03-21,train,5,3,3,0.05,0.012067552,0.012067552
2019-03-22,train,5,3,3,0.05,-0.02065861,-0.02065861
2019-03-25,train,5,3,3,0.05,0.026609236,0.026609236
2019-04-01,train,5,1,1,0.05,-0.00088102141,-0.00088102141
2019-04-02,train,5,2,2,0.05,0.0099833492,0.0099833492
2019-04-03,train,5,2,2,0.05,-0.0083161741,-0.0083161741
