state_axis,state_value,split,entry_variant,horizon,event_count,event_date_count,date_weighted_mean_gross_short_return,date_weighted_positive_event_date_share,date_weighted_mean_after_cost_short_return_ex_borrow
cluster_position,continuation_hit,robustness,d1_open,5,72,39,-0.029038238,0.53846154,-0.040038238
cluster_position,first_hit,robustness,d1_open,5,457,188,-0.0066894515,0.50531915,-0.017689452
cluster_position,continuation_hit,robustness,d1_open,10,72,39,-0.056879968,0.58974359,-0.067879968
cluster_position,first_hit,robustness,d1_open,10,458,189,-0.016936738,0.4973545,-0.027936738
cluster_position,continuation_hit,robustness,d1_open,20,72,39,-0.010370444,0.61538462,-0.021370444
cluster_position,first_hit,robustness,d1_open,20,457,189,-0.029401215,0.5026455,-0.040401215
cluster_position,continuation_hit,train,d1_open,5,26,24,-0.018371202,0.625,-0.029371202
cluster_position,first_hit,train,d1_open,5,454,250,-0.00068011901,0.52,-0.011680119
cluster_position,continuation_hit,train,d1_open,10,26,24,0.0059301875,0.625,-0.0050698125
cluster_position,first_hit,train,d1_open,10,454,250,-0.0073618159,0.528,-0.018361816
cluster_position,continuation_hit,train,d1_open,20,26,24,0.018791374,0.625,0.0077913735
cluster_position,first_hit,train,d1_open,20,453,250,-0.0089904482,0.532,-0.019990448
cluster_position,continuation_hit,validation,d1_open,5,7,7,-0.050172466,0.28571429,-0.061172466
cluster_position,first_hit,validation,d1_open,5,179,127,-0.0083136517,0.51968504,-0.019313652
cluster_position,continuation_hit,validation,d1_open,10,7,7,-0.10453324,0.28571429,-0.11553324
cluster_position,first_hit,validation,d1_open,10,179,127,-0.0017818088,0.53543307,-0.012781809
cluster_position,continuation_hit,validation,d1_open,20,7,7,-0.13134376,0.28571429,-0.14234376
cluster_position,first_hit,validation,d1_open,20,179,127,0.006411732,0.61417323,-0.004588268
market_state,down,robustness,d1_open,5,104,60,-0.0075553689,0.48333333,-0.018555369
market_state,up,robustness,d1_open,5,425,134,-0.0087420929,0.50746269,-0.019742093
market_state,down,robustness,d1_open,10,104,60,-0.017731002,0.43333333,-0.028731002
market_state,up,robustness,d1_open,10,426,135,-0.018760812,0.52592593,-0.029760812
market_state,down,robustness,d1_open,20,104,60,-0.065459959,0.4,-0.076459959
market_state,up,robustness,d1_open,20,425,135,-0.012449931,0.56296296,-0.023449931
market_state,down,train,d1_open,5,187,105,-0.0058188849,0.4952381,-0.016818885
market_state,up,train,d1_open,5,293,155,0.0025021945,0.53548387,-0.0084978055
market_state,down,train,d1_open,10,187,105,-0.0098846778,0.53333333,-0.020884678
market_state,up,train,d1_open,10,293,155,-0.0033814562,0.51612903,-0.014381456
market_state,down,train,d1_open,20,187,105,-0.013781029,0.51428571,-0.024781029
market_state,up,train,d1_open,20,292,155,-0.00026468512,0.55483871,-0.011264685
market_state,down,validation,d1_open,5,124,91,-0.0050317002,0.52747253,-0.0160317
market_state,up,validation,d1_open,5,62,41,-0.021646452,0.46341463,-0.032646452
market_state,down,validation,d1_open,10,124,91,-0.0030522967,0.52747253,-0.014052297
market_state,up,validation,d1_open,10,62,41,-0.015059146,0.51219512,-0.026059146
market_state,down,validation,d1_open,20,124,91,-0.0081655945,0.54945055,-0.019165595
market_state,up,validation,d1_open,20,62,41,0.015356796,0.70731707,0.0043567961
industry,交通运输,robustness,d1_open,5,2,2,0.02080643,0.5,0.0098064296
industry,传媒,robustness,d1_open,5,4,4,-0.0023502765,0.5,-0.013350276
industry,公用事业,robustness,d1_open,5,8,8,-0.043567268,0.375,-0.054567268
industry,医药生物,robustness,d1_open,5,20,17,0.045754296,0.58823529,0.034754296
industry,商贸零售,robustness,d1_open,5,18,17,0.034257519,0.76470588,0.023257519
industry,国防军工,robustness,d1_open,5,31,22,-0.05425733,0.45454545,-0.06525733
industry,基础化工,robustness,d1_open,5,6,6,0.01076724,0.5,-0.00023276006
industry,家用电器,robustness,d1_open,5,6,6,-0.042149299,0.16666667,-0.053149299
industry,建筑材料,robustness,d1_open,5,5,5,0.018704681,0.4,0.0077046808
industry,建筑装饰,robustness,d1_open,5,4,4,0.048073716,1,0.037073716
industry,房地产,robustness,d1_open,5,12,10,0.014892148,0.7,0.003892148
industry,有色金属,robustness,d1_open,5,47,33,0.0021155563,0.51515152,-0.0088844437
industry,机械设备,robustness,d1_open,5,18,18,-0.028467964,0.38888889,-0.039467964
industry,汽车,robustness,d1_open,5,34,31,-0.012066793,0.4516129,-0.023066793
industry,煤炭,robustness,d1_open,5,1,1,-0.051601358,0,-0.062601358
