split,candidate_scope,event_type,event_detection_status,detection_block_reason,candidate_count
robustness,pit_universe_candidate,nonlimit_high_return,detected_nonlimit_high_return,none,222
robustness,pit_universe_candidate,not_event,blocked_factor_discontinuity_for_limit_detection,blocked_factor_discontinuity_for_limit_detection,47618
robustness,pit_universe_candidate,not_event,blocked_missing_previous_traded_close,blocked_missing_previous_traded_close,11
robustness,pit_universe_candidate,not_event,not_detected_not_upper_hit_or_comparator,none,62030
robustness,pit_universe_candidate,regular_10pct_upper_close_hit,detected_regular_10pct_upper_close_hit,none,538
train,pit_universe_candidate,nonlimit_high_return,detected_nonlimit_high_return,none,292
train,pit_universe_candidate,not_event,blocked_factor_discontinuity_for_limit_detection,blocked_factor_discontinuity_for_limit_detection,103539
train,pit_universe_candidate,not_event,blocked_missing_previous_traded_close,blocked_missing_previous_traded_close,19
train,pit_universe_candidate,not_event,not_detected_not_upper_hit_or_comparator,none,55452
train,pit_universe_candidate,regular_10pct_upper_close_hit,detected_regular_10pct_upper_close_hit,none,483
validation,pit_universe_candidate,nonlimit_high_return,detected_nonlimit_high_return,none,157
validation,pit_universe_candidate,not_event,blocked_factor_discontinuity_for_limit_detection,blocked_factor_discontinuity_for_limit_detection,65228
validation,pit_universe_candidate,not_event,blocked_missing_previous_traded_close,blocked_missing_previous_traded_close,1
validation,pit_universe_candidate,not_event,not_detected_not_upper_hit_or_comparator,none,44149
validation,pit_universe_candidate,regular_10pct_upper_close_hit,detected_regular_10pct_upper_close_hit,none,187
