split,event_type,entry_variant,horizon,entry_status,exit_label_status,event_path_row_count
robustness,nonlimit_high_return,d0_close_oracle,1,complete,complete,222
robustness,nonlimit_high_return,d0_close_oracle,2,complete,complete,222
robustness,nonlimit_high_return,d0_close_oracle,5,complete,complete,222
robustness,nonlimit_high_return,d0_close_oracle,10,complete,blocked_exit_missing_price,1
robustness,nonlimit_high_return,d0_close_oracle,10,complete,complete,221
robustness,nonlimit_high_return,d0_close_oracle,20,complete,complete,222
robustness,nonlimit_high_return,d0_close_oracle,60,complete,complete,222
robustness,nonlimit_high_return,d0_close_oracle,120,complete,blocked_incomplete_future_return_label,34
robustness,nonlimit_high_return,d0_close_oracle,120,complete,complete,188
robustness,nonlimit_high_return,d1_close,1,complete,complete,222
robustness,nonlimit_high_return,d1_close,2,complete,complete,222
robustness,nonlimit_high_return,d1_close,5,complete,complete,222
robustness,nonlimit_high_return,d1_close,10,complete,blocked_exit_missing_price,1
robustness,nonlimit_high_return,d1_close,10,complete,complete,221
robustness,nonlimit_high_return,d1_close,20,complete,complete,222
robustness,nonlimit_high_return,d1_close,60,complete,complete,222
robustness,nonlimit_high_return,d1_close,120,complete,blocked_incomplete_future_return_label,34
robustness,nonlimit_high_return,d1_close,120,complete,complete,188
robustness,nonlimit_high_return,d1_open,1,complete,complete,222
robustness,nonlimit_high_return,d1_open,2,complete,complete,222
robustness,nonlimit_high_return,d1_open,5,complete,complete,222
robustness,nonlimit_high_return,d1_open,10,complete,blocked_exit_missing_price,1
robustness,nonlimit_high_return,d1_open,10,complete,complete,221
robustness,nonlimit_high_return,d1_open,20,complete,complete,222
robustness,nonlimit_high_return,d1_open,60,complete,complete,222
robustness,nonlimit_high_return,d1_open,120,complete,blocked_incomplete_future_return_label,34
robustness,nonlimit_high_return,d1_open,120,complete,complete,188
robustness,regular_10pct_upper_close_hit,d0_close_oracle,1,complete,complete,538
robustness,regular_10pct_upper_close_hit,d0_close_oracle,2,complete,complete,538
robustness,regular_10pct_upper_close_hit,d0_close_oracle,5,complete,blocked_exit_missing_price,2
robustness,regular_10pct_upper_close_hit,d0_close_oracle,5,complete,complete,536
robustness,regular_10pct_upper_close_hit,d0_close_oracle,10,complete,blocked_exit_missing_price,1
robustness,regular_10pct_upper_close_hit,d0_close_oracle,10,complete,complete,537
robustness,regular_10pct_upper_close_hit,d0_close_oracle,20,complete,blocked_exit_missing_price,2
robustness,regular_10pct_upper_close_hit,d0_close_oracle,20,complete,complete,536
robustness,regular_10pct_upper_close_hit,d0_close_oracle,60,complete,blocked_exit_missing_price,1
robustness,regular_10pct_upper_close_hit,d0_close_oracle,60,complete,complete,537
robustness,regular_10pct_upper_close_hit,d0_close_oracle,120,complete,blocked_exit_missing_price,2
robustness,regular_10pct_upper_close_hit,d0_close_oracle,120,complete,blocked_incomplete_future_return_label,82
robustness,regular_10pct_upper_close_hit,d0_close_oracle,120,complete,complete,454
robustness,regular_10pct_upper_close_hit,d1_close,1,blocked_one_price_limit_locked,complete,7
robustness,regular_10pct_upper_close_hit,d1_close,1,complete,complete,531
robustness,regular_10pct_upper_close_hit,d1_close,2,blocked_one_price_limit_locked,complete,7
robustness,regular_10pct_upper_close_hit,d1_close,2,complete,complete,531
robustness,regular_10pct_upper_close_hit,d1_close,5,blocked_one_price_limit_locked,complete,7
