threshold_id,split_bucket,path_winner_anchor_row_n,slow_winner_anchor_row_n,approx_episode_cluster_n,median_anchor_rows_per_episode_cluster,p90_anchor_rows_per_episode_cluster,max_anchor_rows_per_episode_cluster,cluster_definition,readout_role,overlap_density_status
up50pct,train,130087,94786,1040,64.0,340.5000000000001,472,union_find_transitive_interval_merge_within_split_instrument_threshold_on_entry_pos_to_episode_threshold_pos,readout_only_anchor_overlap_density_not_primary_denominator,pass
up50pct,validation,27875,24504,477,46.0,128.0,128,union_find_transitive_interval_merge_within_split_instrument_threshold_on_entry_pos_to_episode_threshold_pos,readout_only_anchor_overlap_density_not_primary_denominator,pass
up50pct,robustness,53089,31024,558,54.0,255.3,271,union_find_transitive_interval_merge_within_split_instrument_threshold_on_entry_pos_to_episode_threshold_pos,readout_only_anchor_overlap_density_not_primary_denominator,pass
up50pct,all,211051,150314,1459,63.0,388.20000000000005,871,union_find_transitive_interval_merge_within_split_instrument_threshold_on_entry_pos_to_episode_threshold_pos,readout_only_anchor_overlap_density_not_primary_denominator,pass
up100pct,train,81823,74302,670,70.5,325.1,472,union_find_transitive_interval_merge_within_split_instrument_threshold_on_entry_pos_to_episode_threshold_pos,readout_only_anchor_overlap_density_not_primary_denominator,pass
up100pct,validation,15151,14568,247,50.0,128.0,128,union_find_transitive_interval_merge_within_split_instrument_threshold_on_entry_pos_to_episode_threshold_pos,readout_only_anchor_overlap_density_not_primary_denominator,pass
up100pct,robustness,28670,21570,274,69.0,246.10000000000005,271,union_find_transitive_interval_merge_within_split_instrument_threshold_on_entry_pos_to_episode_threshold_pos,readout_only_anchor_overlap_density_not_primary_denominator,pass
up100pct,all,125644,110440,844,73.0,389.4000000000001,861,union_find_transitive_interval_merge_within_split_instrument_threshold_on_entry_pos_to_episode_threshold_pos,readout_only_anchor_overlap_density_not_primary_denominator,pass
up150pct,train,53491,51449,456,63.0,330.0,472,union_find_transitive_interval_merge_within_split_instrument_threshold_on_entry_pos_to_episode_threshold_pos,readout_only_anchor_overlap_density_not_primary_denominator,pass
up150pct,validation,9742,9522,148,67.0,128.0,128,union_find_transitive_interval_merge_within_split_instrument_threshold_on_entry_pos_to_episode_threshold_pos,readout_only_anchor_overlap_density_not_primary_denominator,pass
up150pct,robustness,17203,14272,178,62.0,230.3,271,union_find_transitive_interval_merge_within_split_instrument_threshold_on_entry_pos_to_episode_threshold_pos,readout_only_anchor_overlap_density_not_primary_denominator,pass
up150pct,all,80436,75243,564,69.0,398.49999999999994,853,union_find_transitive_interval_merge_within_split_instrument_threshold_on_entry_pos_to_episode_threshold_pos,readout_only_anchor_overlap_density_not_primary_denominator,pass
