artifact_role,artifact_path,resolved_path,required_flag,lineage_role,read_status,row_count,column_count,sha256,schema_status,required_column_missing_list
requirement,requirement_15a_winner_episode_label_censoring_diagnostic.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/requirement_15a_winner_episode_label_censoring_diagnostic.md,True,run_config_input,pass,,,75d82119e6484a8f03f8c28008443884a42d9fca0b33f33e972a6da6dc2df47c,not_checked,
source_plan,research_plan.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/research_plan.md,True,run_config_input,pass,,,607a6310d3112b8cb477b27c763794d1595c4a5ab1aca236d1eef40925fb65a1,not_checked,
upstream_requirement_14a,experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/requirement_14a_full_native_sparse_state_change_event_utility_preflight.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/requirement_14a_full_native_sparse_state_change_event_utility_preflight.md,True,run_config_input,pass,,,16aba9786954eb17f7a9446dbbe3ea4142f259dd95549c9dc14662fec0b7c22c,not_checked,
upstream_requirement_13a,experiments/pending/13_full_pit_native_event_discovery_v0/requirement_13a_full_pit_native_token_cartography_preflight.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/requirement_13a_full_pit_native_token_cartography_preflight.md,True,run_config_input,pass,,,e64f9b1cb360e3361ce109e63a794a3ac40d84e9bb09f6e9c371d5377886293f,not_checked,
upstream_requirement_12a7g,experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/requirement_12a7g_vol_scaled_label_panel_c0_separability_triage.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/requirement_12a7g_vol_scaled_label_panel_c0_separability_triage.md,True,upstream_12a7g_label_lineage,pass,,,07786959ad687ff18ba6b2737008666d8fdb2a0dc591ee45741c23be31c452d4,not_checked,
pit_topn_400_100_executable_daily,data/processed/universe/pit_topn_400_100_executable_daily.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_executable_daily.csv,True,raw_local_data_input,pass,1140000.0,33.0,e73968ddf54b646ab2d831467a0e2882970e5f96880df12c41bd01a39c243965,pass,
pit_topn_400_100_membership_daily,data/processed/universe/pit_topn_400_100_membership_daily.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_membership_daily.csv,True,raw_local_data_input,pass,1140500.0,32.0,982cc6930b27c4b255f019af5180ef835667280b841154af8c2ca9b0138a863b,pass,
stock_daily_qfq_dir,data/raw/akshare/day/qfq,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,True,raw_local_data_input,pass,4598.0,,,directory,
upstream_14a_decision,experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/full_native_sparse_state_change_event_utility_decision.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/full_native_sparse_state_change_event_utility_decision.csv,True,upstream_14a_lineage,pass,1.0,26.0,acf343c245902b8219054c430346c30e505e393a2cd04cec208574cf2b0e1b6c,pass,
upstream_14a_native_rebuild_cache,experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/local_cache/14A_full_native_sparse_state_change_event_utility_preflight/native_rebuild_panel.parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/local_cache/14A_full_native_sparse_state_change_event_utility_preflight/native_rebuild_panel.parquet,False,upstream_14a_lineage,pass,431239.0,87.0,b2638c7653449a80512329849b1863c76847356e21dffb35856e754a04f38da9,pass,
