threshold_id,split_bucket,record_n,path_winner_n,path_winner_rate_all_records,censored_n,censored_rate,confirmed_non_winner_n,observed_non_hit_control_n,fixed120_horizon_complete_n,fixed120_horizon_incomplete_n,fixed120_winner_n,fixed120_winner_rate,volscaled_h20_horizon_complete_n,volscaled_h20_winner_n,volscaled_h20_winner_rate,slow_winner_n,slow_winner_rate_all_records,slow_winner_share_of_path_winners,fast_winner_n,overlap_path_and_fixed120_n,path_only_winner_n,fixed120_only_winner_n,threshold_material_censoring_flag,winner_set_difference_status
up50pct,train,216794,130087,0.6000488943420943,86707,0.39995110565790565,0,86707,216794,0,35301,0.16283199719549435,216794,31474,0.14517929462992518,94786,0.4372168971466,0.7286354516592741,35301,35301,94786,0,True,pass
up50pct,validation,61307,27875,0.4546789110542026,33432,0.5453210889457973,0,33432,61307,0,3371,0.05498556445430375,61307,5880,0.09591074428694929,24504,0.39969334659989886,0.879067264573991,3371,3371,24504,0,True,pass
up50pct,robustness,130614,53089,0.4064571944814492,77525,0.5935428055185509,0,39925,130524,90,22053,0.16895743311574882,130614,17812,0.1363712925107569,31024,0.23752430826710766,0.5843771779464673,22065,22053,31036,0,True,pass
up50pct,all,408715,211051,0.5163769374747684,197664,0.4836230625252315,0,160064,408625,90,60725,0.1486081370449679,408715,55166,0.13497424855950968,150314,0.36777216397734364,0.7122164784815045,60737,60725,150326,0,True,pass
up100pct,train,216794,81823,0.3774228069042501,134971,0.6225771930957499,0,134971,216794,0,7521,0.03469191951806784,216794,31474,0.14517929462992518,74302,0.3427308873861823,0.9080820796108674,7521,7521,74302,0,True,pass
up100pct,validation,61307,15151,0.2471332800495865,46156,0.7528667199504135,0,46156,61307,0,583,0.009509517673348884,61307,5880,0.09591074428694929,14568,0.2376237623762376,0.961520691703518,583,583,14568,0,True,pass
up100pct,robustness,130614,28670,0.21950173794539635,101944,0.7804982620546036,0,54724,130524,90,7092,0.054334834972878554,130614,17812,0.1363712925107569,21570,0.16514309338968258,0.752354377397977,7100,7092,21578,0,True,pass
up100pct,all,408715,125644,0.30741225548365,283071,0.6925877445163501,0,235851,408625,90,15196,0.037188130926888954,408715,55166,0.13497424855950968,110440,0.27021273992880124,0.8789914361211041,15204,15196,110448,0,True,pass
up150pct,train,216794,53491,0.24673653329889203,163303,0.753263466701108,0,163303,216794,0,2042,0.00941907986383387,216794,31474,0.14517929462992518,51449,0.23731745343505817,0.9618253537978352,2042,2042,51449,0,True,pass
up150pct,validation,61307,9742,0.1589051821162347,51565,0.8410948178837653,0,51565,61307,0,220,0.0035884972352259936,61307,5880,0.09591074428694929,9522,0.1553166848810087,0.9774173680969,220,220,9522,0,True,pass
up150pct,robustness,130614,17203,0.13170869891435835,113411,0.8682913010856417,0,61895,130524,90,2930,0.02244797891575496,130614,17812,0.1363712925107569,14272,0.10926853170410522,0.8296227402197291,2931,2930,14273,0,True,pass
up150pct,all,408715,80436,0.19680217266310265,328279,0.8031978273368974,0,276763,408625,90,5192,0.01270602630773937,408715,55166,0.13497424855950968,75243,0.18409649755942406,0.9354393555124572,5193,5192,75244,0,True,pass
