threshold_id,split_bucket,cohort_id,cohort_role,feature_id,feature_observation_boundary,feature_n,feature_missing_n,feature_p25,feature_median,feature_p75,feature_readout_status
up50pct,train,slow_winner,winner_duration_cohort,volatility_20d,t0_close_reference_pos_or_earlier,94786,0,0.01548916670960488,0.022325551932551927,0.030591905958972,pass
up50pct,train,slow_winner,winner_duration_cohort,volatility_60d,t0_close_reference_pos_or_earlier,94786,0,0.017269615165029315,0.02289416886354504,0.02978118977013118,pass
up50pct,train,slow_winner,winner_duration_cohort,max_drawdown_20d,t0_close_reference_pos_or_earlier,94786,0,-0.11125123877560372,-0.07271010387157695,-0.04667863554757634,pass
up50pct,train,slow_winner,winner_duration_cohort,max_drawdown_60d,t0_close_reference_pos_or_earlier,94786,0,-0.1956135151155899,-0.1420996818663839,-0.10051546391752564,pass
up50pct,train,slow_winner,winner_duration_cohort,ret_20d,t0_close_reference_pos_or_earlier,94786,0,-0.03344025846355511,0.027004017518449497,0.10116731517509736,pass
up50pct,train,slow_winner,winner_duration_cohort,ret_60d,t0_close_reference_pos_or_earlier,94786,0,-0.05535055350553497,0.04386628447063201,0.18903046649190014,pass
up50pct,train,slow_winner,winner_duration_cohort,distance_to_20d_high,t0_close_reference_pos_or_earlier,94786,0,-0.10110087786269764,-0.058510638297872286,-0.02997275204359673,pass
up50pct,train,slow_winner,winner_duration_cohort,distance_to_60d_high,t0_close_reference_pos_or_earlier,94786,0,-0.15726302751249227,-0.09722222222222221,-0.05081401085347814,pass
up50pct,train,slow_winner,winner_duration_cohort,distance_to_20d_low,t0_close_reference_pos_or_earlier,94786,0,0.0377785618644374,0.08152173913043481,0.15290203957843662,pass
up50pct,train,slow_winner,winner_duration_cohort,trend_ma_20_60_spread,t0_close_reference_pos_or_earlier,94786,0,-0.02256160932134263,0.0167200372088554,0.06819666885983638,pass
up50pct,train,slow_winner,winner_duration_cohort,vol_compression_20d_60d,t0_close_reference_pos_or_earlier,94786,0,-0.1677585614921453,0.010907895794812605,0.18100941874301835,pass
up50pct,train,slow_winner,winner_duration_cohort,rebound_from_20d_low,t0_close_reference_pos_or_earlier,94786,0,0.0377785618644374,0.08152173913043481,0.15290203957843662,pass
up50pct,train,fast_winner,winner_duration_cohort,volatility_20d,t0_close_reference_pos_or_earlier,35301,0,0.019871067152162622,0.026888570515874916,0.03490990355216742,pass
up50pct,train,fast_winner,winner_duration_cohort,volatility_60d,t0_close_reference_pos_or_earlier,35301,0,0.022458544619127673,0.02763650401932757,0.03384637447763417,pass
up50pct,train,fast_winner,winner_duration_cohort,max_drawdown_20d,t0_close_reference_pos_or_earlier,35301,0,-0.12681159420289845,-0.08531540847983443,-0.05654761904761907,pass
up50pct,train,fast_winner,winner_duration_cohort,max_drawdown_60d,t0_close_reference_pos_or_earlier,35301,0,-0.21421421421421427,-0.1604234527687296,-0.11416106162515904,pass
up50pct,train,fast_winner,winner_duration_cohort,ret_20d,t0_close_reference_pos_or_earlier,35301,0,-0.03280141843971629,0.038559107052257735,0.1358439811701413,pass
up50pct,train,fast_winner,winner_duration_cohort,ret_60d,t0_close_reference_pos_or_earlier,35301,0,-0.03715992037159921,0.09868682849184252,0.29694092827004215,pass
up50pct,train,fast_winner,winner_duration_cohort,distance_to_20d_high,t0_close_reference_pos_or_earlier,35301,0,-0.11201392919326758,-0.06549118387909325,-0.03314413295388441,pass
up50pct,train,fast_winner,winner_duration_cohort,distance_to_60d_high,t0_close_reference_pos_or_earlier,35301,0,-0.16889209671598704,-0.10213078618662741,-0.05230769230769228,pass
up50pct,train,fast_winner,winner_duration_cohort,distance_to_20d_low,t0_close_reference_pos_or_earlier,35301,0,0.05102040816326525,0.1087211576065703,0.197432239657632,pass
up50pct,train,fast_winner,winner_duration_cohort,trend_ma_20_60_spread,t0_close_reference_pos_or_earlier,35301,0,-0.016879956033602705,0.03309262353783704,0.09823427968392084,pass
up50pct,train,fast_winner,winner_duration_cohort,vol_compression_20d_60d,t0_close_reference_pos_or_earlier,35301,0,-0.15270952242960933,0.02587282332133123,0.18274074701869147,pass
up50pct,train,fast_winner,winner_duration_cohort,rebound_from_20d_low,t0_close_reference_pos_or_earlier,35301,0,0.05102040816326525,0.1087211576065703,0.197432239657632,pass
up50pct,train,observed_non_hit_control,readout_only_censored_control_not_negative,volatility_20d,t0_close_reference_pos_or_earlier,86707,0,0.019161407261379968,0.02614450852750252,0.03437655199035624,pass
up50pct,train,observed_non_hit_control,readout_only_censored_control_not_negative,volatility_60d,t0_close_reference_pos_or_earlier,86707,0,0.021111694114613378,0.027159054674275134,0.03364073168717577,pass
up50pct,train,observed_non_hit_control,readout_only_censored_control_not_negative,max_drawdown_20d,t0_close_reference_pos_or_earlier,86707,0,-0.12828685258964134,-0.08735613810741694,-0.056680475225939664,pass
