instrument,anchor_row_n,qfq_row_n,missing_qfq_file_flag,missing_reference_pos_n,missing_entry_pos_n,missing_entry_price_n,min_available_forward_sessions,median_available_forward_sessions,max_available_forward_sessions,price_path_status,blocking_reason
SH600266,96,2281,False,0,0,0,1555.0,1741.5,2030.0,pass,
SH600271,391,2276,False,0,0,0,752.0,1448.0,2030.0,pass,
SH600273,90,2189,False,0,0,0,1517.0,1718.5,1771.0,pass,
SH600276,816,2281,False,0,0,0,125.0,1072.5,1736.0,pass,
SH600282,131,2268,False,0,0,0,279.0,528.0,1422.0,pass,
SH600292,5,2271,False,0,0,0,125.0,127.0,129.0,pass,
SH600295,303,2280,False,0,0,0,353.0,925.0,2029.0,pass,
SH600298,799,2281,False,0,0,0,140.0,1164.0,2030.0,pass,
SH600299,503,2281,False,0,0,0,282.0,1314.0,1946.0,pass,
SH600305,146,2281,False,0,0,0,1211.0,1363.5,1675.0,pass,
SH600307,53,2281,False,0,0,0,1739.0,1765.0,2030.0,pass,
SH600309,851,2156,False,0,0,0,125.0,1090.0,1771.0,pass,
SH600312,6,2281,False,0,0,0,389.0,397.5,401.0,pass,
SH600315,477,2269,False,0,0,0,944.0,1405.0,2030.0,pass,
SH600316,248,2281,False,0,0,0,190.0,1209.5,1414.0,pass,
SH600320,58,2281,False,0,0,0,283.0,1740.5,2030.0,pass,
SH600323,73,2279,False,0,0,0,1356.0,1442.0,1599.0,pass,
SH600325,145,2278,False,0,0,0,1540.0,1719.0,2030.0,pass,
SH600328,6,2140,False,0,0,0,1130.0,1132.5,1135.0,pass,
SH600329,114,2280,False,0,0,0,125.0,494.5,1952.0,pass,
SH600332,789,2233,False,0,0,0,125.0,1175.0,2030.0,pass,
SH600338,162,2274,False,0,0,0,909.0,1138.5,2030.0,pass,
SH600339,151,2279,False,0,0,0,1505.0,1715.0,2030.0,pass,
SH600340,337,2262,False,0,0,0,1223.0,1496.0,2014.0,pass,
SH600346,871,2218,False,0,0,0,125.0,1100.0,2030.0,pass,
SH600348,293,2281,False,0,0,0,383.0,820.0,2030.0,pass,
SH600350,561,2281,False,0,0,0,125.0,678.0,2030.0,pass,
SH600352,826,2281,False,0,0,0,125.0,1144.5,2030.0,pass,
SH600362,871,2281,False,0,0,0,125.0,1100.0,2030.0,pass,
SH600363,8,2281,False,0,0,0,242.0,286.5,290.0,pass,
SH600369,660,2281,False,0,0,0,183.0,1285.5,2030.0,pass,
SH600372,862,2258,False,0,0,0,125.0,1096.5,2012.0,pass,
SH600373,186,2278,False,0,0,0,1458.0,1614.5,2027.0,pass,
SH600376,180,2281,False,0,0,0,1462.0,1615.5,2030.0,pass,
SH600377,640,2281,False,0,0,0,125.0,1098.5,2022.0,pass,
SH600378,575,2144,False,0,0,0,125.0,769.0,1597.0,pass,
SH600383,594,2281,False,0,0,0,675.0,1319.5,2030.0,pass,
SH600390,465,2274,False,0,0,0,339.0,1395.0,2030.0,pass,
SH600392,439,2281,False,0,0,0,125.0,1144.0,2030.0,pass,
SH600398,501,2276,False,0,0,0,171.0,1074.0,1432.0,pass,
SH600399,287,2072,False,0,0,0,774.0,1135.0,1337.0,pass,
SH600406,386,2174,False,0,0,0,125.0,382.5,949.0,pass,
SH600409,131,2281,False,0,0,0,1129.0,1290.0,2030.0,pass,
SH600410,13,2271,False,0,0,0,1459.0,1465.0,1953.0,pass,
SH600415,716,2281,False,0,0,0,125.0,838.5,2030.0,pass,
SH600416,62,2279,False,0,0,0,762.0,841.5,1403.0,pass,
SH600418,521,2281,False,0,0,0,125.0,531.0,2030.0,pass,
SH600426,851,2281,False,0,0,0,125.0,1090.0,1771.0,pass,
SH600435,48,2281,False,0,0,0,1671.0,1754.5,2030.0,pass,
SH600436,824,2281,False,0,0,0,125.0,1145.5,2030.0,pass,
SH600438,250,2271,False,0,0,0,115.0,272.5,510.0,pass,
SH600446,150,2266,False,0,0,0,1411.0,1587.5,2014.0,pass,
SH600456,102,2281,False,0,0,0,913.0,1087.5,1311.0,pass,
SH600460,853,2205,False,0,0,0,125.0,1091.0,2019.0,pass,
SH600477,5,2281,False,0,0,0,2026.0,2028.0,2030.0,pass,
SH600481,56,2222,False,0,0,0,750.0,882.0,949.0,pass,
SH600482,661,2260,False,0,0,0,125.0,828.0,1454.0,pass,
SH600483,27,2272,False,0,0,0,342.0,518.0,949.0,pass,
SH600486,599,2276,False,0,0,0,500.0,1314.0,2025.0,pass,
SH600487,640,2261,False,0,0,0,125.0,790.5,1412.0,pass,
SH600489,870,2270,False,0,0,0,125.0,1106.0,2019.0,pass,
SH600490,16,2038,False,0,0,0,1883.0,1908.5,1916.0,pass,
SH600491,3,2275,False,0,0,0,1940.0,1944.0,1947.0,pass,
SH600497,615,2271,False,0,0,0,150.0,1221.0,2020.0,pass,
SH600498,32,2281,False,0,0,0,152.0,179.5,311.0,pass,
SH600499,246,2271,False,0,0,0,746.0,1074.5,2020.0,pass,
SH600500,128,2272,False,0,0,0,823.0,1710.5,2021.0,pass,
SH600507,84,2281,False,0,0,0,1561.0,1749.5,2030.0,pass,
SH600511,413,2276,False,0,0,0,492.0,1437.0,2030.0,pass,
SH600515,795,2142,False,0,0,0,125.0,1060.0,1891.0,pass,
SH600516,503,2279,False,0,0,0,909.0,1392.0,2030.0,pass,
SH600517,575,2270,False,0,0,0,125.0,1063.0,1513.0,pass,
SH600518,423,2246,False,0,0,0,279.0,909.0,1995.0,pass,
SH600519,866,2281,False,0,0,0,125.0,1113.5,2030.0,pass,
SH600521,174,2281,False,0,0,0,161.0,779.5,949.0,pass,
SH600522,860,2281,False,0,0,0,125.0,1094.5,2030.0,pass,
SH600525,17,2263,False,0,0,0,1944.0,2014.0,2022.0,pass,
SH600528,282,2281,False,0,0,0,1297.0,1542.5,2030.0,pass,
SH600529,262,2281,False,0,0,0,1084.0,1411.5,1608.0,pass,
SH600535,325,2279,False,0,0,0,537.0,1516.0,2028.0,pass,
SH600536,747,2279,False,0,0,0,125.0,1157.0,1763.0,pass,
SH600545,50,2274,False,0,0,0,1606.0,1747.5,2030.0,pass,
SH600546,309,2235,False,0,0,0,400.0,911.0,1546.0,pass,
SH600547,871,2251,False,0,0,0,125.0,1100.0,2029.0,pass,
SH600548,115,2281,False,0,0,0,339.0,1606.0,1755.0,pass,
