threshold_id,split_bucket,cohort_id,state_id,state_threshold_feature,state_threshold_value,threshold_source_split,state_share,fast_minus_slow_share_delta,slow_winner_morphology_distinct_status,overlap_readout_status
up50pct,train,slow_winner,compression_state,vol_compression_20d_60d,-0.20316806174378024,train,0.21098052455003904,-0.015377000570548388,overlaps_known_failed_morphology,pass
up50pct,train,slow_winner,drawdown_reversal_state,max_drawdown_20d,-0.13297872340425532,train,0.16425421475745364,0.05990374110781929,overlaps_known_failed_morphology,pass
up50pct,train,fast_winner,compression_state,vol_compression_20d_60d,-0.20316806174378024,train,0.19560352397949066,-0.015377000570548388,overlaps_known_failed_morphology,pass
up50pct,train,fast_winner,drawdown_reversal_state,max_drawdown_20d,-0.13297872340425532,train,0.22415795586527293,0.05990374110781929,overlaps_known_failed_morphology,pass
up50pct,train,observed_non_hit_control,compression_state,vol_compression_20d_60d,-0.20316806174378024,train,0.1897885983830602,-0.015377000570548388,overlaps_known_failed_morphology,pass
up50pct,train,observed_non_hit_control,drawdown_reversal_state,max_drawdown_20d,-0.13297872340425532,train,0.22925484678284336,0.05990374110781929,overlaps_known_failed_morphology,pass
up50pct,validation,slow_winner,compression_state,vol_compression_20d_60d,-0.20316806174378024,train,0.1067988899771466,0.04182169738565375,overlaps_known_failed_morphology,pass
up50pct,validation,slow_winner,drawdown_reversal_state,max_drawdown_20d,-0.13297872340425532,train,0.07864022200457069,0.05485132353087874,overlaps_known_failed_morphology,pass
up50pct,validation,fast_winner,compression_state,vol_compression_20d_60d,-0.20316806174378024,train,0.14862058736280034,0.04182169738565375,overlaps_known_failed_morphology,pass
up50pct,validation,fast_winner,drawdown_reversal_state,max_drawdown_20d,-0.13297872340425532,train,0.13349154553544942,0.05485132353087874,overlaps_known_failed_morphology,pass
up50pct,validation,observed_non_hit_control,compression_state,vol_compression_20d_60d,-0.20316806174378024,train,0.08967456329265375,0.04182169738565375,overlaps_known_failed_morphology,pass
up50pct,validation,observed_non_hit_control,drawdown_reversal_state,max_drawdown_20d,-0.13297872340425532,train,0.12176956209619526,0.05485132353087874,overlaps_known_failed_morphology,pass
up50pct,robustness,slow_winner,compression_state,vol_compression_20d_60d,-0.20316806174378024,train,0.15765214027849406,0.03736258893066072,overlaps_known_failed_morphology,pass
up50pct,robustness,slow_winner,drawdown_reversal_state,max_drawdown_20d,-0.13297872340425532,train,0.14936823104693142,0.0126983902990917,overlaps_known_failed_morphology,pass
up50pct,robustness,fast_winner,compression_state,vol_compression_20d_60d,-0.20316806174378024,train,0.19501472920915477,0.03736258893066072,overlaps_known_failed_morphology,pass
