threshold_id,split_bucket,path_winner_n,time_to_threshold_p10,time_to_threshold_p25,time_to_threshold_median,time_to_threshold_p75,time_to_threshold_p90,time_to_threshold_max,share_within_20d,share_within_60d,share_within_120d,share_beyond_120d,share_beyond_250d,distribution_status
up50pct,train,130087,45.0,112.0,297.0,792.0,1169.0,2014.0,0.030925457578389846,0.13603204009624328,0.2713645483407258,0.7286354516592741,0.540515193678077,pass
up50pct,validation,27875,93.0,260.0,440.0,634.0,742.0,1062.0,0.010618834080717489,0.06500448430493273,0.12093273542600896,0.879067264573991,0.7599282511210762,pass
up50pct,robustness,53089,42.0,79.0,139.0,228.0,339.0,540.0,0.03264329710486165,0.1751021868937068,0.41562282205353274,0.5843771779464673,0.21904726026107102,pass
up50pct,all,211051,47.0,106.0,240.0,584.0,1017.0,2014.0,0.028675533401879165,0.1364788605597699,0.2877835215184955,0.7122164784815045,0.4886307101127216,pass
up100pct,train,81823,126.0,232.0,569.0,1078.0,1335.0,2025.0,0.00504748053725725,0.030492648766239323,0.09191792038913264,0.9080820796108674,0.7264705522896985,pass
up100pct,validation,15151,311.0,480.0,619.0,730.0,787.0,1048.0,0.001782060590060062,0.020988713616262953,0.03847930829648208,0.961520691703518,0.9260114843904693,pass
up100pct,robustness,28670,76.0,121.0,194.0,309.0,401.0,536.0,0.004290198814091385,0.0667945587722358,0.24764562260202302,0.752354377397977,0.3651552145099407,pass
up100pct,all,125644,110.0,193.0,405.0,860.0,1235.0,2025.0,0.00448091432937506,0.03763012957244277,0.12100856387889593,0.8789914361211041,0.6680860208207315,pass
up150pct,train,53491,182.0,318.0,818.0,1223.0,1438.0,2026.0,0.0015142734291750013,0.013254566188704641,0.03817464620216485,0.9618253537978352,0.8273915238077434,pass
up150pct,validation,9742,420.0,564.0,670.0,753.0,828.0,1058.0,0.0,0.013549579141859988,0.02258263190309998,0.9774173680969,0.9533976596181483,pass
up150pct,robustness,17203,99.0,141.0,219.0,332.0,425.0,539.0,0.00034877637621345115,0.03609835493809219,0.17037725978027088,0.8296227402197291,0.44149276289019357,pass
up150pct,all,80436,144.0,259.0,531.0,1058.0,1351.0,2026.0,0.0010816052513799791,0.018175941120891142,0.0645606444875429,0.9354393555124572,0.7601198468347506,pass
