threshold_id,split_bucket,record_n,censored_n,censored_rate,censored_median_available_forward_sessions,confirmed_non_winner_n,counted_in_confirmed_non_winner_n,counted_in_control_without_flag_n,observed_non_hit_control_n,censored_isolation_status
up50pct,train,216794,86707,0.39995110565790565,1314.0,0,0,0,86707,pass
up50pct,validation,61307,33432,0.5453210889457973,805.0,0,0,0,33432,pass
up50pct,robustness,130614,77525,0.5935428055185509,279.0,0,0,0,39925,pass
up50pct,all,408715,197664,0.4836230625252315,833.0,0,0,0,160064,pass
up100pct,train,216794,134971,0.6225771930957499,1339.0,0,0,0,134971,pass
up100pct,validation,61307,46156,0.7528667199504135,805.0,0,0,0,46156,pass
up100pct,robustness,130614,101944,0.7804982620546036,285.0,0,0,0,54724,pass
up100pct,all,408715,283071,0.6925877445163501,922.0,0,0,0,235851,pass
up150pct,train,216794,163303,0.753263466701108,1370.0,0,0,0,163303,pass
up150pct,validation,61307,51565,0.8410948178837653,805.0,0,0,0,51565,pass
up150pct,robustness,130614,113411,0.8682913010856417,288.0,0,0,0,61895,pass
up150pct,all,408715,328279,0.8031978273368974,1060.0,0,0,0,276763,pass
