threshold_id,split_bucket,record_n,path_winner_n,censored_n,confirmed_non_winner_n,observed_non_hit_control_n,fixed120_horizon_complete_n,fixed120_horizon_incomplete_n,fixed120_only_winner_n,fixed120_only_winner_explained_n,fixed120_only_winner_explanation_code_list,high_based_close_based_agreement_rate,row_level_explanation_available,rebuild_status
up50pct,train,216794,130087,86707,0,86707,216794,0,0,0,none,0.9714337112650719,True,pass
up50pct,validation,61307,27875,33432,0,33432,61307,0,0,0,none,0.9787136868546822,True,pass
up50pct,robustness,130614,53089,77525,0,39925,130524,90,0,0,none,0.9764037545745479,True,pass
up50pct,all,408715,211051,197664,0,160064,408625,90,0,0,none,0.9741139914121086,True,pass
up100pct,train,216794,81823,134971,0,134971,216794,0,0,0,none,0.9813740232663266,True,pass
up100pct,validation,61307,15151,46156,0,46156,61307,0,0,0,none,0.9879296002087853,True,pass
up100pct,robustness,130614,28670,101944,0,54724,130524,90,0,0,none,0.987076423660557,True,pass
up100pct,all,408715,125644,283071,0,235851,408625,90,0,0,none,0.9841796851106517,True,pass
up150pct,train,216794,53491,163303,0,163303,216794,0,0,0,none,0.9861804293476757,True,pass
up150pct,validation,61307,9742,51565,0,51565,61307,0,0,0,none,0.9941768476682924,True,pass
up150pct,robustness,130614,17203,113411,0,61895,130524,90,0,0,none,0.9913638660480499,True,pass
up150pct,all,408715,80436,328279,0,276763,408625,90,0,0,none,0.9890363700867353,True,pass
