checkpoint,survival_lift_grain,seed_primary_family_id_or_all,pre_checkpoint_episode_count,survivor_episode_count,non_survivor_episode_count,survivor_rate,survivor_label_denominator_count,survivor_good_count,survivor_bad_count,survivor_neutral_count,survivor_P_good,survivor_P_bad,survivor_P_neutral,survivor_P_good_lower,survivor_P_good_upper,survivor_P_bad_lower,survivor_P_bad_upper,survivor_credible_interval_width_good,survivor_credible_interval_width_bad,non_survivor_label_denominator_count,non_survivor_good_count,non_survivor_bad_count,non_survivor_neutral_count,non_survivor_P_good,non_survivor_P_bad,non_survivor_P_neutral,non_survivor_P_good_lower,non_survivor_P_good_upper,non_survivor_P_bad_lower,non_survivor_P_bad_upper,non_survivor_credible_interval_width_good,non_survivor_credible_interval_width_bad,survival_lift_good_vs_t0_same_grain,survival_lift_bad_vs_t0_same_grain,split_stability_status
T+3,global,all,11003,8944,2059,0.8128692174861402,7028,3068,3696,264,0.43653955606146844,0.5258964143426295,0.037564029595902104,0.42679855467885325,0.4462570501046782,0.5160556283950282,0.5356466546952094,0.01945849542582495,0.01959102630018128,1581,0,1581,0,0.0,1.0,0.0,1.2429706044171602e-06,0.0012135695593015628,0.9981075581700198,0.9999675672067084,0.0012123265886971456,0.0018600090366885924,0.08016831666084118,-0.08706676372683275,same_grain_recomputed_r03a
T+3,by_seed_primary_family_id,momentum_rps,195,128,67,0.6564102564102564,109,55,53,1,0.5045871559633027,0.48623853211009177,0.009174311926605505,0.42430500253555015,0.5801730981117103,0.40643123575386514,0.562222059062506,0.1558680955761601,0.15579082330864086,54,0,54,0,0.0,1.0,0.0,3.5908934761456894e-05,0.034472776987250944,0.9465158480261685,0.9990592813885365,0.03443686805248949,0.052543433362368,0.16716384307986715,-0.17020318568131926,same_grain_recomputed_r03a
T+3,by_seed_primary_family_id,multi_family_bundle,6948,5503,1445,0.7920264824409902,4293,1890,2256,147,0.44025157232704404,0.5255066387141859,0.03424178895877009,0.42777143418355174,0.45268868301457915,0.5129003618437725,0.5379651968476692,0.024917248831027417,0.02506483500389667,1083,0,1083,0,0.0,1.0,0.0,1.814134407633094e-06,0.001770729638152564,0.9972389527562351,0.9999526607473144,0.0017689155037449308,0.002713707991079284,0.08868907232704404,-0.0955871112858141,same_grain_recomputed_r03a
T+3,by_seed_primary_family_id,oscillator,32,27,5,0.84375,22,9,12,1,0.4090909090909091,0.5454545454545454,0.045454545454545456,0.24566286074887383,0.5723134286533889,0.36415890210453294,0.6965145047007333,0.326650567904515,0.33235560259620034,5,0,5,0,0.0,1.0,0.0,0.0003415449316947667,0.28346339458861836,0.5800281772294446,0.9907172992374312,0.2831218496569236,0.4106891220079867,0.0757575757575758,-0.08417508417508424,same_grain_recomputed_r03a
T+3,by_seed_primary_family_id,price_trend,235,166,69,0.7063829787234043,130,61,68,1,0.46923076923076923,0.5230769230769231,0.007692307692307693,0.3966259230944436,0.5392964764613648,0.44930813810347325,0.592153837152218,0.1426705533669212,0.14284569904874478,59,0,59,0,0.0,1.0,0.0,3.290410749462889e-05,0.031634284000816894,0.950898034362792,0.9991382993028819,0.03160137989332226,0.04824026494008993,0.1464794464794465,-0.14888074888074887,same_grain_recomputed_r03a
T+3,by_seed_primary_family_id,pullback_drawdown,449,322,127,0.7171492204899778,268,117,148,3,0.43656716417910446,0.5522388059701493,0.011194029850746268,0.3866578189803875,0.4858685090411892,0.5010483893017348,0.6005610572208198,0.09921069006080174,0.09951266791908497,104,0,104,0,0.0,1.0,0.0,1.876893501518345e-05,0.018169114546956355,0.9717397138533346,0.9995092755222926,0.018150345611941173,0.027769561668958054,0.1220510351468464,-0.12518054886856034,same_grain_recomputed_r03a
T+3,by_seed_primary_family_id,range_breakout,2316,2077,239,0.896804835924007,1637,689,857,91,0.42089187538179595,0.5235186316432499,0.055589492974954184,0.400810817573686,0.4409225589658912,0.5030380934514291,0.543618541109354,0.04011174139220525,0.0405804476579249,195,0,195,0,0.0,1.0,0.0,1.0043721691768699e-05,0.009764155150284101,0.9847933677611578,0.9997376646236803,0.009754111428592333,0.014944296862522521,0.04480017232502742,-0.050717176217012105,same_grain_recomputed_r03a
T+3,by_seed_primary_family_id,volatility_band,238,205,33,0.8613445378151261,164,74,84,6,0.45121951219512196,0.5121951219512195,0.036585365853658534,0.3870501635535851,0.5139391167654839,0.4467514813395465,0.5742507906621541,0.12688895321189875,0.1274993093226076,27,0,27,0,0.0,1.0,0.0,7.084398154327094e-05,0.06686843113733534,0.8967880620445373,0.9981365277194746,0.06679758715579208,0.10134846567493727,0.06378495722129995,-0.06895671050951346,same_grain_recomputed_r03a
T+3,by_seed_primary_family_id,volume_money,590,516,74,0.8745762711864407,405,173,218,14,0.4271604938271605,0.5382716049382716,0.0345679012345679,0.3867107308954636,0.4673277618700244,0.4967770085819515,0.578043594134588,0.0806170309745608,0.08126658555263644,54,0,54,0,0.0,1.0,0.0,3.5908934761456894e-05,0.034472776987250944,0.9465158480261685,0.9990592813885365,0.03443686805248949,0.052543433362368,0.0502541757443718,-0.05432098765432092,same_grain_recomputed_r03a
T+5,global,all,11003,8037,2966,0.73043715350359,6317,3068,2985,264,0.48567357923064747,0.47253443090074404,0.04179198986860852,0.4752985429589125,0.4959814545315629,0.46217626861050526,0.48283639876031625,0.020682911572650398,0.020660130149810996,2292,0,2292,0,0.0,1.0,0.0,8.575157105390873e-07,0.0008373896293050195,0.998694099985113,0.9999776258579874,0.0008365321135944804,0.0012835258728743915,0.1293023398300202,-0.14042874716871817,same_grain_recomputed_r03a
