scenario_id,comparison_role,candidate_scope_id,baseline_3_scope_id,split,year,selected_checkpoint,proxy_exposure_schedule_label,risk_budget_status,exposure_label_is_validated_size,path_metric_denominator_policy,seed_episode_count,censored_or_invalid_count,censored_or_invalid_rate,label_denominator_count,good_count,bad_count,neutral_count,P_good,P_bad,P_neutral,P_good_lower,P_good_upper,P_bad_lower,P_bad_upper,credible_interval_width_good,credible_interval_width_bad,max_drawdown_120d_p50,max_drawdown_120d_p10,max_drawdown_120d_p75,max_drawdown_120d_p90,drawdown_loss_120d_p90,drawdown_severity_120d_p90,max_gain_120d_p50,max_gain_120d_p75,max_gain_120d_p90,close_return_t20_p50,close_return_t60_p50,close_return_t120_p50,upside_capture_proxy,upside_capture_ratio_vs_baseline3,early_failure_rate,candidate_split_pass,comparison_vs_baseline_3_status
baseline_1_t0_full_entry,baseline,all|T+10|no_candidate,all|T+10,train,all,T+10,full_1r_at_t0,probability_only_ev_r_blocked,False,episode_first_trigger_label_denominator,5139,869,0.16909904650710256,4270,1460,2688,122,0.34192037470725994,0.6295081967213115,0.02857142857142857,0.3300226118052968,0.3538962767605071,0.6172161307756099,0.6415233497910682,0.023873664955210316,0.024307219015458292,-0.2734942519233836,-0.4434335869332597,-0.19895952940415648,-0.15042285153647175,0.4434335869332597,0.4434335869332597,0.1747142050072928,0.3559894452857564,0.653909660363436,-0.005676392400632,-0.0139017255848546,-0.006329371284524149,0.3559894452857564,0.9186370711304229,0.44191476941039115,not_applicable,label_only_t0_baseline
baseline_2_t0_probe_only,baseline,all|T+10|no_candidate,all|T+10,train,all,T+10,0.25R,probability_only_ev_r_blocked,False,episode_first_trigger_label_denominator,5139,869,0.16909904650710256,4270,1460,2688,122,0.34192037470725994,0.6295081967213115,0.02857142857142857,0.3300226118052968,0.3538962767605071,0.6172161307756099,0.6415233497910682,0.023873664955210316,0.024307219015458292,-0.2734942519233836,-0.4434335869332597,-0.19895952940415648,-0.15042285153647175,0.4434335869332597,0.4434335869332597,0.1747142050072928,0.3559894452857564,0.653909660363436,-0.005676392400632,-0.0139017255848546,-0.006329371284524149,0.3559894452857564,0.9186370711304229,0.44191476941039115,not_applicable,label_only_t0_baseline
baseline_3_probe_survival_step_up,baseline_3_same_scope,all|T+10|no_candidate,all|T+10,train,all,T+10,0.25R->0.50R,probability_only_ev_r_blocked,False,episode_first_trigger_survivor_label_denominator,2859,415,0.14515564882826162,2444,1460,862,122,0.5973813420621932,0.3527004909983633,0.04991816693944354,0.5808637343153666,0.6134846073113231,0.33686755462700907,0.368646682042079,0.03262087299595651,0.03177912741506994,-0.2501784480499368,-0.4181429098277735,-0.18089639173153477,-0.1329787265522296,0.4181429098277735,0.4181429098277735,0.2002906339160115,0.38751913728856585,0.6883841939815953,0.02859411274362025,0.0133928443134134,0.01696837969360575,0.38751913728856585,1.0,0.0,not_applicable,baseline_3_same_scope
candidate_probability_survival_step,candidate,all|T+10|no_candidate,all|T+10,train,all,T+10,0.25R->0.50R,probability_only_ev_r_blocked,False,episode_first_trigger_candidate_included_label_denominator,0,0,,0,0,0,0,,,,0.0025,0.9025,0.0025,0.9025,0.9,0.9,,,,,,,,,,,,,,,,False,no_selected_candidate
baseline_1_t0_full_entry,baseline,all|T+10|no_candidate,all|T+10,validation,all,T+10,full_1r_at_t0,probability_only_ev_r_blocked,False,episode_first_trigger_label_denominator,2891,675,0.23348322379799377,2216,729,1406,81,0.328971119133574,0.6344765342960289,0.03655234657039711,0.31265399677035427,0.3454695714522818,0.6173841457462723,0.6510237838044342,0.03281557468192753,0.033639638058161836,-0.2408194659812923,-0.4167432958066966,-0.1675874541768697,-0.11818115867685587,0.4167432958066966,0.4167432958066966,0.129234673101013,0.2359881792212799,0.4104536805329483,-0.010582278749637599,-0.0266330310617374,-0.039294048557932,0.2359881792212799,0.9022074045855673,0.41992390176409544,not_applicable,label_only_t0_baseline
baseline_2_t0_probe_only,baseline,all|T+10|no_candidate,all|T+10,validation,all,T+10,0.25R,probability_only_ev_r_blocked,False,episode_first_trigger_label_denominator,2891,675,0.23348322379799377,2216,729,1406,81,0.328971119133574,0.6344765342960289,0.03655234657039711,0.31265399677035427,0.3454695714522818,0.6173841457462723,0.6510237838044342,0.03281557468192753,0.033639638058161836,-0.2408194659812923,-0.4167432958066966,-0.1675874541768697,-0.11818115867685587,0.4167432958066966,0.4167432958066966,0.129234673101013,0.2359881792212799,0.4104536805329483,-0.010582278749637599,-0.0266330310617374,-0.039294048557932,0.2359881792212799,0.9022074045855673,0.41992390176409544,not_applicable,label_only_t0_baseline
baseline_3_probe_survival_step_up,baseline_3_same_scope,all|T+10|no_candidate,all|T+10,validation,all,T+10,0.25R->0.50R,probability_only_ev_r_blocked,False,episode_first_trigger_survivor_label_denominator,1671,414,0.24775583482944344,1257,729,447,81,0.5799522673031027,0.3556085918854415,0.06443914081145585,0.5567073559513661,0.6024652904351242,0.3335259016813671,0.37789924770587846,0.04575793448375809,0.04437334602451137,-0.2103576976336045,-0.3786159799848341,-0.1455407345844168,-0.10209420767045,0.3786159799848341,0.3786159799848341,0.155274096158033,0.26156754868320115,0.4438470971782748,0.0153104692794624,0.00807196735925405,0.0030747584712306503,0.26156754868320115,1.0,0.0,not_applicable,baseline_3_same_scope
candidate_probability_survival_step,candidate,all|T+10|no_candidate,all|T+10,validation,all,T+10,0.25R->0.50R,probability_only_ev_r_blocked,False,episode_first_trigger_candidate_included_label_denominator,0,0,,0,0,0,0,,,,0.0025,0.9025,0.0025,0.9025,0.9,0.9,,,,,,,,,,,,,,,,False,no_selected_candidate
baseline_1_t0_full_entry,baseline,all|T+10|no_candidate,all|T+10,robustness,all,T+10,full_1r_at_t0,probability_only_ev_r_blocked,False,episode_first_trigger_label_denominator,2973,850,0.2859064917591658,2123,879,1183,61,0.41403674046161093,0.557230334432407,0.0287329251059821,0.3964524581018111,0.4315991606857646,0.5393188879012869,0.5747645112905262,0.03514670258395347,0.03544562338923929,-0.2165308615220508,-0.34278731945233337,-0.1570248357276338,-0.11984666447866014,0.3427873194523334,0.3427873194523334,0.2031872479685263,0.3608098191356303,0.6304455602881507,0.0066577513147625,0.020293257270807698,0.0499565419488263,0.3608098191356303,0.9455262001539351,0.31146989572822065,not_applicable,label_only_t0_baseline
baseline_2_t0_probe_only,baseline,all|T+10|no_candidate,all|T+10,robustness,all,T+10,0.25R,probability_only_ev_r_blocked,False,episode_first_trigger_label_denominator,2973,850,0.2859064917591658,2123,879,1183,61,0.41403674046161093,0.557230334432407,0.0287329251059821,0.3964524581018111,0.4315991606857646,0.5393188879012869,0.5747645112905262,0.03514670258395347,0.03544562338923929,-0.2165308615220508,-0.34278731945233337,-0.1570248357276338,-0.11984666447866014,0.3427873194523334,0.3427873194523334,0.2031872479685263,0.3608098191356303,0.6304455602881507,0.0066577513147625,0.020293257270807698,0.0499565419488263,0.3608098191356303,0.9455262001539351,0.31146989572822065,not_applicable,label_only_t0_baseline
