input_name,input_path,required,exists,hash_or_mtime,validation_status,readiness_status,blocker_status
r02_1_manifest,ep4/outputs/r02_1_prior_probability_diagnostic_v1/manifests/r02_1_prior_probability_diagnostic_manifest.json,True,True,b64d5df80f4bc8cdaccbebb2e53baf8e77ffd8b017b2b488cbccb09563ec4043,not_applicable,present,
r02_1_validation,ep4/outputs/r02_1_prior_probability_diagnostic_v1/manifests/r02_1_prior_probability_diagnostic_validation.json,True,True,38da3134885212c0b8f7da0c8304b91d6b49dae91572350974ac256c2b9d306f,passed,present,
path_query_config,ep4/configs/r02_family_signal_120d_path_query_v1.yaml,True,True,5ec87f9c090f1b7619ff01d416431ba10ea130a520059f13671ed7f17cc146b1,not_applicable,present,
path_query_manifest,ep4/outputs/r02_family_signal_120d_path_query_v1/manifests/r02_family_signal_120d_path_query_manifest.json,True,True,58a258c7cf77cca5175e01b78aae243b7f18ca5032be4b3723f382a3fcebe36d,not_applicable,present,
path_query_validation,ep4/outputs/r02_family_signal_120d_path_query_v1/manifests/r02_family_signal_120d_path_query_validation.json,True,True,56c44f61117ee7b9248a4357ff16137f8b9e63d370d85bed816efaa3a611cdb7,passed,present,
eligible_day_density_panel,ep4/outputs/r02_big_winner_coverage_ratio_search_v1/cache/r02_eligible_day_density_panel.parquet,True,True,827eb684d808877049fbc378f904e1e84be888dc1bd1be4ad6870f8cc0db53fb,not_applicable,present,
r02_1_r02_1_r03_input_readiness,ep4/outputs/r02_1_prior_probability_diagnostic_v1/reports/r02_1_r03_input_readiness.csv,True,True,807acfc3906f223980ba1881eea8e3d26ff11c35bbefed36d6ece214b34f564c,not_applicable,present,
r02_1_r02_1_single_family_prior,ep4/outputs/r02_1_prior_probability_diagnostic_v1/reports/r02_1_single_family_prior.csv,True,True,ce58e4bfc212068f74b50b00ff3f7896bbf2a0de27cd541bcdbc4ccd8a032c4d,not_applicable,present,
r02_1_r02_1_same_day_family_count_prior,ep4/outputs/r02_1_prior_probability_diagnostic_v1/reports/r02_1_same_day_family_count_prior.csv,True,True,a5863315418a97619a3a13e3c49c59d20ef17b9ac822358e808a179a4540233f,not_applicable,present,
r02_1_r02_1_same_day_bundle_prior,ep4/outputs/r02_1_prior_probability_diagnostic_v1/reports/r02_1_same_day_bundle_prior.csv,True,True,f6d6e6258b693f7da0115dd2e3e62798a3bb0c0a9753f8d06451a8597dd33cd8,not_applicable,present,
r02_1_r02_1_context_bucket_prior,ep4/outputs/r02_1_prior_probability_diagnostic_v1/reports/r02_1_context_bucket_prior.csv,True,True,1a5d84d19c27ec4d38a215f6c98d425348dd18f6b909fe09ec17d8b3c43ffbaa,not_applicable,present,
r02_1_r02_1_survival_checkpoint_prior,ep4/outputs/r02_1_prior_probability_diagnostic_v1/reports/r02_1_survival_checkpoint_prior.csv,True,True,44b834c5f11eec093759cb2b8c3c2103e3a240ebc34b2d6f0fa52d5079c6452f,not_applicable,present,
r02_1_r02_1_fresh_evidence_prior,ep4/outputs/r02_1_prior_probability_diagnostic_v1/reports/r02_1_fresh_evidence_prior.csv,True,True,387937528cbcd743b40dbefd0050f56852739356291908080e6a5e630b3628a3,not_applicable,present,
r02_1_r02_1_fresh_evidence_offset_distribution,ep4/outputs/r02_1_prior_probability_diagnostic_v1/reports/r02_1_fresh_evidence_offset_distribution.csv,True,True,e16f2c80e01ba3f7726f58341232040d060022b1998a1b33a75ebc396bd31fb7,not_applicable,present,
r02_1_r02_1_split_stability_diagnostics,ep4/outputs/r02_1_prior_probability_diagnostic_v1/reports/r02_1_split_stability_diagnostics.csv,True,True,28c8e6f69e0ba99cfe5489fd407843b22ea00b1ed23b2cad661f888f8e5747e9,not_applicable,present,
r02_1_r02_1_ev_r_input_audit,ep4/outputs/r02_1_prior_probability_diagnostic_v1/reports/r02_1_ev_r_input_audit.csv,True,True,08f331b8357f73f0d84d04184cd96b2ad8462c1293c61bbe6d2422ab3cb3393d,not_applicable,present,
