fresh_evidence_status,fresh_offset_bucket,fresh_family_id_first,survival_checkpoint_conditioning,same_survival_checkpoint_conditioning_status,label_denominator_count,good_count,bad_count,neutral_count,P_good,P_bad,P_neutral,P_good_lower,P_good_upper,P_bad_lower,P_bad_upper,credible_interval_width_good,credible_interval_width_bad,fresh_before_observable_failure_rate,fresh_without_prior_observable_failure_rate,split_stability_status,gate_use_allowed,reason_if_not_allowed
ambiguous_same_offset,T11_T20,range_breakout|volatility_band,survived_t10,conditioned_by_survival_checkpoint_state,0,0,0,0,,,,0.0025,0.9025,0.0025,0.9025,0.9,0.9,0.0,0.0,descriptive_only,False,fresh evidence is descriptive in R03a and requires separate sequence / hazard diagnostic before gate use
ambiguous_same_offset,T3_T5,momentum_rps|pullback_drawdown|range_breakout|volume_money,survived_t3,conditioned_by_survival_checkpoint_state,0,0,0,0,,,,0.0025,0.9025,0.0025,0.9025,0.9,0.9,0.0,0.0,descriptive_only,False,fresh evidence is descriptive in R03a and requires separate sequence / hazard diagnostic before gate use
ambiguous_same_offset,T3_T5,price_trend|range_breakout,survived_t5,conditioned_by_survival_checkpoint_state,0,0,0,0,,,,0.0025,0.9025,0.0025,0.9025,0.9,0.9,0.0,0.0,descriptive_only,False,fresh evidence is descriptive in R03a and requires separate sequence / hazard diagnostic before gate use
ambiguous_same_offset,T6_T10,oscillator,survived_t10,conditioned_by_survival_checkpoint_state,0,0,0,0,,,,0.0025,0.9025,0.0025,0.9025,0.9,0.9,0.0,0.0,descriptive_only,False,fresh evidence is descriptive in R03a and requires separate sequence / hazard diagnostic before gate use
ambiguous_same_offset,T6_T10,range_breakout|volatility_band|volume_money,survived_t5,conditioned_by_survival_checkpoint_state,0,0,0,0,,,,0.0025,0.9025,0.0025,0.9025,0.9,0.9,0.0,0.0,descriptive_only,False,fresh evidence is descriptive in R03a and requires separate sequence / hazard diagnostic before gate use
censored_before_t30,censored,censored,censored_before_checkpoint,conditioned_by_survival_checkpoint_state,0,0,0,0,,,,0.0025,0.9025,0.0025,0.9025,0.9,0.9,,,descriptive_only,False,fresh evidence is descriptive in R03a and requires separate sequence / hazard diagnostic before gate use
found_within_t3_t30,T11_T20,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,survived_t10,conditioned_by_survival_checkpoint_state,546,319,186,41,0.5842490842490843,0.34065934065934067,0.07509157509157509,0.5487617648104656,0.6180141091268744,0.30768444814808454,0.37425662248811165,0.06925234431640881,0.0665721743400271,0.6295209621516306,1.0,descriptive_only,False,fresh evidence is descriptive in R03a and requires separate sequence / hazard diagnostic before gate use
found_within_t3_t30,T21_T30,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,survived_t10,conditioned_by_survival_checkpoint_state,117,71,33,13,0.6068376068376068,0.28205128205128205,0.1111111111111111,0.5287409309221813,0.6760175017102523,0.21706015987660035,0.35252776553204834,0.147276570788071,0.135467605655448,0.5193912616593028,1.0,descriptive_only,False,fresh evidence is descriptive in R03a and requires separate sequence / hazard diagnostic before gate use
found_within_t3_t30,T3_T5,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,survived_t3,conditioned_by_survival_checkpoint_state,3092,1760,1247,85,0.5692108667529108,0.40329883570504527,0.027490297542043983,0.5544282962600763,0.5837138868202494,0.3887952048370186,0.41780573875385196,0.029285590560173103,0.029010533916833336,0.7054805236601316,1.0,descriptive_only,False,fresh evidence is descriptive in R03a and requires separate sequence / hazard diagnostic before gate use
found_within_t3_t30,T3_T5,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,survived_t5,conditioned_by_survival_checkpoint_state,296,185,97,14,0.625,0.3277027027027027,0.0472972972972973,0.5769237531782805,0.6691891607359384,0.2837020204871673,0.3730792222681043,0.09226540755765789,0.089377201780937,0.6153822172340692,1.0,descriptive_only,False,fresh evidence is descriptive in R03a and requires separate sequence / hazard diagnostic before gate use
found_within_t3_t30,T6_T10,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,survived_t10,conditioned_by_survival_checkpoint_state,142,85,49,8,0.5985915492957746,0.34507042253521125,0.056338028169014086,0.527883600355391,0.6622299895374437,0.28112772326074614,0.41123366113547344,0.13434638918205277,0.1301059378747273,0.6269125683060109,1.0,descriptive_only,False,fresh evidence is descriptive in R03a and requires separate sequence / hazard diagnostic before gate use
found_within_t3_t30,T6_T10,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,survived_t5,conditioned_by_survival_checkpoint_state,839,472,312,55,0.5625744934445769,0.37187127532777114,0.06555423122765197,0.5339478954855557,0.5902145579925259,0.3445713454981827,0.399380719218597,0.05626666250697021,0.054809373720414334,0.7056294517063607,1.0,descriptive_only,False,fresh evidence is descriptive in R03a and requires separate sequence / hazard diagnostic before gate use
none_within_t3_t30,none,none,survived_t10,conditioned_by_survival_checkpoint_state,216,134,71,11,0.6203703703703703,0.3287037037037037,0.05092592592592592,0.5637038741251701,0.6718369200507565,0.2773588043046426,0.38190729171894844,0.10813304592558637,0.10454848741430584,,,descriptive_only,False,fresh evidence is descriptive in R03a and requires separate sequence / hazard diagnostic before gate use
seed_failed_before_fresh,none,none,not_survived_t10,conditioned_by_survival_checkpoint_state,690,0,690,0,0.0,1.0,0.0,2.8462787883900666e-06,0.002776780551519576,0.9956709005455278,0.999925718480388,0.002773934272731186,0.004254817934860267,,,descriptive_only,False,fresh evidence is descriptive in R03a and requires separate sequence / hazard diagnostic before gate use
seed_failed_before_fresh,none,none,not_survived_t3,conditioned_by_survival_checkpoint_state,350,0,350,0,0.0,1.0,0.0,5.605314297152188e-06,0.005461094431254235,0.9914893969465219,0.9998536674996918,0.005455489116957083,0.008364270553169906,,,descriptive_only,False,fresh evidence is descriptive in R03a and requires separate sequence / hazard diagnostic before gate use
seed_failed_before_fresh,none,none,not_survived_t5,conditioned_by_survival_checkpoint_state,555,0,555,0,0.0,1.0,0.0,3.5376811932662024e-06,0.0034501370571323395,0.9946216579724215,0.9999076670993308,0.003446599375939073,0.005286009126909241,,,descriptive_only,False,fresh evidence is descriptive in R03a and requires separate sequence / hazard diagnostic before gate use
seed_failed_before_fresh,none,none,survived_t10,conditioned_by_survival_checkpoint_state,520,42,441,37,0.08076923076923077,0.8480769230769231,0.07115384615384615,0.062759961155453,0.10205643196207513,0.8199262479348568,0.8717541175160299,0.03929647080662213,0.051827869581173136,,,descriptive_only,False,fresh evidence is descriptive in R03a and requires separate sequence / hazard diagnostic before gate use
seed_failed_before_t3,none,none,not_survived_t3,conditioned_by_survival_checkpoint_state,1195,0,1195,0,0.0,1.0,0.0,1.6442135401741985e-06,0.0016050073256516694,0.997497296534363,0.9999570956135291,0.0016033631121114952,0.0024597990791660473,,,descriptive_only,False,fresh evidence is descriptive in R03a and requires separate sequence / hazard diagnostic before gate use
