same_day_bundle_key,same_day_family_count,split,year,row_count,label_denominator_count,good_count,bad_count,neutral_count,censored_or_invalid_count,censored_or_invalid_rate,P_good,P_bad,P_neutral,P_good_plus_P_bad_plus_P_neutral,EV_R_diagnostic,sample_sufficiency_status,bundle_family_ids,is_review_composite_bundle,review_composite_signal_id_if_any,P_good_lower,P_good_upper,P_bad_lower,P_bad_upper,credible_interval_width_good,credible_interval_width_bad,split_stability_status,upstream_stability_status,r03a_gate_status,r03a_stability_status,descriptive_source,primary_gate_allowed,reason_if_not_allowed,fallback_grain_allowed,upstream_sample_sufficiency_status,used_by_candidate,fallback_level,context_bucket_id,entry_risk_pct_bucket,context_bucket_definition,context_source_fields,context_field_status
momentum_rps,1,robustness,2024,196,196,48,147,1,0,0.0,0.2448979591836734,0.75,0.0051020408163265,1.0,,thin_bucket_report_only,momentum_rps,False,,0.19681115292796716,0.29726448199597527,0.6946676010932963,0.7961544571946307,0.10045332906800811,0.10148685610133446,stable_enough_for_requirement_input,stable_enough_for_requirement_input,thin_report_only,not_stable_for_candidate,same_day_bundle_key,False,bundle_context_not_primary_gate_in_r03a_v1,False,thin_bucket_report_only,False,same_day_bundle_key,,,,,
momentum_rps,1,robustness,2025,252,75,26,48,1,177,0.7023809523809523,0.3466666666666667,0.64,0.0133333333333333,1.0,,thin_bucket_report_only,momentum_rps,False,,0.2597784070608617,0.43762828779034735,0.5419415323495653,0.722022519161305,0.17784988072948565,0.18008098681173967,stable_enough_for_requirement_input,stable_enough_for_requirement_input,thin_report_only,not_stable_for_candidate,same_day_bundle_key,False,bundle_context_not_primary_gate_in_r03a_v1,False,thin_bucket_report_only,False,same_day_bundle_key,,,,,
momentum_rps,1,train,2017,23,23,5,18,0,0,0.0,0.217391304347826,0.782608695652174,0.0,1.0,,too_sparse_use_fallback,momentum_rps,False,,0.10240671085812349,0.3725669824496818,0.6036159408314061,0.8824974617188933,0.2701602715915583,0.2788815208874872,stable_enough_for_requirement_input,stable_enough_for_requirement_input,too_sparse_use_fallback,not_stable_for_candidate,same_day_bundle_key,False,bundle_context_not_primary_gate_in_r03a_v1,False,too_sparse_use_fallback,False,same_day_bundle_key,,,,,
momentum_rps,1,train,2018,103,102,23,78,1,1,0.0097087378640776,0.2254901960784313,0.7647058823529411,0.0098039215686274,1.0,,thin_bucket_report_only,momentum_rps,False,,0.16274351115398172,0.2973852895081612,0.6868012917802586,0.8244034297371888,0.13464177835417945,0.13760213795693021,stable_enough_for_requirement_input,stable_enough_for_requirement_input,thin_report_only,not_stable_for_candidate,same_day_bundle_key,False,bundle_context_not_primary_gate_in_r03a_v1,False,thin_bucket_report_only,False,same_day_bundle_key,,,,,
momentum_rps,1,train,2019,121,121,41,80,0,0,0.0,0.3388429752066115,0.6611570247933884,0.0,1.0,,thin_bucket_report_only,momentum_rps,False,,0.2702173750607798,0.41033904146521444,0.5854126780829307,0.7259436916077016,0.14012166640443463,0.14053101352477082,stable_enough_for_requirement_input,stable_enough_for_requirement_input,thin_report_only,not_stable_for_candidate,same_day_bundle_key,False,bundle_context_not_primary_gate_in_r03a_v1,False,thin_bucket_report_only,False,same_day_bundle_key,,,,,
momentum_rps,1,train,2020,247,246,100,142,4,1,0.0040485829959514,0.4065040650406504,0.5772357723577236,0.016260162601626,1.0,,sufficient,momentum_rps,False,,0.35523934298660936,0.45774684390430453,0.5238269334972734,0.626990649610624,0.10250750091769517,0.10316371611335062,stable_enough_for_requirement_input,stable_enough_for_requirement_input,sufficient_and_stable,stable_enough_for_candidate,same_day_bundle_key,False,bundle_context_not_primary_gate_in_r03a_v1,True,sufficient,False,same_day_bundle_key,,,,,
momentum_rps,1,train,2021,433,193,60,133,0,240,0.5542725173210161,0.310880829015544,0.689119170984456,0.0,1.0,,thin_bucket_report_only,momentum_rps,False,,0.25770536816066675,0.36661741133162,0.6307038054593517,0.739862147355147,0.10891204317095327,0.10915834189579532,stable_enough_for_requirement_input,stable_enough_for_requirement_input,thin_report_only,not_stable_for_candidate,same_day_bundle_key,False,bundle_context_not_primary_gate_in_r03a_v1,False,thin_bucket_report_only,False,same_day_bundle_key,,,,,
momentum_rps,1,validation,2022,269,269,77,190,2,0,0.0,0.2862453531598513,0.7063197026022305,0.0074349442379182,1.0,,sufficient,momentum_rps,False,,0.2422771703242907,0.33253382761260925,0.6578369396385266,0.7489455804084089,0.09025665728831855,0.09110864076988223,stable_enough_for_requirement_input,stable_enough_for_requirement_input,sufficient_and_stable,stable_enough_for_candidate,same_day_bundle_key,False,bundle_context_not_primary_gate_in_r03a_v1,True,sufficient,False,same_day_bundle_key,,,,,
momentum_rps,1,validation,2023,152,106,28,76,2,46,0.3026315789473684,0.2641509433962264,0.7169811320754716,0.0188679245283018,1.0,,thin_bucket_report_only,momentum_rps,False,,0.19795293225616795,0.3372701657094006,0.6378680064519535,0.7808907668891583,0.13931723345323266,0.14302276043720474,stable_enough_for_requirement_input,stable_enough_for_requirement_input,thin_report_only,not_stable_for_candidate,same_day_bundle_key,False,bundle_context_not_primary_gate_in_r03a_v1,False,thin_bucket_report_only,False,same_day_bundle_key,,,,,
momentum_rps|oscillator,2,validation,2022,1,1,0,1,0,0,0.0,0.0,1.0,0.0,1.0,,too_sparse_use_fallback,momentum_rps|oscillator,False,,0.0011119352249856379,0.6583721538643488,0.13572088082974534,0.9663825297815459,0.6572602186393631,0.8306616489518006,missing_split,missing_split,too_sparse_use_fallback,not_stable_for_candidate,same_day_bundle_key,False,bundle_context_not_primary_gate_in_r03a_v1,False,too_sparse_use_fallback,False,same_day_bundle_key,,,,,
