stage,model_id,split,bucket_id,event_n,target_rate,score_min,score_max
stage_1,logistic_regression_l2,all,B1,3023,0.12934171352960636,0.016863031915944543,0.17865137884705648
stage_1,logistic_regression_l2,all,B2,3022,0.24454003970880211,0.17865554684095963,0.2735748525855733
stage_1,logistic_regression_l2,all,B3,3023,0.34832947403241815,0.27357868323201434,0.3800530474039317
stage_1,logistic_regression_l2,all,B4,3022,0.4814692256783587,0.3800544811586444,0.5234019303568875
stage_1,logistic_regression_l2,all,B5,3023,0.6596096592788621,0.5234095824975337,0.9997121641641563
stage_1,logistic_regression_l2,train,B1,1661,0.1366646598434678,0.03131765323661419,0.2426066138886074
stage_1,logistic_regression_l2,train,B2,1660,0.2993975903614458,0.24268492225471475,0.3482345428057088
stage_1,logistic_regression_l2,train,B3,1661,0.4099939795304034,0.34828000504389356,0.45548727622539964
stage_1,logistic_regression_l2,train,B4,1660,0.5355421686746988,0.455517961271361,0.5834427161213996
stage_1,logistic_regression_l2,train,B5,1661,0.7116195063214931,0.5834701709400639,0.9997121641641563
stage_1,logistic_regression_l2,validation,B1,431,0.16009280742459397,0.016863031915944543,0.13791804536040123
stage_1,logistic_regression_l2,validation,B2,430,0.20465116279069767,0.1380546540602897,0.2050197180346049
stage_1,logistic_regression_l2,validation,B3,430,0.34651162790697676,0.20505558507747088,0.27208244768898343
stage_1,logistic_regression_l2,validation,B4,430,0.3953488372093023,0.2722464415312014,0.36917973035876583
stage_1,logistic_regression_l2,validation,B5,430,0.5930232558139535,0.3692959369107905,0.9327920098819283
stage_1,logistic_regression_l2,robustness,B1,932,0.11802575107296137,0.025936056634660105,0.13682325728827124
stage_1,logistic_regression_l2,robustness,B2,932,0.1781115879828326,0.13683284071543167,0.20554919691060086
stage_1,logistic_regression_l2,robustness,B3,931,0.26423200859291085,0.20564550148112046,0.29009064046731187
stage_1,logistic_regression_l2,robustness,B4,932,0.40772532188841204,0.29011007103386166,0.41607457714905444
stage_1,logistic_regression_l2,robustness,B5,932,0.5611587982832618,0.416106067271851,0.99968570690243
stage_1,shallow_decision_tree_max_depth_3,all,B1,3023,0.1240489579887529,0.12024825446082234,0.12024825446082234
stage_1,shallow_decision_tree_max_depth_3,all,B2,3022,0.2673726009265387,0.12024825446082234,0.30051091500232235
stage_1,shallow_decision_tree_max_depth_3,all,B3,3023,0.34138273238504796,0.30051091500232235,0.43270300333704115
stage_1,shallow_decision_tree_max_depth_3,all,B4,3022,0.4923891462607545,0.43270300333704115,0.5825027685492802
stage_1,shallow_decision_tree_max_depth_3,all,B5,3023,0.6381078398941449,0.5825027685492802,0.7257142857142858
stage_1,shallow_decision_tree_max_depth_3,train,B1,1661,0.15171583383503914,0.12024825446082234,0.30051091500232235
stage_1,shallow_decision_tree_max_depth_3,train,B2,1660,0.30542168674698794,0.30051091500232235,0.30051091500232235
stage_1,shallow_decision_tree_max_depth_3,train,B3,1661,0.3979530403371463,0.30051091500232235,0.43270300333704115
stage_1,shallow_decision_tree_max_depth_3,train,B4,1660,0.5596385542168675,0.43270300333704115,0.5825027685492802
stage_1,shallow_decision_tree_max_depth_3,train,B5,1661,0.6785069235400362,0.5825027685492802,0.7257142857142858
stage_1,shallow_decision_tree_max_depth_3,validation,B1,431,0.12761020881670534,0.12024825446082234,0.12024825446082234
stage_1,shallow_decision_tree_max_depth_3,validation,B2,430,0.2651162790697674,0.12024825446082234,0.30051091500232235
stage_1,shallow_decision_tree_max_depth_3,validation,B3,430,0.313953488372093,0.30051091500232235,0.30051091500232235
stage_1,shallow_decision_tree_max_depth_3,validation,B4,430,0.42790697674418604,0.30051091500232235,0.43270300333704115
stage_1,shallow_decision_tree_max_depth_3,validation,B5,430,0.5651162790697675,0.43270300333704115,0.7257142857142858
stage_1,shallow_decision_tree_max_depth_3,robustness,B1,932,0.11266094420600858,0.12024825446082234,0.12024825446082234
stage_1,shallow_decision_tree_max_depth_3,robustness,B2,932,0.18669527896995708,0.12024825446082234,0.30051091500232235
stage_1,shallow_decision_tree_max_depth_3,robustness,B3,931,0.2545649838882922,0.30051091500232235,0.30051091500232235
stage_1,shallow_decision_tree_max_depth_3,robustness,B4,932,0.40236051502145925,0.30051091500232235,0.5825027685492802
stage_1,shallow_decision_tree_max_depth_3,robustness,B5,932,0.572961373390558,0.5825027685492802,0.7257142857142858
