feature_name,orientation_selected_on_train,split,budget,selected_n,selected_fast_fail_rate,frontier_status
event_t0_pos,desc,all,0.5,7558,0.3453294522360413,ok
event_t0_pos,desc,train,0.5,4152,0.398121387283237,ok
event_t0_pos,desc,validation,0.5,1076,0.30018587360594795,ok
event_t0_pos,desc,robustness,0.5,2330,0.2721030042918455,ok
triggered_family_count,asc,all,0.5,7558,0.33818470494839903,ok
triggered_family_count,asc,train,0.5,4152,0.3930635838150289,ok
triggered_family_count,asc,validation,0.5,1076,0.3020446096654275,ok
triggered_family_count,asc,robustness,0.5,2330,0.2570815450643777,ok
triggered_family_ge2,asc,all,0.5,7558,0.33818470494839903,ok
triggered_family_ge2,asc,train,0.5,4152,0.3930635838150289,ok
triggered_family_ge2,asc,validation,0.5,1076,0.3020446096654275,ok
triggered_family_ge2,asc,robustness,0.5,2330,0.2570815450643777,ok
canonical_priority,asc,all,0.5,7558,0.34599100291082296,ok
canonical_priority,asc,train,0.5,4152,0.3841522157996146,ok
canonical_priority,asc,validation,0.5,1076,0.3066914498141264,ok
canonical_priority,asc,robustness,0.5,2330,0.296137339055794,ok
raw_instance_count_collapsed,desc,all,0.5,7558,0.35273881979359617,ok
raw_instance_count_collapsed,desc,train,0.5,4152,0.39065510597302505,ok
raw_instance_count_collapsed,desc,validation,0.5,1076,0.3131970260223048,ok
raw_instance_count_collapsed,desc,robustness,0.5,2330,0.3034334763948498,ok
primary_family_is_B1,asc,all,0.5,7558,0.3244244509129399,ok
primary_family_is_B1,asc,train,0.5,4152,0.3764450867052023,ok
primary_family_is_B1,asc,validation,0.5,1076,0.29182156133828996,ok
primary_family_is_B1,asc,robustness,0.5,2330,0.24678111587982832,ok
has_B1_trigger,asc,all,0.5,7558,0.3244244509129399,ok
has_B1_trigger,asc,train,0.5,4152,0.3764450867052023,ok
has_B1_trigger,asc,validation,0.5,1076,0.29182156133828996,ok
has_B1_trigger,asc,robustness,0.5,2330,0.24678111587982832,ok
primary_family_is_B2,desc,all,0.5,7558,0.3207197671341625,ok
primary_family_is_B2,desc,train,0.5,4152,0.37162813102119463,ok
primary_family_is_B2,desc,validation,0.5,1076,0.2648698884758364,ok
primary_family_is_B2,desc,robustness,0.5,2330,0.255793991416309,ok
has_B2_trigger,desc,all,0.5,7558,0.3211166975390315,ok
has_B2_trigger,desc,train,0.5,4152,0.37162813102119463,ok
has_B2_trigger,desc,validation,0.5,1076,0.26858736059479554,ok
has_B2_trigger,desc,robustness,0.5,2330,0.2553648068669528,ok
primary_family_is_B3,desc,all,0.5,7558,0.31635353268060334,ok
primary_family_is_B3,desc,train,0.5,4152,0.3713872832369942,ok
primary_family_is_B3,desc,validation,0.5,1076,0.266728624535316,ok
primary_family_is_B3,desc,robustness,0.5,2330,0.24120171673819743,ok
has_B3_trigger,desc,all,0.5,7558,0.3186028049748611,ok
has_B3_trigger,desc,train,0.5,4152,0.3733140655105973,ok
has_B3_trigger,desc,validation,0.5,1076,0.2732342007434944,ok
has_B3_trigger,desc,robustness,0.5,2330,0.24206008583690988,ok
primary_family_is_B4,asc,all,0.5,7558,0.32032283672929346,ok
primary_family_is_B4,asc,train,0.5,4152,0.37210982658959535,ok
primary_family_is_B4,asc,validation,0.5,1076,0.2760223048327137,ok
primary_family_is_B4,asc,robustness,0.5,2330,0.24849785407725322,ok
has_B4_trigger,asc,all,0.5,7558,0.32032283672929346,ok
has_B4_trigger,asc,train,0.5,4152,0.37210982658959535,ok
has_B4_trigger,asc,validation,0.5,1076,0.2760223048327137,ok
has_B4_trigger,asc,robustness,0.5,2330,0.24849785407725322,ok
primary_family_is_B5,asc,all,0.5,7558,0.34665255358560465,ok
primary_family_is_B5,asc,train,0.5,4152,0.3983622350674374,ok
primary_family_is_B5,asc,validation,0.5,1076,0.2955390334572491,ok
primary_family_is_B5,asc,robustness,0.5,2330,0.27811158798283264,ok
has_B5_trigger,desc,all,0.5,7558,0.35247419952368353,ok
has_B5_trigger,desc,train,0.5,4152,0.3995664739884393,ok
has_B5_trigger,desc,validation,0.5,1076,0.30111524163568776,ok
has_B5_trigger,desc,robustness,0.5,2330,0.29227467811158797,ok
primary_family_is_B6,asc,all,0.5,7558,0.3164858428155597,ok
primary_family_is_B6,asc,train,0.5,4152,0.36777456647398843,ok
primary_family_is_B6,asc,validation,0.5,1076,0.2695167286245353,ok
primary_family_is_B6,asc,robustness,0.5,2330,0.24678111587982832,ok
has_B6_trigger,asc,all,0.5,7558,0.3145011907912146,ok
has_B6_trigger,asc,train,0.5,4152,0.36440269749518306,ok
has_B6_trigger,asc,validation,0.5,1076,0.2741635687732342,ok
has_B6_trigger,asc,robustness,0.5,2330,0.244206008583691,ok
primary_family_is_B8,asc,all,0.5,7558,0.32032283672929346,ok
primary_family_is_B8,asc,train,0.5,4152,0.3713872832369942,ok
primary_family_is_B8,asc,validation,0.5,1076,0.28066914498141265,ok
primary_family_is_B8,asc,robustness,0.5,2330,0.24763948497854077,ok
has_B8_trigger,asc,all,0.5,7558,0.32217517861868217,ok
has_B8_trigger,asc,train,0.5,4152,0.3725915221579961,ok
has_B8_trigger,asc,validation,0.5,1076,0.2760223048327137,ok
has_B8_trigger,asc,robustness,0.5,2330,0.2536480686695279,ok
ret_5d,asc,all,0.5,7558,0.29531622122254564,ok
ret_5d,asc,train,0.5,4152,0.3499518304431599,ok
ret_5d,asc,validation,0.5,1076,0.266728624535316,ok
ret_5d,asc,robustness,0.5,2330,0.2111587982832618,ok
ret_10d,asc,all,0.5,7558,0.30973802593278643,ok
ret_10d,asc,train,0.5,4152,0.3603082851637765,ok
ret_10d,asc,validation,0.5,1076,0.3048327137546468,ok
ret_10d,asc,robustness,0.5,2330,0.22188841201716739,ok
ret_20d,asc,all,0.5,7558,0.2983593543265414,ok
ret_20d,asc,train,0.5,4152,0.3400770712909441,ok
ret_20d,asc,validation,0.5,1076,0.28810408921933084,ok
ret_20d,asc,robustness,0.5,2330,0.22875536480686695,ok
ret_60d,asc,all,0.5,7558,0.2884360942048161,ok
ret_60d,asc,train,0.5,4152,0.3210500963391137,ok
ret_60d,asc,validation,0.5,1076,0.30390334572490707,ok
ret_60d,asc,robustness,0.5,2330,0.22317596566523606,ok
volatility_20d,asc,all,0.5,7558,0.23630590103201904,ok
volatility_20d,asc,train,0.5,4152,0.2875722543352601,ok
volatility_20d,asc,validation,0.5,1076,0.20910780669144982,ok
volatility_20d,asc,robustness,0.5,2330,0.1575107296137339,ok
volatility_60d,asc,all,0.5,7558,0.24609685101878803,ok
volatility_60d,asc,train,0.5,4152,0.3032273603082852,ok
volatility_60d,asc,validation,0.5,1076,0.22211895910780668,ok
volatility_60d,asc,robustness,0.5,2330,0.15536480686695278,ok
distance_to_20d_high,desc,all,0.5,7558,0.32283672929346385,ok
distance_to_20d_high,desc,train,0.5,4152,0.38198458574181116,ok
