feature_name,orientation_selected_on_train,split,budget,selected_n,selected_continuation_rate,frontier_status
event_t0_pos,desc,all,0.5,3593,0.14695240745894794,ok
event_t0_pos,desc,train,0.5,1554,0.16731016731016732,ok
event_t0_pos,desc,validation,0.5,646,0.07430340557275542,ok
event_t0_pos,desc,robustness,0.5,1393,0.15793251974156497,ok
triggered_family_count,desc,all,0.5,3593,0.12079042582799888,ok
triggered_family_count,desc,train,0.5,1554,0.14736164736164736,ok
triggered_family_count,desc,validation,0.5,646,0.07894736842105263,ok
triggered_family_count,desc,robustness,0.5,1393,0.11055276381909548,ok
triggered_family_ge2,desc,all,0.5,3593,0.12079042582799888,ok
triggered_family_ge2,desc,train,0.5,1554,0.14736164736164736,ok
triggered_family_ge2,desc,validation,0.5,646,0.07894736842105263,ok
triggered_family_ge2,desc,robustness,0.5,1393,0.11055276381909548,ok
canonical_priority,asc,all,0.5,3593,0.12691344280545505,ok
canonical_priority,asc,train,0.5,1554,0.15315315315315314,ok
canonical_priority,asc,validation,0.5,646,0.08359133126934984,ok
canonical_priority,asc,robustness,0.5,1393,0.11773151471643933,ok
raw_instance_count_collapsed,asc,all,0.5,3593,0.11661564152518787,ok
raw_instance_count_collapsed,asc,train,0.5,1554,0.15057915057915058,ok
raw_instance_count_collapsed,asc,validation,0.5,646,0.06501547987616099,ok
raw_instance_count_collapsed,asc,robustness,0.5,1393,0.10265613783201723,ok
primary_family_is_B1,desc,all,0.5,3593,0.1104926245477317,ok
primary_family_is_B1,desc,train,0.5,1554,0.14478764478764478,ok
primary_family_is_B1,desc,validation,0.5,646,0.0696594427244582,ok
primary_family_is_B1,desc,robustness,0.5,1393,0.09117013639626705,ok
has_B1_trigger,desc,all,0.5,3593,0.1104926245477317,ok
has_B1_trigger,desc,train,0.5,1554,0.14478764478764478,ok
has_B1_trigger,desc,validation,0.5,646,0.0696594427244582,ok
has_B1_trigger,desc,robustness,0.5,1393,0.09117013639626705,ok
primary_family_is_B2,desc,all,0.5,3593,0.11438908989702198,ok
primary_family_is_B2,desc,train,0.5,1554,0.1537966537966538,ok
primary_family_is_B2,desc,validation,0.5,646,0.06501547987616099,ok
primary_family_is_B2,desc,robustness,0.5,1393,0.09332376166547021,ok
has_B2_trigger,desc,all,0.5,3593,0.11494572780406345,ok
has_B2_trigger,desc,train,0.5,1554,0.1525096525096525,ok
has_B2_trigger,desc,validation,0.5,646,0.06811145510835913,ok
has_B2_trigger,desc,robustness,0.5,1393,0.09475951184493898,ok
primary_family_is_B3,desc,all,0.5,3593,0.11021430559421097,ok
primary_family_is_B3,desc,train,0.5,1554,0.14221364221364222,ok
primary_family_is_B3,desc,validation,0.5,646,0.0696594427244582,ok
primary_family_is_B3,desc,robustness,0.5,1393,0.09332376166547021,ok
has_B3_trigger,desc,all,0.5,3593,0.10993598664069024,ok
has_B3_trigger,desc,train,0.5,1554,0.14285714285714285,ok
has_B3_trigger,desc,validation,0.5,646,0.06501547987616099,ok
has_B3_trigger,desc,robustness,0.5,1393,0.09404163675520459,ok
primary_family_is_B4,asc,all,0.5,3593,0.10381296966323407,ok
primary_family_is_B4,asc,train,0.5,1554,0.138996138996139,ok
primary_family_is_B4,asc,validation,0.5,646,0.0696594427244582,ok
primary_family_is_B4,asc,robustness,0.5,1393,0.08040201005025126,ok
has_B4_trigger,asc,all,0.5,3593,0.10381296966323407,ok
has_B4_trigger,asc,train,0.5,1554,0.138996138996139,ok
has_B4_trigger,asc,validation,0.5,646,0.0696594427244582,ok
has_B4_trigger,asc,robustness,0.5,1393,0.08040201005025126,ok
primary_family_is_B5,asc,all,0.5,3593,0.12468689117728918,ok
