split,horizon_sessions,lower_barrier_pct,complete_executable_event_n,fast_fail_rate,primary_target_flag
all,10,-0.06,15113,0.44590749685701053,False
train,10,-0.06,8303,0.48211489822955556,False
validation,10,-0.06,2151,0.40446304044630405,False
robustness,10,-0.06,4659,0.40051513200257566,False
all,10,-0.08,15113,0.32356249586448754,False
train,10,-0.08,8303,0.35770203540888834,False
validation,10,-0.08,2151,0.26638772663877264,False
robustness,10,-0.08,4659,0.2891178364455892,False
all,10,-0.1,15113,0.22947131608548932,False
train,10,-0.1,8303,0.25797904371913766,False
validation,10,-0.1,2151,0.1794514179451418,False
robustness,10,-0.1,4659,0.2017600343421335,False
all,10,-0.12,15113,0.15873751075233242,False
train,10,-0.12,8303,0.1852342526797543,False
validation,10,-0.12,2151,0.11297071129707113,False
robustness,10,-0.12,4659,0.13264649066323245,False
all,10,-0.15,15113,0.09190762919340965,False
train,10,-0.15,8303,0.11140551607852583,False
validation,10,-0.15,2151,0.05439330543933055,False
robustness,10,-0.15,4659,0.07447950203906417,False
all,10,-0.2,15113,0.03447363197247403,False
train,10,-0.2,8303,0.04516439841021318,False
validation,10,-0.2,2151,0.017666201766620176,False
robustness,10,-0.2,4659,0.0231809401159047,False
all,20,-0.06,15113,0.5810229603652485,False
train,20,-0.06,8303,0.6209803685414911,False
validation,20,-0.06,2151,0.5685727568572757,False
robustness,20,-0.06,4659,0.515561279244473,False
all,20,-0.08,15113,0.4701912260967379,False
train,20,-0.08,8303,0.5128266891485005,False
validation,20,-0.08,2151,0.44490934449093444,False
robustness,20,-0.08,4659,0.4058810903627388,False
all,20,-0.1,15113,0.3726592999404486,True
train,20,-0.1,8303,0.418643863663736,True
validation,20,-0.1,2151,0.3398419339841934,True
robustness,20,-0.1,4659,0.30585962652929816,True
all,20,-0.12,15113,0.2923311056706147,False
train,20,-0.12,8303,0.33819101529567624,False
validation,20,-0.12,2151,0.24918642491864249,False
robustness,20,-0.12,4659,0.23052157115260785,False
all,20,-0.15,15113,0.19804142129292662,False
train,20,-0.15,8303,0.23750451643984102,False
validation,20,-0.15,2151,0.15341701534170155,False
robustness,20,-0.15,4659,0.14831508907490878,False
all,20,-0.2,15113,0.09528220737113743,False
train,20,-0.2,8303,0.12405154763338552,False
validation,20,-0.2,2151,0.06555090655509066,False
robustness,20,-0.2,4659,0.05773771195535523,False
