feature_name,split,coverage_rate,pearson_corr_vs_realized_ret_to_close_20d,spearman_corr_vs_realized_ret_to_close_20d,max_abs_redundancy_corr,redundancy_status,allowed_for_stage_2_after_audit
realized_ret_to_close_20d,all,1.0,1.0,0.9999999999999998,1.0,diagnostic_only_redundant_or_sparse,False
realized_max_high_return_0_20d,all,1.0,0.8179460201833217,0.7111863897555211,0.8179460201833217,pass,True
realized_min_low_return_0_20d,all,1.0,0.6546941657647357,0.7760769652886681,0.6546941657647357,pass,True
realized_close_to_max_high_drawup_0_20d,all,1.0,0.5208779866406114,0.6349528804181007,0.5208779866406114,pass,True
realized_close_to_min_low_drawdown_0_20d,all,1.0,0.8352437623647286,0.694886890303176,0.8352437623647286,pass,True
realized_path_volatility_0_20d,all,1.0,0.32134984675906025,0.17753228998072987,0.32134984675906025,pass,True
realized_up_session_ratio_0_20d,all,1.0,0.6147615493800151,0.6429895873256011,0.6147615493800151,pass,True
realized_max_consecutive_up_sessions_0_20d,all,1.0,0.4371735827931522,0.430043444753265,0.4371735827931522,pass,True
realized_max_consecutive_down_sessions_0_20d,all,1.0,-0.37474873067492265,-0.4194684651649168,0.37474873067492265,pass,True
sessions_since_min_low_0_20d,all,1.0,0.6304074029392915,0.7200366694905002,0.6304074029392915,pass,True
sessions_since_max_high_0_20d,all,1.0,-0.6347859170579733,-0.7310381980753599,0.6347859170579733,pass,True
realized_close_above_entry_session_ratio_0_20d,all,1.0,0.6661534466093935,0.7746604201426827,0.6661534466093935,pass,True
realized_turnover_zscore_trend_0_20d,all,1.0,0.3260940641557238,0.3673833347848322,0.3260940641557238,pass,True
realized_volume_zscore_trend_0_20d,all,1.0,0.41697680454546565,0.42149971177287,0.41697680454546565,pass,True
realized_distance_to_20d_high_at_day20,all,1.0,0.48798857769221216,0.594546127147007,0.48798857769221216,pass,True
realized_distance_to_60d_high_at_day20,all,1.0,0.5697736295797213,0.6893261542561046,0.5697736295797213,pass,True
realized_ma_5_20_spread_at_day20,all,1.0,0.811836427316439,0.7894819508242809,0.811836427316439,pass,True
realized_late_window_ret_10_20d,all,1.0,0.6563297377591987,0.6023812661914518,0.6563297377591987,pass,True
realized_early_window_ret_0_10d,all,1.0,0.7070553351434938,0.674037625467287,0.7070553351434938,pass,True
realized_momentum_accel_early_late_0_20d,all,1.0,-0.07656232757782432,-0.05087233235275005,0.07656232757782432,pass,True
