stage,model_id,split,bucket_id,event_n,target_rate,score_min,score_max
stage_2,logistic_regression_l2,all,B1,1437,0.22894919972164232,0.1942450236198822,0.8224002282169467
stage_2,logistic_regression_l2,all,B2,1437,0.15379262352122477,0.13937799925935043,0.19412156255848068
stage_2,logistic_regression_l2,all,B3,1437,0.11203897007654837,0.10137284222607168,0.13931581733500245
stage_2,logistic_regression_l2,all,B4,1437,0.08072372999304106,0.06775813269481999,0.10136996067199595
stage_2,logistic_regression_l2,all,B5,1437,0.060542797494780795,0.00961762042861639,0.06774339817058937
stage_2,logistic_regression_l2,train,B1,622,0.2909967845659164,0.21895062477890428,0.5445458036732453
stage_2,logistic_regression_l2,train,B2,621,0.2028985507246377,0.15857419800621844,0.2189486037171138
stage_2,logistic_regression_l2,train,B3,621,0.12560386473429952,0.11685825118195732,0.15855879311791218
stage_2,logistic_regression_l2,train,B4,621,0.09500805152979067,0.07818034651813444,0.11681707437751376
stage_2,logistic_regression_l2,train,B5,622,0.04340836012861737,0.00961762042861639,0.07796303842738639
stage_2,logistic_regression_l2,validation,B1,259,0.12355212355212356,0.18455037023034265,0.5564991933574119
stage_2,logistic_regression_l2,validation,B2,258,0.08527131782945736,0.13478322677478521,0.18420339863947846
stage_2,logistic_regression_l2,validation,B3,258,0.06976744186046512,0.09911186192191868,0.13404938539103622
stage_2,logistic_regression_l2,validation,B4,258,0.06589147286821706,0.06875502398351178,0.09897144900564868
stage_2,logistic_regression_l2,validation,B5,259,0.04633204633204633,0.011028704857402758,0.06869533894633514
stage_2,logistic_regression_l2,robustness,B1,558,0.17383512544802868,0.1686144619593368,0.8224002282169467
stage_2,logistic_regression_l2,robustness,B2,557,0.1561938958707361,0.12092880461158789,0.16858603235676406
stage_2,logistic_regression_l2,robustness,B3,557,0.11669658886894076,0.08955786086817233,0.12090434222138748
stage_2,logistic_regression_l2,robustness,B4,557,0.08976660682226212,0.06018332309807014,0.08951805694702587
stage_2,logistic_regression_l2,robustness,B5,557,0.07719928186714542,0.012652516857400499,0.060068564721187365
stage_2,shallow_decision_tree_max_depth_3,all,B1,1437,0.2428670842032011,0.20759493670886076,0.2889165628891656
stage_2,shallow_decision_tree_max_depth_3,all,B2,1437,0.08629088378566457,0.13917525773195877,0.20759493670886076
stage_2,shallow_decision_tree_max_depth_3,all,B3,1437,0.09255393180236604,0.1078167115902965,0.13917525773195877
stage_2,shallow_decision_tree_max_depth_3,all,B4,1437,0.08698677800974251,0.019867549668874173,0.1078167115902965
stage_2,shallow_decision_tree_max_depth_3,all,B5,1437,0.12734864300626306,0.019867549668874173,0.019867549668874173
stage_2,shallow_decision_tree_max_depth_3,train,B1,622,0.2942122186495177,0.2889165628891656,0.2889165628891656
stage_2,shallow_decision_tree_max_depth_3,train,B2,621,0.2222222222222222,0.13930348258706468,0.2889165628891656
stage_2,shallow_decision_tree_max_depth_3,train,B3,621,0.13848631239935588,0.1078167115902965,0.13930348258706468
stage_2,shallow_decision_tree_max_depth_3,train,B4,621,0.0644122383252818,0.040100250626566414,0.1078167115902965
stage_2,shallow_decision_tree_max_depth_3,train,B5,622,0.03858520900321544,0.019867549668874173,0.040100250626566414
stage_2,shallow_decision_tree_max_depth_3,validation,B1,259,0.07722007722007722,0.13917525773195877,0.2889165628891656
stage_2,shallow_decision_tree_max_depth_3,validation,B2,258,0.09302325581395349,0.13917525773195877,0.13917525773195877
stage_2,shallow_decision_tree_max_depth_3,validation,B3,258,0.046511627906976744,0.13917525773195877,0.13917525773195877
stage_2,shallow_decision_tree_max_depth_3,validation,B4,258,0.06976744186046512,0.019867549668874173,0.13917525773195877
stage_2,shallow_decision_tree_max_depth_3,validation,B5,259,0.10424710424710425,0.019867549668874173,0.019867549668874173
stage_2,shallow_decision_tree_max_depth_3,robustness,B1,558,0.1039426523297491,0.13917525773195877,0.2889165628891656
stage_2,shallow_decision_tree_max_depth_3,robustness,B2,557,0.04129263913824058,0.13917525773195877,0.13917525773195877
stage_2,shallow_decision_tree_max_depth_3,robustness,B3,557,0.11490125673249552,0.1078167115902965,0.13917525773195877
stage_2,shallow_decision_tree_max_depth_3,robustness,B4,557,0.17235188509874327,0.019867549668874173,0.1078167115902965
stage_2,shallow_decision_tree_max_depth_3,robustness,B5,557,0.1813285457809695,0.019867549668874173,0.019867549668874173
