artifact_id,path,read_status,schema_status,sha256,row_count_sample
meta_label_event_universe,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/meta_label_event_universe.csv.gz,pass,pass,423e638041b2c2aa0b9973c3da5402f61d997660e7f7e229ee279b468d2e408f,5.0
meta_label_event_targets,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/meta_label_event_targets.csv.gz,pass,pass,049d8122637352ce73573d20e500d89b42850c07acde999ae6d207759b05c92c,5.0
meta_label_feature_dictionary,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/meta_label_feature_dictionary.csv,pass,pass,a5ff0466778be75ec99380d08f601b99fe1c1faae9bfed11e7610b43f25ff2d5,5.0
meta_label_feature_matrix,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/local_cache/12A4_state_change_meta_label_filter_feasibility/meta_label_event_feature_matrix.parquet,pass,pass,365ebf1ca8e1ac8933557e04f765c6581828e2e6b81ac3163566387ea4969c36,
entry_forward_path_cache,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/local_cache/12A6b_c0_risk_on_fast_fail_survival_uplift_audit/entry_forward_path_cache.parquet,pass,pass,244bd5e1ba04b7a431f11579ca3bbe7a68dc052d62a0866bafb6671568f6a03b,
matched_random_sampled_entries,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A6b_c0_risk_on_fast_fail_survival_uplift_audit/matched_random_sampled_entries.csv.gz,pass,pass,f75371d5fb30a40f12c09c91523f8f8a669aa9b99698a377960ec07dfcf50eb5,5.0
fast_fail_uplift_vs_baselines,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A6b_c0_risk_on_fast_fail_survival_uplift_audit/fast_fail_uplift_vs_baselines.csv,pass,pass,af4b36e6699ef22fcd7ba454871150f26be2a15ac081cd2a444c6c3d65a5f6eb,5.0
conditional_continuation_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A6b_c0_risk_on_fast_fail_survival_uplift_audit/conditional_continuation_readout.csv,pass,pass,21fd6c444893520c57cb20677e0109434b9f28e502b6c72a04a8850b53628545,5.0
fast_fail_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A6b_c0_risk_on_fast_fail_survival_uplift_audit/fast_fail_decision.csv,pass,pass,c3e2ab304b8862a5a3ad258d17532c386244971eeab6d34d675b9e8723253cca,1.0
state_change_generation_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A2_state_change_backbone_candidate_generator/state_change_generation_decision.csv,pass,pass,b63d37534cef28efccd89f67a23f60fff2b6e4153c36b9d309a24a2955da2f22,1.0
r_core_demote_or_keep_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A0_12A1_winner_registry_lineage_and_r_core_backbone_demotion_audit/r_core_demote_or_keep_decision.csv,pass,pass,7004973765621a9935e12ef2cba33a82c9846876d8a9cf1a858833286b3fb7a1,1.0
global_regime_calendar,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/11_archetype_proxy_validation_system_v0/outputs/publishable/tables/11A0_regime_pit_availability_audit/regime_daily_series_audit.csv,pass,pass,8ec181dd392b20c1677c61c5a74f4d6bfa5609f78782057958c96ec63e600898,5.0
pit_executable_daily,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_executable_daily.csv,pass,pass,e73968ddf54b646ab2d831467a0e2882970e5f96880df12c41bd01a39c243965,5.0
manifest_12a4,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/manifests/12A4_state_change_meta_label_filter_feasibility_manifest.json,pass,pass,84c91c98af91c22929a0ba7fb88a8814700a49923b45af36452bd9ab52a446c2,
manifest_12a6b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/manifests/12A6b_c0_risk_on_fast_fail_survival_uplift_audit_manifest.json,pass,pass,19f6a8f54e3930c34b913edd3ccc3e71718e503315a6edbf3a25ed86b24b1f15,
requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/requirement_12a6c_two_stage_fast_fail_rejector_continuation_feasibility.md,pass,pass,7c755ff2932b5d16f07154f9161d32569222a86a89abab287a62ed9f40c67112,
stock_daily_csv_dir,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,pass,pass,,
