stage,model_id,seed,split,board_bucket,calendar_month,model_budget,random_denominator_n,random_selected_n,sample_weight_sum,random_rate,retention_rank_rule
stage_1,logistic_regression_l2,120600,robustness,chinext,2024-03,0.4606741573033708,89,41,89.0,0.5121951219512195,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_1,logistic_regression_l2,120600,robustness,chinext,2024-04,0.85,60,51,60.0,0.3137254901960784,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_1,logistic_regression_l2,120600,robustness,chinext,2024-05,0.7755102040816326,49,38,49.0,0.5,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_1,logistic_regression_l2,120600,robustness,chinext,2024-09,0.875,56,49,56.0,0.30612244897959184,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_1,logistic_regression_l2,120600,robustness,chinext,2024-10,0.13829787234042554,94,13,94.0,0.5384615384615384,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_1,logistic_regression_l2,120600,robustness,chinext,2024-11,0.07792207792207792,77,6,77.0,0.16666666666666666,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_1,logistic_regression_l2,120600,robustness,chinext,2024-12,0.5208333333333334,48,25,48.0,0.76,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_1,logistic_regression_l2,120600,robustness,chinext,2025-02,0.5068493150684932,73,37,73.0,0.43243243243243246,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_1,logistic_regression_l2,120600,robustness,chinext,2025-03,0.575,40,23,40.0,0.9130434782608695,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_1,logistic_regression_l2,120600,robustness,chinext,2025-04,1.0,4,4,4.0,1.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_1,logistic_regression_l2,120600,robustness,chinext,2025-05,0.9285714285714286,28,26,28.0,0.11538461538461539,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_1,logistic_regression_l2,120600,robustness,chinext,2025-06,0.788235294117647,85,67,85.0,0.1044776119402985,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
