feature_group,eval_split,train_max_event_t0_date,eval_min_event_t0_date,split_time_boundary_gate_pass
train_frozen_thresholds,validation,2021-12-31,2022-01-04,True
train_frozen_thresholds,robustness,2021-12-31,2024-03-01,True
