stage,model_id,seed,split,board_bucket,calendar_month,model_budget,random_denominator_n,random_selected_n,sample_weight_sum,random_rate,retention_rank_rule
stage_2,logistic_regression_l2,120600,robustness,main_board,2025-09,0.25,119,29,119.0,0.10344827586206896,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,main_board,2025-10,0.1702127659574468,138,23,138.0,0.043478260869565216,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,robustness,main_board,2025-11,0.16923076923076924,58,9,58.0,0.2222222222222222,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,chinext,2018-01,0.0,1,0,1.0,,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,chinext,2019-02,0.8072289156626506,82,66,82.0,0.16666666666666666,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,chinext,2019-03,0.36363636363636365,17,6,17.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,chinext,2019-04,0.0,1,0,1.0,,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,chinext,2019-07,0.8181818181818182,7,5,7.0,0.2,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,chinext,2019-09,0.5,14,7,14.0,0.14285714285714285,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,chinext,2019-10,0.75,4,3,4.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,chinext,2019-11,0.8,6,4,6.0,0.5,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,chinext,2019-12,0.696969696969697,28,19,28.0,0.42105263157894735,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
