feature_name,feature_group,availability_time,pit_status,coverage_rate,allowed_for_stage_1,allowed_for_stage_2
event_t0_pos,event_native,event_t0_close,pass,1.0,True,True
source_arm_is_c0,population_audit,event_t0_close,pass,1.0,False,False
source_arm_is_r_core,population_audit,event_t0_close,pass,1.0,False,False
triggered_family_count,event_native,event_t0_close,pass,1.0,True,True
triggered_family_ge2,event_native,event_t0_close,pass,1.0,True,True
canonical_priority,event_native,event_t0_close,pass,1.0,True,True
raw_instance_count_collapsed,event_native,event_t0_close,pass,1.0,True,True
primary_family_is_B1,event_native,event_t0_close,pass,1.0,True,True
has_B1_trigger,event_native,event_t0_close,pass,1.0,True,True
primary_family_is_B2,event_native,event_t0_close,pass,1.0,True,True
has_B2_trigger,event_native,event_t0_close,pass,1.0,True,True
primary_family_is_B3,event_native,event_t0_close,pass,1.0,True,True
has_B3_trigger,event_native,event_t0_close,pass,1.0,True,True
primary_family_is_B4,event_native,event_t0_close,pass,1.0,True,True
has_B4_trigger,event_native,event_t0_close,pass,1.0,True,True
primary_family_is_B5,event_native,event_t0_close,pass,1.0,True,True
has_B5_trigger,event_native,event_t0_close,pass,1.0,True,True
primary_family_is_B6,event_native,event_t0_close,pass,1.0,True,True
has_B6_trigger,event_native,event_t0_close,pass,1.0,True,True
primary_family_is_B8,event_native,event_t0_close,pass,1.0,True,True
has_B8_trigger,event_native,event_t0_close,pass,1.0,True,True
ret_5d,pre_event_path,event_t0_close,pass,1.0,True,True
ret_10d,pre_event_path,event_t0_close,pass,1.0,True,True
ret_20d,pre_event_path,event_t0_close,pass,1.0,True,True
ret_60d,pre_event_path,event_t0_close,pass,1.0,True,True
volatility_20d,pre_event_path,event_t0_close,pass,1.0,True,True
volatility_60d,pre_event_path,event_t0_close,pass,1.0,True,True
distance_to_20d_high,pre_event_path,event_t0_close,pass,1.0,True,True
distance_to_60d_high,pre_event_path,event_t0_close,pass,1.0,True,True
distance_to_120d_high,pre_event_path,event_t0_close,pass,1.0,True,True
distance_to_20d_low,pre_event_path,event_t0_close,pass,1.0,True,True
distance_to_60d_low,pre_event_path,event_t0_close,pass,1.0,True,True
distance_to_120d_low,pre_event_path,event_t0_close,pass,1.0,True,True
turnover_zscore_20d,volume_acceleration_decay,event_t0_close,pass,1.0,True,True
volume_zscore_20d,volume_acceleration_decay,event_t0_close,pass,1.0,False,False
gap_open_prev_day,event_native,event_t0_close,pass,1.0,True,True
trend_ma_5_20_spread,pre_event_path,event_t0_close,pass,1.0,True,True
trend_ma_20_60_spread,pre_event_path,event_t0_close,pass,1.0,True,True
max_drawdown_20d,pre_event_path,event_t0_close,pass,1.0,True,True
rebound_from_20d_low,event_native,event_t0_close,pass,1.0,True,True
max_drawdown_60d,pre_event_path,event_t0_close,pass,1.0,True,True
rebound_from_60d_low,event_native,event_t0_close,pass,1.0,True,True
return_sign_entropy_20d,entropy_path_disorder,event_t0_close,pass,1.0,True,True
binned_return_entropy_20d,entropy_path_disorder,event_t0_close,pass,1.0,True,True
up_down_transition_entropy_20d,entropy_path_disorder,event_t0_close,pass,1.0,True,True
gaussian_return_entropy_20d,entropy_path_disorder,event_t0_close,pass,1.0,False,False
return_sign_entropy_60d,entropy_path_disorder,event_t0_close,pass,1.0,True,True
binned_return_entropy_60d,entropy_path_disorder,event_t0_close,pass,1.0,True,True
up_down_transition_entropy_60d,entropy_path_disorder,event_t0_close,pass,1.0,True,True
gaussian_return_entropy_60d,entropy_path_disorder,event_t0_close,pass,1.0,False,False
intraday_range_bin_entropy_20d,entropy_path_disorder,event_t0_close,pass,1.0,True,True
volume_direction_entropy_20d,entropy_path_disorder,event_t0_close,pass,1.0,True,True
log_volume_accel_5d,volume_acceleration_decay,event_t0_close,pass,1.0,True,True
volume_z_accel_5d,volume_acceleration_decay,event_t0_close,pass,1.0,True,True
turnover_z_accel_5d,volume_acceleration_decay,event_t0_close,pass,1.0,True,True
log_volume_accel_10d,volume_acceleration_decay,event_t0_close,pass,1.0,True,True
volume_z_accel_10d,volume_acceleration_decay,event_t0_close,pass,1.0,True,True
turnover_z_accel_10d,volume_acceleration_decay,event_t0_close,pass,1.0,True,True
recent_log_volume_slope_5d,volume_acceleration_decay,event_t0_close,pass,1.0,True,True
prior_log_volume_slope_15d,volume_acceleration_decay,event_t0_close,pass,1.0,True,True
volume_slope_accel_5_15d,volume_acceleration_decay,event_t0_close,pass,1.0,True,True
volume_slope_decay_ratio_5_15d,volume_acceleration_decay,event_t0_close,pass,1.0,True,True
momentum_percentile_20d,risk_on_market_context,event_t0_close,pass,1.0,True,True
momentum_percentile_60d,risk_on_market_context,event_t0_close,pass,1.0,True,True
universe_up_share,risk_on_market_context,event_t0_close,pass,1.0,True,True
universe_up_share_z,risk_on_market_context,event_t0_close,pass,0.9827962681135446,True,True
universe_up_share_change_5d,risk_on_market_context,event_t0_close,pass,0.9918613114537154,True,True
board_relative_cusum_20d,risk_on_market_context,event_t0_close,pass,0.9833917819096143,True,True
board_return_20d,risk_on_market_context,event_t0_close,pass,0.9833917819096143,True,True
stock_vs_board_20d,risk_on_market_context,event_t0_close,pass,0.9833917819096143,True,True
evaluated_member_count,event_native,event_t0_close,pass,1.0,True,True
sessions_since_last_c0_event_same_instrument,freshness_decay,event_t0_close,pass,0.9133196585720903,True,True
prior_c0_event_count_20d_same_instrument,density_crowding,event_t0_close,pass,1.0,True,True
same_day_c0_event_count_all,density_crowding,event_t0_close,pass,1.0,True,True
same_day_family_event_count,density_crowding,event_t0_close,pass,1.0,True,True
freshness_decay_tau_5,freshness_decay,event_t0_close,pass,1.0,True,True
freshness_decay_tau_10,freshness_decay,event_t0_close,pass,1.0,True,True
freshness_decay_tau_20,freshness_decay,event_t0_close,pass,1.0,True,True
freshness_decay_tau_40,freshness_decay,event_t0_close,pass,1.0,True,True
prior_r_core_event_count_5d,r_core_interaction,event_t0_close,pass,1.0,True,True
prior_r_core_event_count_10d,r_core_interaction,event_t0_close,pass,1.0,True,True
prior_r_core_event_count_20d,r_core_interaction,event_t0_close,pass,1.0,True,True
sessions_since_prior_r_core_event,r_core_interaction,event_t0_close,pass,0.9333686230397671,True,True
has_r_core_same_day_at_t0_close,r_core_interaction,event_t0_close,pass,1.0,True,True
has_prior_r_core_within_5_sessions,r_core_interaction,event_t0_close,pass,1.0,True,True
sessions_since_nearest_prior_r_core_event,r_core_interaction,event_t0_close,pass,0.9696949646000133,True,True
has_future_r_core_within_5_sessions,r_core_interaction,event_t0_close,pass,1.0,False,False
c0_before_future_r_core_within_5_sessions,r_core_interaction,event_t0_close,pass,1.0,False,False
c0_after_prior_r_core_within_5_sessions,r_core_interaction,event_t0_close,pass,1.0,True,True
r_core_active_same_risk_on_scope,r_core_interaction,event_t0_close,pass,1.0,True,True
source_interaction_bucket,event_native,event_t0_close,pass,0.0,True,False
instrument_prior_252d_ff10_event_count,failure_history,event_t0_close,pass,1.0,True,True
instrument_prior_252d_fr20_event_count,failure_history,event_t0_close,pass,1.0,True,True
family_prior_train_ff10_rate,failure_history,event_t0_close,pass,1.0,True,True
family_prior_train_fr20_rate,failure_history,event_t0_close,pass,1.0,True,True
family_prior_train_badside_rate,failure_history,event_t0_close,pass,1.0,True,True
realized_ret_to_close_20d,realized_path_0_20d,close at entry_pos + 20,pass,1.0,False,True
realized_max_high_return_0_20d,realized_path_0_20d,close at entry_pos + 20,pass,1.0,False,True
realized_min_low_return_0_20d,realized_path_0_20d,close at entry_pos + 20,pass,1.0,False,True
realized_close_to_max_high_drawup_0_20d,realized_path_0_20d,close at entry_pos + 20,pass,1.0,False,True
realized_close_to_min_low_drawdown_0_20d,realized_path_0_20d,close at entry_pos + 20,pass,1.0,False,True
realized_path_volatility_0_20d,realized_path_0_20d,close at entry_pos + 20,pass,1.0,False,True
realized_up_session_ratio_0_20d,realized_path_0_20d,close at entry_pos + 20,pass,1.0,False,True
realized_max_consecutive_up_sessions_0_20d,realized_path_0_20d,close at entry_pos + 20,pass,1.0,False,True
realized_max_consecutive_down_sessions_0_20d,realized_path_0_20d,close at entry_pos + 20,pass,1.0,False,True
sessions_since_min_low_0_20d,realized_path_0_20d,close at entry_pos + 20,pass,1.0,False,True
sessions_since_max_high_0_20d,realized_path_0_20d,close at entry_pos + 20,pass,1.0,False,True
realized_close_above_entry_session_ratio_0_20d,realized_path_0_20d,close at entry_pos + 20,pass,1.0,False,True
realized_turnover_zscore_trend_0_20d,realized_path_0_20d,close at entry_pos + 20,pass,1.0,False,True
realized_volume_zscore_trend_0_20d,realized_path_0_20d,close at entry_pos + 20,pass,1.0,False,True
realized_distance_to_20d_high_at_day20,realized_path_0_20d,close at entry_pos + 20,pass,1.0,False,True
realized_distance_to_60d_high_at_day20,realized_path_0_20d,close at entry_pos + 20,pass,1.0,False,True
realized_ma_5_20_spread_at_day20,realized_path_0_20d,close at entry_pos + 20,pass,1.0,False,True
realized_late_window_ret_10_20d,realized_path_0_20d,close at entry_pos + 20,pass,1.0,False,True
realized_early_window_ret_0_10d,realized_path_0_20d,close at entry_pos + 20,pass,1.0,False,True
realized_momentum_accel_early_late_0_20d,realized_path_0_20d,close at entry_pos + 20,pass,1.0,False,True
