split,date_min,date_max,row_count,instrument_count,listing_age_min,listing_age_p01,listing_age_median,listing_age_rows_lt_20,listing_age_rows_lt_120,local_ipo_first_month_exclusion_status
train,2018-07-02,2021-12-31,159785,398,120.0,189.0,842.0,0,0,satisfied_by_pit_listing_age_min_120
validation,2022-01-04,2023-12-29,109722,323,120.0,240.0,1419.0,0,0,satisfied_by_pit_listing_age_min_120
robustness,2024-01-02,2025-12-31,110419,342,120.0,534.1800000000001,1913.0,0,0,satisfied_by_pit_listing_age_min_120
