split,K,candidate_first_holding_month_count,provider_end_complete_first_holding_month_count,first_evaluable_first_holding_month,last_evaluable_first_holding_month,provider_end_month,blocked_first_holding_month_count
train,1,42,42,2018-07,2021-12,2026-04,0
train,6,42,42,2018-07,2021-12,2026-04,0
train,12,42,42,2018-07,2021-12,2026-04,0
train,18,42,42,2018-07,2021-12,2026-04,0
train,24,42,42,2018-07,2021-12,2026-04,0
train,30,42,42,2018-07,2021-12,2026-04,0
train,36,42,42,2018-07,2021-12,2026-04,0
train,42,42,42,2018-07,2021-12,2026-04,0
train,48,42,42,2018-07,2021-12,2026-04,0
validation,1,24,24,2022-01,2023-12,2026-04,0
validation,6,24,24,2022-01,2023-12,2026-04,0
validation,12,24,24,2022-01,2023-12,2026-04,0
validation,18,24,24,2022-01,2023-12,2026-04,0
validation,24,24,24,2022-01,2023-12,2026-04,0
validation,30,24,23,2022-01,2023-11,2026-04,1
validation,36,24,17,2022-01,2023-05,2026-04,7
validation,42,24,11,2022-01,2022-11,2026-04,13
validation,48,24,5,2022-01,2022-05,2026-04,19
robustness,1,24,24,2024-01,2025-12,2026-04,0
robustness,6,24,23,2024-01,2025-11,2026-04,1
robustness,12,24,17,2024-01,2025-05,2026-04,7
robustness,18,24,11,2024-01,2024-11,2026-04,13
robustness,24,24,5,2024-01,2024-05,2026-04,19
robustness,30,24,0,,,2026-04,24
robustness,36,24,0,,,2026-04,24
robustness,42,24,0,,,2026-04,24
robustness,48,24,0,,,2026-04,24
