split,J,K,first_evaluable_signal_month_by_JK,first_evaluable_first_holding_month_by_JK,last_evaluable_first_holding_month_by_JK,evaluable_first_holding_month_count,candidate_first_holding_month_count,min_signal_eligible_instrument_count,min_intermediate_month_coverage_share,primary_local_decision_cell,cell_status
robustness,24,36,,,,0,24,,,False,blocked
robustness,24,42,,,,0,24,,,False,blocked
robustness,24,48,,,,0,24,,,False,blocked
robustness,30,1,2023-12,2024-01,2025-12,24,24,181.0,0.9655172413793104,True,complete
robustness,30,6,2023-12,2024-01,2025-11,23,24,181.0,0.9655172413793104,True,complete
robustness,30,12,2023-12,2024-01,2025-05,17,24,181.0,0.9655172413793104,True,complete
robustness,30,18,2023-12,2024-01,2024-11,11,24,181.0,0.9655172413793104,False,complete
robustness,30,24,2023-12,2024-01,2024-05,5,24,181.0,0.9655172413793104,False,complete
robustness,30,30,,,,0,24,,,False,blocked
robustness,30,36,,,,0,24,,,False,blocked
robustness,30,42,,,,0,24,,,False,blocked
robustness,30,48,,,,0,24,,,False,blocked
robustness,36,1,2023-12,2024-01,2025-12,24,24,178.0,0.9428571428571428,True,complete
robustness,36,6,2023-12,2024-01,2025-11,23,24,178.0,0.9428571428571428,True,complete
robustness,36,12,2023-12,2024-01,2025-05,17,24,178.0,0.9428571428571428,True,complete
robustness,36,18,2023-12,2024-01,2024-11,11,24,178.0,0.9428571428571428,False,complete
robustness,36,24,2023-12,2024-01,2024-05,5,24,178.0,0.9428571428571428,False,complete
robustness,36,30,,,,0,24,,,False,blocked
robustness,36,36,,,,0,24,,,False,blocked
robustness,36,42,,,,0,24,,,False,blocked
robustness,36,48,,,,0,24,,,False,blocked
robustness,42,1,2023-12,2024-01,2025-12,24,24,176.0,0.9512195121951219,True,complete
robustness,42,6,2023-12,2024-01,2025-11,23,24,176.0,0.9512195121951219,True,complete
robustness,42,12,2023-12,2024-01,2025-05,17,24,176.0,0.9512195121951219,True,complete
robustness,42,18,2023-12,2024-01,2024-11,11,24,176.0,0.9512195121951219,False,complete
robustness,42,24,2023-12,2024-01,2024-05,5,24,176.0,0.9512195121951219,False,complete
robustness,42,30,,,,0,24,,,False,blocked
robustness,42,36,,,,0,24,,,False,blocked
robustness,42,42,,,,0,24,,,False,blocked
robustness,42,48,,,,0,24,,,False,blocked
