datetime,n,ic,rank_ic,variant,seed,split,label_lane
2022-03-29,215,-0.06756304555286217,-0.07366156948419039,flattened_mlp,20260723,validation,paper_proxy
2022-03-30,216,0.1319994341180801,0.17558339058990358,flattened_mlp,20260723,validation,paper_proxy
2022-03-31,220,-0.1298519865477477,-0.15696346758577553,flattened_mlp,20260723,validation,paper_proxy
2022-04-01,214,-0.015531753431032979,0.01818660478989848,flattened_mlp,20260723,validation,paper_proxy
2022-04-06,214,0.019250247315596367,-0.03509002868338699,flattened_mlp,20260723,validation,paper_proxy
2022-04-07,214,-0.02569843379704046,-0.032221409307835715,flattened_mlp,20260723,validation,paper_proxy
2022-04-08,210,0.1402908504632166,0.14459482313610728,flattened_mlp,20260723,validation,paper_proxy
2022-04-11,212,0.05233882052160849,0.1035947120917875,flattened_mlp,20260723,validation,paper_proxy
2022-04-12,204,-0.021433006478358406,-0.11753384186188633,flattened_mlp,20260723,validation,paper_proxy
2022-04-13,208,0.15806408371676953,0.15793388400274697,flattened_mlp,20260723,validation,paper_proxy
2022-04-14,206,-0.20464719976441997,-0.22882109197905057,flattened_mlp,20260723,validation,paper_proxy
2022-04-15,208,0.016460017300539392,0.03223857748088781,flattened_mlp,20260723,validation,paper_proxy
2022-04-18,205,0.11071344979860971,0.1117334855384992,flattened_mlp,20260723,validation,paper_proxy
2022-04-19,202,-0.014165250176086028,-0.03246344359284477,flattened_mlp,20260723,validation,paper_proxy
2022-04-20,204,0.09312428848898842,0.08931768893303739,flattened_mlp,20260723,validation,paper_proxy
2022-04-21,199,-0.055404861101319765,-0.0017694533272422722,flattened_mlp,20260723,validation,paper_proxy
2022-04-22,194,0.02852314549571202,0.05691123054466792,flattened_mlp,20260723,validation,paper_proxy
2022-04-25,193,0.05543417356682148,0.05979773632326788,flattened_mlp,20260723,validation,paper_proxy
2022-04-26,184,-0.02040902176427888,0.008310517458035136,flattened_mlp,20260723,validation,paper_proxy
2022-04-27,175,-0.017554880760970185,-0.0026847816660763866,flattened_mlp,20260723,validation,paper_proxy
2022-04-28,187,0.03017514714698519,0.04743543634503774,flattened_mlp,20260723,validation,paper_proxy
2022-04-29,186,0.0507053722610224,0.0912504947813994,flattened_mlp,20260723,validation,paper_proxy
2022-05-05,197,0.135858879331482,0.10290895174877858,flattened_mlp,20260723,validation,paper_proxy
2022-05-06,201,-0.025275114243860905,-0.11257361145283987,flattened_mlp,20260723,validation,paper_proxy
2022-05-09,199,0.045881487175439745,-0.05171242790966128,flattened_mlp,20260723,validation,paper_proxy
2022-05-10,197,-0.00017832402739482127,0.006746535207354709,flattened_mlp,20260723,validation,paper_proxy
2022-05-11,200,0.12976078538944447,0.172809468273428,flattened_mlp,20260723,validation,paper_proxy
2022-05-12,202,-0.024174120944186042,-0.044651547457316476,flattened_mlp,20260723,validation,paper_proxy
2022-05-13,200,0.06331276715057463,0.08318570003332473,flattened_mlp,20260723,validation,paper_proxy
2022-05-16,200,-0.03744518272725605,0.01832394860211881,flattened_mlp,20260723,validation,paper_proxy
2022-05-17,200,-0.15311835260994877,-0.11997101869331472,flattened_mlp,20260723,validation,paper_proxy
