variant,seed,device,batch_size,num_timesteps,num_features,median_ms,p95_ms
flattened_mlp,20260723,cuda:0,256,20,20,0.2156375012418721,0.5117763983434995
flattened_mlp,20260724,cuda:0,256,20,20,0.37763900036225095,0.6276473501202418
flattened_mlp,20260725,cuda:0,256,20,20,0.3875894981320016,0.7898576006482472
flattened_mlp,20260726,cuda:0,256,20,20,0.30282199986686464,1.0649453000951314
flattened_mlp,20260727,cuda:0,256,20,20,0.24571649919380434,0.6703793495034902
last_state_gru,20260723,cuda:0,256,20,20,1.1573160008993,1.408500050274597
last_state_gru,20260724,cuda:0,256,20,20,1.0816559988597874,1.4193923498169163
last_state_gru,20260725,cuda:0,256,20,20,1.1061969998991117,1.4382674500666324
last_state_gru,20260726,cuda:0,256,20,20,1.1447595006757183,1.5127778990063234
last_state_gru,20260727,cuda:0,256,20,20,1.028856500852271,1.4472700990154406
