run_id,arm_id,semantic_track,return_semantics,weighting,bucket_count,bucket_id,bucket_role,holding_month_n,month_scope,P5_date_scope,series_role,registered_month_n,month_n,gap_month_n,mean_monthly_return,median_monthly_return,monthly_volatility,annualized_mean,annualized_volatility,annualized_sharpe,positive_month_rate,p10,p50,p90,ES10_loss,max_drawdown_of_compounded_gross_series,Newey_West_lag,HAC_t_stat,HAC_two_sided_p_value,nominal_95pct_CI_lower,nominal_95pct_CI_upper,inference_role,missing_reason
20B_trendpv_residual_momentum_design_and_replication_diagnostic_v4,P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,EW,5,1,unfavorable,1,full,,bucket_return,101,99,2,0.000441756478536,-0.00836223942549,0.069699191149,0.00530107774243,0.241445080633,0.0219556253892,0.454545454545,-0.0672553822669,-0.00836223942549,0.064962560812,0.0999595136259,0.456846091898,3,0.0727260170611,0.942024144744,-0.011463567405,0.012347080362,design_only_not_support,
20B_trendpv_residual_momentum_design_and_replication_diagnostic_v4,P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,EW,5,2,middle,1,full,,bucket_return,101,99,2,0.00237006630946,0.00130985355256,0.057449262894,0.0284407957136,0.19901008438,0.142911329354,0.505050505051,-0.0640655784016,0.00130985355256,0.0704051897899,0.0799350632007,0.313953377952,3,0.448196755566,0.654011204035,-0.00799423140093,0.0127343640199,design_only_not_support,
20B_trendpv_residual_momentum_design_and_replication_diagnostic_v4,P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,EW,5,3,middle,1,full,,bucket_return,101,99,2,0.0055393242785,-0.000500738164755,0.0554454432788,0.066471891342,0.192068649614,0.346084025038,0.494949494949,-0.0543686986858,-0.000500738164755,0.0699842478323,0.0768922086145,0.295665721899,3,1.0348105598,0.300757390404,-0.00495233139867,0.0160309799557,design_only_not_support,
20B_trendpv_residual_momentum_design_and_replication_diagnostic_v4,P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,EW,5,4,middle,1,full,,bucket_return,101,99,2,0.00673506408562,0.00320313066469,0.0553716484895,0.0808207690274,0.191813016965,0.421351847262,0.535353535354,-0.0585280234775,0.00320313066469,0.0794489562616,0.0825695300244,0.28631289561,3,1.29616908024,0.194917239528,-0.00344916515007,0.0169192933213,design_only_not_support,
20B_trendpv_residual_momentum_design_and_replication_diagnostic_v4,P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,EW,5,5,favorable,1,full,,bucket_return,101,99,2,0.00481369734498,-0.00742177796147,0.0719767150738,0.0577643681398,0.24933465494,0.231674045286,0.444444444444,-0.0696178281403,-0.00742177796147,0.100382357134,0.111273398571,0.503646967076,3,0.736581820856,0.461376693481,-0.00799502690194,0.0176224215919,design_only_not_support,
20B_trendpv_residual_momentum_design_and_replication_diagnostic_v4,P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,EW,5,,,1,full,,favorable_minus_unfavorable,101,99,2,0.00437194086645,0.00635182931144,0.0635178709039,0.0524632903974,0.220032359188,0.238434431149,0.555555555556,-0.068466115533,0.00635182931144,0.0808768671962,0.108444238293,0.407903757612,3,0.753166879269,0.45134963947,-0.00700514816473,0.0157490298976,design_only_not_support,
20B_trendpv_residual_momentum_design_and_replication_diagnostic_v4,P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,EW,5,,,1,full,,favorable_minus_middle,101,99,2,-0.000725626933515,-0.000167652787523,0.0461776798425,-0.00870752320218,0.159964175326,-0.0544342080622,0.494949494949,-0.0497289661739,-0.000167652787523,0.0507996413871,0.0766587078399,0.487540711848,3,-0.18038004086,0.856854222405,-0.00861010599848,0.00715885213145,design_only_not_support,
20B_trendpv_residual_momentum_design_and_replication_diagnostic_v4,P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,EW,5,1,unfavorable,1,early,,bucket_return,50,49,1,0.000407800444926,-0.00482129854465,0.0603385009355,0.00489360533911,0.209018698546,0.0234122849925,0.428571428571,-0.0617722224205,-0.00482129854465,0.0613563122352,0.0789825333538,0.268397322824,3,0.053952295118,0.956973171826,-0.0144066607969,0.0152222616868,design_only_not_support,
20B_trendpv_residual_momentum_design_and_replication_diagnostic_v4,P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,EW,5,2,middle,1,early,,bucket_return,50,49,1,0.00161662050805,0.00260324489293,0.0566884813399,0.0193994460965,0.196374659769,0.0987879297632,0.510204081633,-0.0640655784016,0.00260324489293,0.0479277552811,0.0806375093344,0.296861805,3,0.210481373617,0.83329198775,-0.0134370534489,0.0166702944649,design_only_not_support,
20B_trendpv_residual_momentum_design_and_replication_diagnostic_v4,P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,paper_qfq_complete_case_sensitivity,EW,5,3,middle,1,early,,bucket_return,50,49,1,0.00167421362893,0.00102203425584,0.0571924723498,0.0200905635471,0.198120535841,0.101405760195,0.510204081633,-0.0651419174232,0.00102203425584,0.0770460108301,0.0863636561976,0.295665721899,3,0.208637508242,0.834731227536,-0.0140535356275,0.0174019628853,design_only_not_support,
