stage,accessed_at_utc,artifact_path,artifact_sha256_or_root_hash,dataset_role,columns_read,derived_fields,historical_outcome_access_authorized,forward_outcome_detected,selection_or_tuning_allowed,purpose,access_gate
run-historical,2026-07-11T09:38:09.805221Z,topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,1d600555e60cd93839d8d7ab3f406fb95f5a388c96742f4b8cbce784ed061d55,historical_qfq_ohlcv,date|close|volume|source_volume_unit,signals|paper_and_project_returns,True,False,False,registered historical diagnostic,pass
run-historical,2026-07-11T09:38:09.805459Z,topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_executable_daily.csv,e73968ddf54b646ab2d831467a0e2882970e5f96880df12c41bd01a39c243965,pit_project_universe_status_size,usable_trade_date|instrument|is_listed|is_suspended|total_market_cap_cny|ts_code,membership|suspension|lagged_size,True,False,False,registered historical diagnostic,pass
run-historical,2026-07-11T09:38:09.805529Z,topics/02_AFML_BIG_WINNER/data/processed/index/benchmark_indices_daily.csv,5a423eca433727c40eb59799301f31d49065bb17cd3bb49e61074af70d87e54d,csi300_benchmark,date|close|index_alias,market_return,True,False,False,registered historical diagnostic,pass
run-historical,2026-07-11T09:38:09.805580Z,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/dc_member_2025_20250102.csv,e7da98e4f1e38d2f547e3c2e8a99a02aca82345e0201766a4d63e51bd43f0905,frozen_2025_board_membership,board_ts_code|con_code,board_multi_hot,True,False,False,registered historical diagnostic,pass
run-historical,2026-07-11T09:38:09.805652Z,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/instrument_metadata_target_universe.csv,3175ae478bbfe9729d2b45cc0c8ca373fe903ee8d9acc9a96fed111441452601,listing_delisting_status,instrument|delist_date|is_delisted|metadata_source,confirmed_delisting_resolution,True,False,False,registered historical diagnostic,pass
