feature_name,feature_family_id,source_artifact,as_of_policy,max_source_pos_minus_step_start_pos,max_source_date_minus_step_start_date,source_lineage_status_16c,source_leakage_status_16c,feature_lineage_gate,blocking_reason
ret_5d,F1,qfq_daily,qfq_position_le_step_start_pos,0.0,0.0,pass,pass,pass,
ret_10d,F1,qfq_daily,qfq_position_le_step_start_pos,0.0,0.0,pass,pass,pass,
ret_20d,F1,qfq_daily,qfq_position_le_step_start_pos,0.0,0.0,pass,pass,pass,
ma_5_20_spread,F1,qfq_daily,qfq_position_le_step_start_pos,0.0,0.0,pass,pass,pass,
ma_20_60_spread,F1,qfq_daily,qfq_position_le_step_start_pos,0.0,0.0,pass,pass,pass,
distance_to_20d_high,F1,qfq_daily,qfq_position_le_step_start_pos,0.0,0.0,pass,pass,pass,
distance_to_60d_high,F1,qfq_daily,qfq_position_le_step_start_pos,0.0,0.0,pass,pass,pass,
turnover_rate_20d_mean,F2,qfq_daily,qfq_position_le_step_start_pos,0.0,0.0,pass,pass,pass,
turnover_rate_60d_mean,F2,qfq_daily,qfq_position_le_step_start_pos,0.0,0.0,pass,pass,pass,
turnover_rate_20d_zscore,F2,qfq_daily,qfq_position_le_step_start_pos,0.0,0.0,pass,pass,pass,
volume_20d_zscore,F2,qfq_daily,qfq_position_le_step_start_pos,0.0,0.0,pass,pass,pass,
money_20d_zscore,F2,qfq_daily,qfq_position_le_step_start_pos,0.0,0.0,pass,pass,pass,
board_rank_pct,F3,pit_topn_400_100_executable_daily,usable_trade_date_eq_or_latest_le_step_start_date_available_time_le_step_start_close_no_future_fill,0.0,0.0,pass,pass,pass,
board_rank_by_market_cap,F3,pit_topn_400_100_executable_daily,usable_trade_date_eq_or_latest_le_step_start_date_available_time_le_step_start_close_no_future_fill,0.0,0.0,pass,pass,pass,
volatility_20d,F4,qfq_daily,qfq_position_le_step_start_pos,0.0,0.0,pass,pass,pass,
volatility_60d,F4,qfq_daily,qfq_position_le_step_start_pos,0.0,0.0,pass,pass,pass,
max_drawdown_20d,F4,qfq_daily,qfq_position_le_step_start_pos,0.0,0.0,pass,pass,pass,
max_drawdown_60d,F4,qfq_daily,qfq_position_le_step_start_pos,0.0,0.0,pass,pass,pass,
intraday_range_20d_mean,F4,qfq_daily,qfq_position_le_step_start_pos,0.0,0.0,pass,pass,pass,
board_bucket_chinext,F5,pit_topn_400_100_executable_daily,usable_trade_date_eq_or_latest_le_step_start_date_available_time_le_step_start_close_no_future_fill,0.0,0.0,pass,pass,pass,
board_bucket_main_board,F5,pit_topn_400_100_executable_daily,usable_trade_date_eq_or_latest_le_step_start_date_available_time_le_step_start_close_no_future_fill,0.0,0.0,pass,pass,pass,
log_total_market_cap_cny,F5,pit_topn_400_100_executable_daily,usable_trade_date_eq_or_latest_le_step_start_date_available_time_le_step_start_close_no_future_fill,0.0,0.0,pass,pass,pass,
tradability_status_ok,F5,pit_topn_400_100_executable_daily,derived from is_listed/is_st/is_suspended with PIT membership context,0.0,0.0,pass,pass,pass,
