column_name,column_role,feature_family_id,source_artifact,source_column,dtype,model_ready_feature,raw_feature,target_column,metadata_column,forbidden_as_model_feature,preprocessing_id,lineage_status,feature_matrix_schema_gate,blocking_reason
mr_ret_10d,model_ready_feature,F1,t0_feature_panel.parquet,ret_10d,float64,True,False,False,False,False,train_median_impute_then_robust_scale:ret_10d:train,pass,pass,
mr_ret_20d,model_ready_feature,F1,t0_feature_panel.parquet,ret_20d,float64,True,False,False,False,False,train_median_impute_then_robust_scale:ret_20d:train,pass,pass,
mr_ma_5_20_spread,model_ready_feature,F1,t0_feature_panel.parquet,ma_5_20_spread,float64,True,False,False,False,False,train_median_impute_then_robust_scale:ma_5_20_spread:train,pass,pass,
mr_ma_20_60_spread,model_ready_feature,F1,t0_feature_panel.parquet,ma_20_60_spread,float64,True,False,False,False,False,train_median_impute_then_robust_scale:ma_20_60_spread:train,pass,pass,
mr_distance_to_20d_high,model_ready_feature,F1,t0_feature_panel.parquet,distance_to_20d_high,float64,True,False,False,False,False,train_median_impute_then_robust_scale:distance_to_20d_high:train,pass,pass,
mr_distance_to_60d_high,model_ready_feature,F1,t0_feature_panel.parquet,distance_to_60d_high,float64,True,False,False,False,False,train_median_impute_then_robust_scale:distance_to_60d_high:train,pass,pass,
mr_turnover_rate_20d_mean,model_ready_feature,F2,t0_feature_panel.parquet,turnover_rate_20d_mean,float64,True,False,False,False,False,train_median_impute_then_robust_scale:turnover_rate_20d_mean:train,pass,pass,
mr_turnover_rate_60d_mean,model_ready_feature,F2,t0_feature_panel.parquet,turnover_rate_60d_mean,float64,True,False,False,False,False,train_median_impute_then_robust_scale:turnover_rate_60d_mean:train,pass,pass,
mr_turnover_rate_20d_zscore,model_ready_feature,F2,t0_feature_panel.parquet,turnover_rate_20d_zscore,float64,True,False,False,False,False,train_median_impute_then_robust_scale:turnover_rate_20d_zscore:train,pass,pass,
mr_volume_20d_zscore,model_ready_feature,F2,t0_feature_panel.parquet,volume_20d_zscore,float64,True,False,False,False,False,train_median_impute_then_robust_scale:volume_20d_zscore:train,pass,pass,
mr_money_20d_zscore,model_ready_feature,F2,t0_feature_panel.parquet,money_20d_zscore,float64,True,False,False,False,False,train_median_impute_then_robust_scale:money_20d_zscore:train,pass,pass,
mr_board_rank_pct,model_ready_feature,F3,t0_feature_panel.parquet,board_rank_pct,float64,True,False,False,False,False,train_median_impute_then_robust_scale:board_rank_pct:train,pass,pass,
mr_board_rank_by_market_cap,model_ready_feature,F3,t0_feature_panel.parquet,board_rank_by_market_cap,float64,True,False,False,False,False,train_median_impute_then_robust_scale:board_rank_by_market_cap:train,pass,pass,
mr_volatility_20d,model_ready_feature,F4,t0_feature_panel.parquet,volatility_20d,float64,True,False,False,False,False,train_median_impute_then_robust_scale:volatility_20d:train,pass,pass,
mr_volatility_60d,model_ready_feature,F4,t0_feature_panel.parquet,volatility_60d,float64,True,False,False,False,False,train_median_impute_then_robust_scale:volatility_60d:train,pass,pass,
mr_max_drawdown_20d,model_ready_feature,F4,t0_feature_panel.parquet,max_drawdown_20d,float64,True,False,False,False,False,train_median_impute_then_robust_scale:max_drawdown_20d:train,pass,pass,
mr_max_drawdown_60d,model_ready_feature,F4,t0_feature_panel.parquet,max_drawdown_60d,float64,True,False,False,False,False,train_median_impute_then_robust_scale:max_drawdown_60d:train,pass,pass,
mr_intraday_range_20d_mean,model_ready_feature,F4,t0_feature_panel.parquet,intraday_range_20d_mean,float64,True,False,False,False,False,train_median_impute_then_robust_scale:intraday_range_20d_mean:train,pass,pass,
mr_board_bucket_chinext,model_ready_feature,F5,t0_feature_panel.parquet,board_bucket_chinext,float64,True,False,False,False,False,train_mode_impute_binary_no_scale:board_bucket_chinext:train,pass,pass,
mr_board_bucket_main_board,model_ready_feature,F5,t0_feature_panel.parquet,board_bucket_main_board,float64,True,False,False,False,False,train_mode_impute_binary_no_scale:board_bucket_main_board:train,pass,pass,
mr_log_total_market_cap_cny,model_ready_feature,F5,t0_feature_panel.parquet,log_total_market_cap_cny,float64,True,False,False,False,False,train_median_impute_then_robust_scale:log_total_market_cap_cny:train,pass,pass,
mr_tradability_status_ok,model_ready_feature,F5,t0_feature_panel.parquet,tradability_status_ok,float64,True,False,False,False,False,train_mode_impute_binary_no_scale:tradability_status_ok:train,pass,pass,
