feature_name,model_ready_feature_name,feature_family_id,preprocessing_id,fit_split,fit_row_n,raw_missing_n_train,imputer,train_median,train_iqr,scale_value,imputer_value,center,scale,zero_iqr_flag,preprocessing_uses_target_columns,preprocessing_uses_robustness_rows,preprocessing_uses_validation_rows,split_local_imputation_used,split_local_scaling_used,train_only_preprocessing_gate,blocking_reason
ret_5d,mr_ret_5d,F1,train_median_impute_then_robust_scale:ret_5d:train,train,20245,0,train median,-0.0007457121551081025,0.06746465266617307,0.06746465266617307,-0.0007457121551081025,-0.0007457121551081025,0.06746465266617307,False,False,False,False,False,False,pass,
ret_10d,mr_ret_10d,F1,train_median_impute_then_robust_scale:ret_10d:train,train,20245,0,train median,0.0,0.0942795626798586,0.0942795626798586,0.0,0.0,0.0942795626798586,False,False,False,False,False,False,pass,
ret_20d,mr_ret_20d,F1,train_median_impute_then_robust_scale:ret_20d:train,train,20245,0,train median,0.002206592194180068,0.1418347473752546,0.1418347473752546,0.002206592194180068,0.002206592194180068,0.1418347473752546,False,False,False,False,False,False,pass,
ma_5_20_spread,mr_ma_5_20_spread,F1,train_median_impute_then_robust_scale:ma_5_20_spread:train,train,20245,0,train median,9.889659654427341e-05,0.058958906028399705,0.058958906028399705,9.889659654427341e-05,9.889659654427341e-05,0.058958906028399705,False,False,False,False,False,False,pass,
ma_20_60_spread,mr_ma_20_60_spread,F1,train_median_impute_then_robust_scale:ma_20_60_spread:train,train,20245,0,train median,0.000464743181644689,0.08997615613789123,0.08997615613789123,0.000464743181644689,0.000464743181644689,0.08997615613789123,False,False,False,False,False,False,pass,
distance_to_20d_high,mr_distance_to_20d_high,F1,train_median_impute_then_robust_scale:distance_to_20d_high:train,train,20245,0,train median,-0.07317073170731703,0.08660937965347493,0.08660937965347493,-0.07317073170731703,-0.07317073170731703,0.08660937965347493,False,False,False,False,False,False,pass,
distance_to_60d_high,mr_distance_to_60d_high,F1,train_median_impute_then_robust_scale:distance_to_60d_high:train,train,20245,0,train median,-0.13215859030837007,0.13385119425068692,0.13385119425068692,-0.13215859030837007,-0.13215859030837007,0.13385119425068692,False,False,False,False,False,False,pass,
turnover_rate_20d_mean,mr_turnover_rate_20d_mean,F2,train_median_impute_then_robust_scale:turnover_rate_20d_mean:train,train,20245,0,train median,0.013458158487630925,0.02075123945142636,0.02075123945142636,0.013458158487630925,0.013458158487630925,0.02075123945142636,False,False,False,False,False,False,pass,
turnover_rate_60d_mean,mr_turnover_rate_60d_mean,F2,train_median_impute_then_robust_scale:turnover_rate_60d_mean:train,train,20245,0,train median,0.014171709052565132,0.021220033622223657,0.021220033622223657,0.014171709052565132,0.014171709052565132,0.021220033622223657,False,False,False,False,False,False,pass,
turnover_rate_20d_zscore,mr_turnover_rate_20d_zscore,F2,train_median_impute_then_robust_scale:turnover_rate_20d_zscore:train,train,20245,0,train median,-0.2823021864619812,1.3994175038929777,1.3994175038929777,-0.2823021864619812,-0.2823021864619812,1.3994175038929777,False,False,False,False,False,False,pass,
volume_20d_zscore,mr_volume_20d_zscore,F2,train_median_impute_then_robust_scale:volume_20d_zscore:train,train,20245,0,train median,-0.2726878058766827,1.4099431172919763,1.4099431172919763,-0.2726878058766827,-0.2726878058766827,1.4099431172919763,False,False,False,False,False,False,pass,
money_20d_zscore,mr_money_20d_zscore,F2,train_median_impute_then_robust_scale:money_20d_zscore:train,train,20245,0,train median,-0.2851995025319856,1.414005926453358,1.414005926453358,-0.2851995025319856,-0.2851995025319856,1.414005926453358,False,False,False,False,False,False,pass,
board_rank_pct,mr_board_rank_pct,F3,train_median_impute_then_robust_scale:board_rank_pct:train,train,20245,0,train median,0.97,0.32500000000000007,0.32500000000000007,0.97,0.97,0.32500000000000007,False,False,False,False,False,False,pass,
board_rank_by_market_cap,mr_board_rank_by_market_cap,F3,train_median_impute_then_robust_scale:board_rank_by_market_cap:train,train,20245,0,train median,175.0,295.0,295.0,175.0,175.0,295.0,False,False,False,False,False,False,pass,
volatility_20d,mr_volatility_20d,F4,train_median_impute_then_robust_scale:volatility_20d:train,train,20245,0,train median,0.02365236637059215,0.014684939526720703,0.014684939526720703,0.02365236637059215,0.02365236637059215,0.014684939526720703,False,False,False,False,False,False,pass,
volatility_60d,mr_volatility_60d,F4,train_median_impute_then_robust_scale:volatility_60d:train,train,20245,0,train median,0.025707176708582843,0.012714501029970137,0.012714501029970137,0.025707176708582843,0.025707176708582843,0.012714501029970137,False,False,False,False,False,False,pass,
max_drawdown_20d,mr_max_drawdown_20d,F4,train_median_impute_then_robust_scale:max_drawdown_20d:train,train,20245,0,train median,-0.08695652173913038,0.07750527088535308,0.07750527088535308,-0.08695652173913038,-0.08695652173913038,0.07750527088535308,False,False,False,False,False,False,pass,
max_drawdown_60d,mr_max_drawdown_60d,F4,train_median_impute_then_robust_scale:max_drawdown_60d:train,train,20245,0,train median,-0.17573221757322177,0.11620674815033338,0.11620674815033338,-0.17573221757322177,-0.17573221757322177,0.11620674815033338,False,False,False,False,False,False,pass,
