split,horizon,score_raw,count,mean
robustness,H10,"(0.0355, 0.0741]",922,-0.008472311766057962
robustness,H10,"(0.0741, 0.0899]",988,-0.003468028833743388
robustness,H10,"(0.0899, 0.108]",925,-0.0012549101012953195
robustness,H10,"(0.108, 0.133]",823,-0.0008698090896834942
robustness,H10,"(0.133, 0.242]",826,0.0029584793064276194
robustness,H20,"(0.0355, 0.0741]",893,-0.0022735413856531665
robustness,H20,"(0.0741, 0.0899]",960,0.00816361018588405
robustness,H20,"(0.0899, 0.108]",895,0.002937117458810354
robustness,H20,"(0.108, 0.133]",796,0.00807503973778935
robustness,H20,"(0.133, 0.242]",800,0.009912651791822295
robustness,H5,"(0.0355, 0.0741]",940,-0.00934268640056142
robustness,H5,"(0.0741, 0.0899]",1005,-0.006285523732109864
robustness,H5,"(0.0899, 0.108]",943,-0.007140136740819617
robustness,H5,"(0.108, 0.133]",839,-0.006281255804290478
robustness,H5,"(0.133, 0.242]",844,-0.0008639763919621981
train,H10,"(0.0355, 0.0741]",851,-0.001674862511083504
train,H10,"(0.0741, 0.0899]",697,0.0054264600670290665
train,H10,"(0.0899, 0.108]",724,-0.0026319476004894146
train,H10,"(0.108, 0.133]",732,0.002474785767022926
train,H10,"(0.133, 0.242]",695,0.0037552016685143694
train,H20,"(0.0355, 0.0741]",803,0.010363120288516625
train,H20,"(0.0741, 0.0899]",671,0.012799961360251988
train,H20,"(0.0899, 0.108]",700,0.007280385476243759
train,H20,"(0.108, 0.133]",701,0.007379821746096198
train,H20,"(0.133, 0.242]",665,0.015177612002160145
train,H5,"(0.0355, 0.0741]",859,-0.006387492418358408
train,H5,"(0.0741, 0.0899]",707,-0.0016444827805115717
train,H5,"(0.0899, 0.108]",739,-0.008701255358768626
train,H5,"(0.108, 0.133]",753,-0.005705888673679655
train,H5,"(0.133, 0.242]",730,-0.001464168500380064
validation,H10,"(0.0355, 0.0741]",722,-0.012847253767981865
validation,H10,"(0.0741, 0.0899]",804,-0.016221413685478255
validation,H10,"(0.0899, 0.108]",843,-0.013064578532207015
validation,H10,"(0.108, 0.133]",938,-0.019794711280714777
validation,H10,"(0.133, 0.242]",964,-0.004692281493708428
validation,H20,"(0.0355, 0.0741]",711,-0.012507685318606953
validation,H20,"(0.0741, 0.0899]",781,-0.019107501146441042
validation,H20,"(0.0899, 0.108]",816,-0.01915959883037763
validation,H20,"(0.108, 0.133]",901,-0.026318851176815414
validation,H20,"(0.133, 0.242]",925,-0.00993146589857934
validation,H5,"(0.0355, 0.0741]",738,-0.007945414314116089
validation,H5,"(0.0741, 0.0899]",823,-0.014338148828374687
validation,H5,"(0.0899, 0.108]",852,-0.014269950029820172
validation,H5,"(0.108, 0.133]",954,-0.01620676648671105
validation,H5,"(0.133, 0.242]",989,-0.007260963393402463
