raw_event_arm_id,cohort_arm_id,split_bucket,bucket_scheme,rank_bucket_id,rank_bucket_low,rank_bucket_high,event_n,winner_rate,fast_fail_rate,lower_first_rate,utility_mean_0bps,utility_mean_50bps,utility_mean_100bps,terminal_return_20d_mean,top_bottom_winner_delta,top_bottom_fast_fail_delta,top_bottom_lower_first_delta,top_bottom_utility_delta_50bps,bucket_monotonicity_status,readout_role
F4_board_relative_strength_rank_jump__ret60_jump3,C1,robustness,quintile,Q1,0.0,0.2,0,,,,,,,,,,,,fail_expected_signs,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,C1,robustness,quintile,Q2,0.2,0.4,0,,,,,,,,,,,,fail_expected_signs,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,C1,robustness,quintile,Q3,0.4,0.6,0,,,,,,,,,,,,fail_expected_signs,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,C1,robustness,quintile,Q4,0.6,0.8,31,0.7096774193548387,0.0,0.0,0.12888223782072997,0.12388223782072995,0.11888223782072994,0.13855488528114177,,,,,fail_expected_signs,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,C1,robustness,quintile,Q5,0.8,1.0,503,0.1988071570576541,0.17296222664015903,0.17296222664015903,0.023178042438585667,0.018178042438585663,0.013178042438585665,0.023034503832689287,,,,,fail_expected_signs,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,C1,train,quintile,Q1,0.0,0.2,0,,,,,,,,,,,,fail_expected_signs,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,C1,train,quintile,Q2,0.2,0.4,0,,,,,,,,,,,,fail_expected_signs,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,C1,train,quintile,Q3,0.4,0.6,0,,,,,,,,,,,,fail_expected_signs,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,C1,train,quintile,Q4,0.6,0.8,28,0.6428571428571429,0.0,0.0,0.12585457329192887,0.12085457329192886,0.11585457329192887,0.20474579547203323,,,,,fail_expected_signs,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,C1,train,quintile,Q5,0.8,1.0,1033,0.15004840271055178,0.28654404646660214,0.28654404646660214,0.004785648580698789,-0.00021435141930121343,-0.005214351419301215,0.011326095151995409,,,,,fail_expected_signs,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,C1,validation,quintile,Q1,0.0,0.2,0,,,,,,,,,,,,fail_expected_signs,diagnostic_secondary_not_for_selection
