artifact_role,artifact_path,resolved_path,required_flag,lineage_role,read_status,row_count,column_count,sha256,schema_status,required_column_missing_list
requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/requirement_14c_cohort_rank_monotonicity_stress_diagnostic.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/requirement_14c_cohort_rank_monotonicity_stress_diagnostic.md,True,run_config_input,pass,,,2e6d8bc83d519bdc0d84b5c245a9aad5b820c6a9497b1987ce27fd949761420e,readable,
upstream_requirement_14a,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/requirement_14a_full_native_sparse_state_change_event_utility_preflight.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/requirement_14a_full_native_sparse_state_change_event_utility_preflight.md,True,run_config_input,pass,,,16aba9786954eb17f7a9446dbbe3ea4142f259dd95549c9dc14662fec0b7c22c,readable,
upstream_14a_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/manifests/14A_full_native_sparse_state_change_event_utility_preflight_manifest.json,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/manifests/14A_full_native_sparse_state_change_event_utility_preflight_manifest.json,True,14a_publishable_lineage,pass,,,1d55a22add5a34b1fbe3b21a29c55af897e5f8c347283960162df21c11036f74,readable,
upstream_14a_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/full_native_sparse_state_change_event_utility_decision.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/full_native_sparse_state_change_event_utility_decision.csv,True,14a_publishable_lineage,pass,1.0,26.0,acf343c245902b8219054c430346c30e505e393a2cd04cec208574cf2b0e1b6c,pass,
upstream_14a_search_multiplicity,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/search_multiplicity_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/search_multiplicity_audit.csv,True,14a_publishable_lineage,pass,1.0,11.0,9bc02db1d9bc68e6d4073314bec69959a02dc4998b54c44112439858e5384dce,pass,
upstream_14a_cohort_dictionary,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/pit_cohort_normalization_dictionary.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/pit_cohort_normalization_dictionary.csv,True,14a_publishable_lineage,pass,6.0,6.0,5cd6e62607b5be1e46cd19cff25756d89bc94c0bc407e4d2e762e64848306d85,pass,
upstream_14a_rank_availability,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/pit_cohort_rank_availability_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/pit_cohort_rank_availability_audit.csv,True,14a_publishable_lineage,pass,18.0,9.0,c2a4b593ae0f087559be652133107e22236b5b007119084ebceec9f338479c16,pass,
upstream_14a_utility_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/pit_cohort_normalized_utility_readout.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/pit_cohort_normalized_utility_readout.csv,True,14a_publishable_lineage,pass,36.0,25.0,045423d735f3092f051c35e7177a22140b1bd893017521edd9d24c0c1f753940,pass,
upstream_14a_validation_stress,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/validation_stress_interpretation_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/validation_stress_interpretation_audit.csv,True,14a_publishable_lineage,pass,3.0,8.0,648fd4a9b704f19209c0ec8696eed66df3c0ae263d379a5d09cf47453b764fa7,pass,
upstream_14a_raw_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/sparse_event_raw_readout.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/sparse_event_raw_readout.csv,True,14a_publishable_lineage,pass,48.0,46.0,02694469418fb93188e457c3286df3ec6b09f90e57d81954b401c6d185520c6c,pass,
upstream_14a_report,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/reports/full_native_sparse_state_change_event_utility_preflight_report.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/reports/full_native_sparse_state_change_event_utility_preflight_report.md,False,14a_publishable_lineage,pass,,,659709a97d70292d8538a5e477f39d6848807439b994ed3b7297691dc88fa362,readable,
upstream_14a_cohort_event_panel_cache,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/local_cache/14A_full_native_sparse_state_change_event_utility_preflight/pit_cohort_normalized_event_panel.parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/local_cache/14A_full_native_sparse_state_change_event_utility_preflight/pit_cohort_normalized_event_panel.parquet,True,14a_local_row_level_cache,pass,25776.0,42.0,466c5deb24465351ce2932b4fbf76a1dbf52e84ca9ca8f8b98e315025eca4786,pass,
upstream_14a_sparse_event_panel_cache,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/local_cache/14A_full_native_sparse_state_change_event_utility_preflight/sparse_event_panel.parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/local_cache/14A_full_native_sparse_state_change_event_utility_preflight/sparse_event_panel.parquet,True,14a_local_row_level_cache,pass,66881.0,35.0,76f9d2465f416fd229d8b578672fbf3381fd034461ed7e3dc64ec3c502f20a06,pass,
upstream_14a_state_change_feature_panel_cache,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/local_cache/14A_full_native_sparse_state_change_event_utility_preflight/state_change_feature_panel.parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/local_cache/14A_full_native_sparse_state_change_event_utility_preflight/state_change_feature_panel.parquet,True,14a_local_row_level_cache,pass,408715.0,122.0,4bf274ae1722b2aeacba948b9e1784179ae3a026ae52710ec0f177749575001e,pass,
