raw_event_arm_id,family_id,parameter_set_id,split_bucket,event_n,rank_source,top20_event_n,bottom20_event_n,rank_ic_winner,rank_ic_fast_fail,rank_ic_utility_50bps,top_bottom_winner_delta,top_bottom_fast_fail_delta,top_bottom_utility_delta_50bps,readout_role
F1_residual_cusum_break__lookback120_z2p5,F1_residual_cusum_break,lookback120_z2p5,robustness,1065,secondary_raw_intensity_percentile_rank,213,213,-0.022019593928311893,-0.07354080714703286,0.0043395210109135425,-0.01877934272300469,-0.10798122065727697,-0.0015371020850265434,diagnostic_secondary_not_for_selection
F1_residual_cusum_break__lookback120_z2p5,F1_residual_cusum_break,lookback120_z2p5,train,2560,secondary_raw_intensity_percentile_rank,512,512,-0.05094996782144719,-0.07969335173796815,-0.040708049938445776,-0.037109375,-0.087890625,-0.005365383373775628,diagnostic_secondary_not_for_selection
F1_residual_cusum_break__lookback120_z2p5,F1_residual_cusum_break,lookback120_z2p5,validation,462,secondary_raw_intensity_percentile_rank,92,92,-0.017579314962375293,-0.017339101201299792,-0.04974253744658937,-0.032608695652173905,-0.05434782608695654,-0.001600151587764543,diagnostic_secondary_not_for_selection
F1_residual_cusum_break__lookback120_z3p0,F1_residual_cusum_break,lookback120_z3p0,robustness,1071,secondary_raw_intensity_percentile_rank,214,214,0.0110757207150972,-0.05499718199166622,-0.012492801011200979,0.004672897196261683,-0.04672897196261683,-0.00579091863970381,diagnostic_secondary_not_for_selection
F1_residual_cusum_break__lookback120_z3p0,F1_residual_cusum_break,lookback120_z3p0,train,2520,secondary_raw_intensity_percentile_rank,504,504,-0.047447093429535604,-0.06074975305860917,-0.041503621667179975,-0.053571428571428575,-0.08134920634920634,-0.006516000207392687,diagnostic_secondary_not_for_selection
F1_residual_cusum_break__lookback120_z3p0,F1_residual_cusum_break,lookback120_z3p0,validation,453,secondary_raw_intensity_percentile_rank,91,91,-0.02914865579504539,-0.04387829701105739,-0.019623961528417597,-0.04395604395604395,0.0,-0.004684829531436365,diagnostic_secondary_not_for_selection
F1_residual_cusum_break__lookback60_z2p5,F1_residual_cusum_break,lookback60_z2p5,robustness,1060,secondary_raw_intensity_percentile_rank,212,212,-0.005150745650857111,-0.04037305435719543,-0.0013460436024264385,-0.014150943396226412,-0.06603773584905659,0.00046181544031349657,diagnostic_secondary_not_for_selection
F1_residual_cusum_break__lookback60_z2p5,F1_residual_cusum_break,lookback60_z2p5,train,2611,secondary_raw_intensity_percentile_rank,522,522,-0.02301533641934138,-0.0703463689036245,-0.03467268478034032,-0.032567049808429116,-0.103448275862069,-0.0028549793739703084,diagnostic_secondary_not_for_selection
F1_residual_cusum_break__lookback60_z2p5,F1_residual_cusum_break,lookback60_z2p5,validation,467,secondary_raw_intensity_percentile_rank,93,93,0.038095694585787654,-0.04509226485241541,0.02013513084412357,0.010752688172043001,-0.06451612903225806,0.015395181259387058,diagnostic_secondary_not_for_selection
F1_residual_cusum_break__lookback60_z3p0,F1_residual_cusum_break,lookback60_z3p0,robustness,1082,secondary_raw_intensity_percentile_rank,216,216,-0.011790592282351783,-0.04915341730516359,-0.012512539321435607,-0.018518518518518517,-0.055555555555555525,-0.0045201233788016194,diagnostic_secondary_not_for_selection
F1_residual_cusum_break__lookback60_z3p0,F1_residual_cusum_break,lookback60_z3p0,train,2546,secondary_raw_intensity_percentile_rank,509,509,-0.02058023589554368,-0.06775012487355982,-0.03212032025234402,-0.017681728880157177,-0.09233791748526521,-0.00270855224422693,diagnostic_secondary_not_for_selection
F1_residual_cusum_break__lookback60_z3p0,F1_residual_cusum_break,lookback60_z3p0,validation,461,secondary_raw_intensity_percentile_rank,92,92,-0.03818398659943644,-0.0584435213615277,-0.051543379521168185,-0.05434782608695651,-0.07608695652173908,-0.0065129750934758215,diagnostic_secondary_not_for_selection
F2_compression_to_directional_expansion__ratio1p5,F2_compression_to_directional_expansion,ratio1p5,robustness,958,secondary_raw_intensity_percentile_rank,192,192,-0.009720925118256667,-0.08114788459142576,0.03916827135593388,-0.015625,-0.10416666666666669,0.0041792874992429545,diagnostic_secondary_not_for_selection
F2_compression_to_directional_expansion__ratio1p5,F2_compression_to_directional_expansion,ratio1p5,train,1414,secondary_raw_intensity_percentile_rank,283,283,-0.029431430057453634,0.02088641390953603,-0.03479298438926474,-0.03180212014134276,-0.007067137809187274,-0.005236930852766162,diagnostic_secondary_not_for_selection
F2_compression_to_directional_expansion__ratio1p5,F2_compression_to_directional_expansion,ratio1p5,validation,546,secondary_raw_intensity_percentile_rank,109,109,0.06407599638946591,-0.11180367421088361,0.06272909401119994,0.06422018348623854,-0.16513761467889904,0.0163147361670712,diagnostic_secondary_not_for_selection
F2_compression_to_directional_expansion__ratio2p0,F2_compression_to_directional_expansion,ratio2p0,robustness,653,secondary_raw_intensity_percentile_rank,131,131,-0.009895988705604175,0.03600937300654255,-0.015975209645159315,-0.061068702290076354,0.09923664122137404,-0.013542694019448227,diagnostic_secondary_not_for_selection
