artifact_role,artifact_path,direct_read_status,row_count,column_count,sha256,schema_status,required_column_missing_list,local_cache_lineage_status
pit_cohort_normalized_event_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/local_cache/14A_full_native_sparse_state_change_event_utility_preflight/pit_cohort_normalized_event_panel.parquet,pass,25776,42,466c5deb24465351ce2932b4fbf76a1dbf52e84ca9ca8f8b98e315025eca4786,pass,,pass
sparse_event_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/local_cache/14A_full_native_sparse_state_change_event_utility_preflight/sparse_event_panel.parquet,pass,66881,35,76f9d2465f416fd229d8b578672fbf3381fd034461ed7e3dc64ec3c502f20a06,pass,,pass
state_change_feature_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/local_cache/14A_full_native_sparse_state_change_event_utility_preflight/state_change_feature_panel.parquet,pass,408715,122,4bf274ae1722b2aeacba948b9e1784179ae3a026ae52710ec0f177749575001e,pass,,pass
