stress_dimension,stress_bucket,split_bucket,event_n,rank_ic_fast_fail,rank_ic_utility_50bps,top_bottom_fast_fail_delta,top_bottom_utility_delta_50bps,stress_bucket_status,failure_mode
market_regime_bucket,risk_on,validation,553,-0.0408670610877597,-0.0153968004316415,-0.07043343653250775,-0.00449751625938764,pass,badside_monotonic_utility_not_monotonic
board_bucket,chinext,validation,109,-0.015908776857869192,0.03612749572597268,-0.07142857142857145,-0.019236541545522005,pass,both_monotonic
board_bucket,main_board,validation,444,-0.05102077696678236,-0.020186905675946214,-0.06810035842293907,-0.0013579076740195452,pass,badside_monotonic_utility_not_monotonic
volatility_bucket,high,validation,315,-0.09685944273990087,0.050646142553920644,-0.1108225108225108,0.008008977270035633,pass,both_monotonic
volatility_bucket,low,validation,101,0.06144475979979073,-0.11491688896398672,-0.047058823529411764,-0.009784876341113356,pass,neither_monotonic
volatility_bucket,mid,validation,137,0.04506306127123285,-0.011067966602537149,0.11666666666666664,-0.015248687091528957,pass,neither_monotonic
liquidity_bucket,high,validation,223,-0.15562027532974468,0.016235207611655315,-0.24523809523809526,0.008725835507743352,pass,both_monotonic
liquidity_bucket,low,validation,158,-0.04780463104861867,-0.020545913407878078,-0.12745098039215685,-0.02486253894310087,pass,badside_monotonic_utility_not_monotonic
liquidity_bucket,mid,validation,172,0.11862193142323281,-0.015312938879400537,0.18206521739130435,0.008062041387916023,pass,neither_monotonic
calendar_year,2022,validation,267,-0.040551920559640416,-0.047156259390506466,-0.09425287356321838,0.0031423757919524994,pass,badside_monotonic_utility_not_monotonic
calendar_year,2023,validation,286,-0.011374713153950946,-0.001357952685952548,-0.023481781376518185,-0.00957570348183379,pass,badside_monotonic_utility_not_monotonic
