year,cluster_label,rule_family_id,best_rule_version_id,best_return_after_cost,best_trades,breakout_net_pnl,pullback_net_pnl,evidence,retrospective_explanation_only
2017,pullback_failure_year,ema_state_ema60_base,ema_state_ema60_base__fixed_w05,0.055543288040256655,30,-1929.09364213942,-6327.44647889134,best=ema_state_ema60_base__fixed_w05; return=5.55%; trades=30; cash=26.09%,True
2018,industry_concentration_year,breakdown_repair_fast_failure_diag,breakdown_repair_fast_failure_diag__risk_unit_w03_ind20,0.012236319880586377,65,-99208.32187091117,-25748.004971647257,best=breakdown_repair_fast_failure_diag__risk_unit_w03_ind20; return=1.22%; trades=65; cash=89.64%,True
2019,pullback_failure_year,ema_state_ema60_base,ema_state_ema60_base__fixed_w05,0.12123068731961029,63,-387081.1934764803,-183486.6325869561,best=ema_state_ema60_base__fixed_w05; return=12.12%; trades=63; cash=31.97%,True
2020,industry_concentration_year,ema_state_ema60_base,ema_state_ema60_base__fixed_w05,0.518183344759612,49,66241.55716490746,553155.0656732798,best=ema_state_ema60_base__fixed_w05; return=51.82%; trades=49; cash=24.43%,True
2021,industry_concentration_year,breakdown_repair_layered_diag,breakdown_repair_layered_diag__risk_unit_w03_ind20,0.03664977317919593,94,585247.5480539203,299200.36339910026,best=breakdown_repair_layered_diag__risk_unit_w03_ind20; return=3.66%; trades=94; cash=73.86%,True
2022,pullback_failure_year,breakdown_repair_fast_failure_diag,breakdown_repair_fast_failure_diag__risk_unit_w03_ind20,-0.013457183444783527,73,-574164.798052466,-294720.6027525306,best=breakdown_repair_fast_failure_diag__risk_unit_w03_ind20; return=-1.35%; trades=73; cash=81.82%,True
2023,pullback_failure_year,breakdown_repair_fast_failure_diag,breakdown_repair_fast_failure_diag__risk_unit_w03_ind20,0.008823723312427312,137,-272943.1456350445,-259444.13720459933,best=breakdown_repair_fast_failure_diag__risk_unit_w03_ind20; return=0.88%; trades=137; cash=75.53%,True
2024,pullback_failure_year,breakout_layered_base,breakout_layered_base__fixed_w05,0.10555896984920587,88,393632.8615658044,-192246.96743817325,best=breakout_layered_base__fixed_w05; return=10.56%; trades=88; cash=57.26%,True
