year,instrument,name,industry_name,max_forward_gain_intraday,max_forward_gain_close_confirmed,main_low_date,main_high_date,close_confirmed_peak_date,main_duration_trading_days,episode_count,first_intraday_50pct_date,first_close_confirmed_50pct_date,readable_days_in_year,membership_days_in_year,coverage_status,truncated_by_year_boundary
2017,SH600029,南方航空,交通运输,0.586475906175066,0.5669701041706261,2017-08-07,2017-12-26,2017-12-26,96,1,2017-12-20,2017-12-25,123,123,coverage_ok,False
2017,SH600111,北方稀土,有色金属,0.5749210435904364,0.5291797257870521,2017-07-13,2017-08-10,2017-08-15,19,1,2017-08-08,2017-08-09,93,93,coverage_ok,False
2017,SH600196,复星医药,医药生物,0.719858273019756,0.6954294799904617,2017-07-18,2017-12-25,2017-12-21,109,1,2017-10-25,2017-10-25,123,123,coverage_ok,False
2017,SH600276,恒瑞医药,医药生物,0.5884870914603593,0.5632730682560392,2017-07-10,2017-11-07,2017-11-06,81,1,2017-11-03,2017-11-06,123,123,coverage_ok,True
2017,SH600309,万华化学,基础化工,0.5897319997549304,0.5824625837736368,2017-07-05,2017-10-10,2017-10-10,65,1,2017-09-12,2017-09-12,104,104,coverage_ok,True
2017,SH600519,贵州茅台,食品饮料,0.6466439004325508,0.6298968239484721,2017-07-07,2017-12-29,2017-11-16,120,1,2017-11-10,2017-11-10,123,123,coverage_ok,True
2017,SH600690,海尔智家,家用电器,0.5749292766429512,0.5692742843824545,2017-08-07,2017-11-21,2017-11-21,71,1,2017-11-13,2017-11-21,123,123,coverage_ok,False
2017,SH600703,三安光电,电子,0.7194460214615181,0.6983743556813495,2017-07-13,2017-11-13,2017-11-10,82,1,2017-10-30,2017-11-03,123,123,coverage_ok,False
2017,SH600887,伊利股份,食品饮料,0.6668797392932531,0.6464194011986417,2017-07-10,2017-12-22,2017-12-21,114,1,2017-10-26,2017-10-30,123,123,coverage_ok,True
2017,SH601012,隆基绿能,电力设备,0.9096672424733596,0.8811410448809567,2017-09-11,2017-11-22,2017-11-21,47,1,2017-10-31,2017-11-06,74,74,coverage_ok,True
2017,SH601155,新城控股,房地产,0.5003182455500712,0.4793125216223342,2017-11-13,2017-12-29,2017-12-29,35,1,2017-12-29,,35,35,coverage_ok,True
2017,SH601318,中国平安,非银金融,0.7021897587462933,0.6697809818017222,2017-07-04,2017-11-22,2017-11-21,96,1,2017-11-13,2017-11-16,123,123,coverage_ok,False
2017,SH601336,新华保险,非银金融,0.5010476929074807,0.47380827679395177,2017-07-04,2017-11-22,2017-11-17,96,1,2017-11-22,,123,123,coverage_ok,False
2017,SH601600,中国铝业,有色金属,0.8544152445861628,0.8090691694964884,2017-07-04,2017-09-01,2017-09-04,44,1,2017-08-03,2017-08-07,50,50,coverage_ok,False
2017,SH601601,中国太保,非银金融,0.5584142635896383,0.5149725666783687,2017-07-04,2017-11-20,2017-11-21,94,1,2017-11-17,2017-11-17,123,123,coverage_ok,False
2017,SH601888,中国中免,社会服务,0.6653666840639083,0.6634166357701969,2017-07-10,2017-11-13,2017-11-13,85,1,2017-11-01,2017-11-06,123,123,coverage_ok,True
2017,SH601933,永辉超市,商贸零售,0.8036912636232616,0.7651007366493998,2017-07-27,2017-12-20,2017-12-20,94,1,2017-10-26,2017-10-26,118,118,coverage_ok,True
2017,SH603288,海天味业,食品饮料,0.5267463627888653,0.49339200940974637,2017-07-17,2017-11-10,2017-11-21,79,1,2017-11-08,,123,123,coverage_ok,True
2017,SH603993,洛阳钼业,有色金属,0.8568019340241744,0.7828161546964418,2017-07-04,2017-09-12,2017-09-11,51,1,2017-07-19,2017-07-21,123,123,coverage_ok,False
2017,SZ000001,平安银行,银行,0.6689751441689451,0.6537396021262711,2017-07-05,2017-11-22,2017-11-22,95,1,2017-11-20,2017-11-20,123,123,coverage_ok,False
2017,SZ000002,万科Ａ,房地产,0.6105859893043051,0.6105859893043051,2017-08-17,2017-11-29,2017-11-29,69,1,2017-11-21,2017-11-21,122,122,coverage_ok,True
2017,SZ000063,中兴通讯,通信,0.9619929178291255,0.9034413292388523,2017-08-14,2017-11-22,2017-11-22,67,1,2017-10-30,2017-10-31,123,123,coverage_ok,False
2017,SZ000333,美的集团,家用电器,0.9019248661971313,0.879926720049119,2017-08-07,2017-12-25,2017-12-25,95,1,2017-10-25,2017-10-25,123,123,coverage_ok,False
2017,SZ000568,泸州老窖,食品饮料,0.5224704721873474,0.5187911189033643,2017-07-17,2017-11-16,2017-11-16,83,1,2017-11-16,2017-11-16,123,123,coverage_ok,False
2017,SZ000725,京东方Ａ,电子,0.8473519494915074,0.8193146676593595,2017-08-10,2017-11-08,2017-11-21,59,1,2017-10-25,2017-10-25,123,123,coverage_ok,False
2017,SZ000858,五粮液,食品饮料,0.6501571408295193,0.6218893028108392,2017-09-11,2017-12-21,2017-12-21,68,1,2017-11-16,2017-11-16,123,123,coverage_ok,False
2017,SZ002027,分众传媒,传媒,0.7255277745286954,0.6928982015825869,2017-07-17,2017-12-29,2017-12-29,114,1,2017-11-06,2017-11-17,123,123,coverage_ok,False
2017,SZ002230,科大讯飞,计算机,1.0119389497694375,0.9156030064022207,2017-07-17,2017-11-22,2017-11-22,87,1,2017-08-16,2017-08-16,123,123,coverage_ok,False
2017,SZ002304,洋河股份,食品饮料,0.5396901547057438,0.506787979846993,2017-07-17,2017-11-22,2017-11-21,87,1,2017-10-26,2017-11-21,123,123,coverage_ok,True
2017,SZ002415,海康威视,电子,0.5579896644320046,0.5343642683478862,2017-08-04,2017-11-14,2017-11-13,67,1,2017-11-10,2017-11-10,123,123,coverage_ok,False
2017,SZ002460,赣锋锂业,有色金属,0.5729561515744113,0.5198344850346162,2017-08-22,2017-09-12,2017-09-11,15,1,2017-09-11,2017-09-11,86,86,coverage_ok,False
2017,SZ002466,天齐锂业,有色金属,0.6452944596718584,0.5432031259103076,2017-07-05,2017-09-12,2017-09-11,50,1,2017-09-11,2017-09-11,117,117,coverage_ok,False
2017,SZ002475,立讯精密,电子,0.5177914680430158,0.49693256199994984,2017-07-04,2017-11-22,2017-11-21,95,1,2017-11-21,,122,122,coverage_ok,False
2017,SZ002594,比亚迪,汽车,0.5506866673398729,0.5291039384628704,2017-08-16,2017-11-22,2017-11-22,65,1,2017-10-09,2017-10-09,123,123,coverage_ok,False
2018,SH600009,上海机场,交通运输,0.5551627751811428,0.506690214227848,2018-02-09,2018-07-23,2018-07-18,107,1,2018-07-13,2018-07-16,243,243,coverage_ok,True
2018,SH600276,恒瑞医药,医药生物,0.6394984742539152,0.6220829390416407,2018-02-09,2018-06-07,2018-06-06,76,1,2018-05-28,2018-05-28,243,243,coverage_ok,True
2018,SH600332,白云山,医药生物,0.6659886448350001,0.5834010695585528,2018-04-23,2018-05-29,2018-05-31,24,1,2018-05-15,2018-05-15,170,170,coverage_ok,True
2018,SH600340,华夏幸福,房地产,0.5498138559113512,0.5162942452946295,2018-01-02,2018-02-02,2018-02-01,24,1,2018-02-01,2018-02-01,243,243,coverage_ok,True
2018,SH600398,海澜之家,纺织服饰,0.5866850929065281,0.557558874177555,2018-01-26,2018-05-31,2018-05-31,76,1,2018-05-16,2018-05-31,119,119,coverage_ok,False
2018,SH600436,片仔癀,医药生物,0.6509383771635271,0.6238434399109076,2018-03-23,2018-05-28,2018-05-28,39,1,2018-05-25,2018-05-25,160,160,coverage_ok,True
2018,SH600600,青岛啤酒,食品饮料,0.5568991964177568,0.5407751512157826,2018-03-08,2018-05-28,2018-05-28,54,1,2018-05-28,2018-05-28,148,148,coverage_ok,True
2018,SH601155,新城控股,房地产,0.7454944652515454,0.7081318949605082,2018-01-03,2018-01-29,2018-01-26,19,1,2018-01-24,2018-01-25,239,239,coverage_ok,True
2018,SH601186,中国铁建,建筑装饰,0.5676100719701704,0.5408805007869688,2018-07-06,2018-12-13,2018-12-13,109,1,2018-12-13,2018-12-13,243,243,coverage_ok,False
2018,SH601888,中国中免,社会服务,0.797915685881887,0.754448306440235,2018-01-03,2018-07-18,2018-07-25,131,1,2018-05-29,2018-05-29,243,243,coverage_ok,True
2018,SH603288,海天味业,食品饮料,0.783470303209425,0.7216045438592917,2018-02-09,2018-06-08,2018-06-06,77,1,2018-05-16,2018-05-16,243,243,coverage_ok,True
2018,SH603799,华友钴业,有色金属,0.6684374809265137,0.6228125095367432,2018-01-03,2018-03-15,2018-03-15,43,1,2018-03-01,2018-03-02,139,139,coverage_ok,False
2018,SH603993,洛阳钼业,有色金属,0.5811807332453325,0.5627306545760002,2018-02-09,2018-03-19,2018-03-19,22,1,2018-03-13,2018-03-13,243,243,coverage_ok,False
2018,SZ000063,中兴通讯,通信,0.8455211433701195,0.8382085358038904,2018-07-11,2018-11-16,2018-11-16,87,1,2018-08-27,2018-08-27,204,204,coverage_ok,True
2018,SZ000938,紫光股份,计算机,0.532309406310435,0.5148305960151565,2018-02-07,2018-04-03,2018-04-03,35,1,2018-04-02,2018-04-02,221,221,coverage_ok,False
2018,SZ000963,华东医药,医药生物,0.6119105153149724,0.5495603416639185,2018-02-09,2018-05-29,2018-05-31,69,1,2018-05-16,2018-05-22,218,218,coverage_ok,False
2018,SZ002120,韵达股份,交通运输,0.5766032658248206,0.5671020873234938,2018-02-13,2018-06-07,2018-06-06,73,1,2018-06-06,2018-06-06,221,221,coverage_ok,True
2018,SZ002304,洋河股份,食品饮料,0.509654046446276,0.5066735700643787,2018-03-29,2018-06-13,2018-06-12,51,1,2018-06-12,2018-06-12,243,243,coverage_ok,True
2018,SZ002594,比亚迪,汽车,0.6144066889099074,0.5949152025947699,2018-08-07,2018-11-29,2018-12-13,77,1,2018-11-19,2018-11-20,243,243,coverage_ok,True
2019,SH600009,上海机场,交通运输,0.9393735659957689,0.9089474642149664,2019-01-24,2019-08-27,2019-08-27,144,1,2019-04-23,2019-04-29,244,244,coverage_ok,True
2019,SH600018,上港集团,交通运输,0.8206387063584182,0.766584706134176,2019-01-03,2019-04-15,2019-04-23,67,1,2019-03-13,2019-04-03,244,244,coverage_ok,False
2019,SH600025,华能水电,公用事业,0.6600789947669476,0.6245059999967959,2019-01-02,2019-08-23,2019-08-27,158,1,2019-04-04,2019-07-19,244,244,coverage_ok,True
2019,SH600030,中信证券,非银金融,0.6656870424806913,0.5988244509768295,2019-01-11,2019-03-07,2019-03-07,35,1,2019-02-26,2019-03-06,237,237,coverage_ok,True
2019,SH600031,三一重工,机械设备,1.2778603091024245,1.2377415121746163,2019-01-04,2019-12-31,2019-12-31,242,1,2019-03-04,2019-03-12,244,244,coverage_ok,True
2019,SH600036,招商银行,银行,0.6238175525967062,0.6071229974563377,2019-01-03,2019-11-08,2019-11-07,206,1,2019-06-19,2019-06-19,244,244,coverage_ok,True
2019,SH600048,保利发展,房地产,0.5256870528512185,0.5077658372890308,2019-01-15,2019-12-31,2019-12-30,235,1,2019-10-16,2019-12-30,244,244,coverage_ok,True
2019,SH600115,中国东航,交通运输,0.7833696526027534,0.7833696526027534,2019-01-04,2019-04-04,2019-04-04,60,1,2019-03-29,2019-03-29,244,244,coverage_ok,False
2019,SH600183,生益科技,电子,0.5308788867608034,0.5308788867608034,2019-08-12,2019-09-23,2019-09-23,26,1,2019-09-20,2019-09-23,82,82,coverage_ok,True
2019,SH600196,复星医药,医药生物,0.5651490786039206,0.540554662154771,2019-01-04,2019-04-10,2019-04-10,63,1,2019-04-10,2019-04-10,244,244,coverage_ok,True
2019,SH600276,恒瑞医药,医药生物,1.3327410133059439,1.312477959206063,2019-01-04,2019-11-20,2019-11-19,213,1,2019-03-18,2019-03-28,244,244,coverage_ok,True
2019,SH600309,万华化学,基础化工,1.2291296510890266,1.1891651081234587,2019-01-04,2019-12-31,2019-12-31,242,1,2019-02-26,2019-02-28,244,244,coverage_ok,True
2019,SH600346,恒力石化,基础化工,0.9464525261358794,0.90763057566758,2019-01-31,2019-09-16,2019-10-23,152,1,2019-03-25,2019-03-25,244,244,coverage_ok,True
2019,SH600352,浙江龙盛,基础化工,0.9529880363648551,0.8446214555136775,2019-03-27,2019-04-10,2019-04-08,10,1,2019-04-03,2019-04-03,74,74,coverage_ok,False
2019,SH600383,金地集团,房地产,0.5603985242394209,0.5367373054721074,2019-02-12,2019-12-31,2019-12-31,214,1,2019-12-30,2019-12-30,214,214,coverage_ok,True
2019,SH600436,片仔癀,医药生物,0.5018477971302511,0.4831145080027457,2019-01-07,2019-04-10,2019-04-10,62,1,2019-04-10,,242,242,coverage_ok,True
2019,SH600519,贵州茅台,食品饮料,1.1648587919470836,1.1511542247754631,2019-01-04,2019-11-19,2019-11-20,212,1,2019-04-08,2019-04-08,244,244,coverage_ok,True
2019,SH600547,山东黄金,有色金属,1.0142347937989857,0.9971529597875932,2019-04-29,2019-09-04,2019-08-29,89,1,2019-06-25,2019-06-25,244,244,coverage_ok,True
