year,instrument,episode_rank,low_date,high_date,entry_family,exit_family,signal_search_start,signal_search_end,anchor_search_start,anchor_search_end,search_window_truncated,search_window_truncate_reason,would_have_signal_near_start,first_signal_date,entry_date,entry_price,exit_date,exit_price,signal_lag_trading_days,would_exit_before_high,exit_before_high_reason,missed_reason,gain_before_first_signal_intraday,gain_before_first_signal_close_confirmed,gain_after_first_signal_intraday,gain_lost_by_early_exit,anchor_type_used_for_alignment
2017,SH600029,1,2017-08-07,2017-12-26,ema_state_baseline,ema60_exit_only,2017-08-07,2017-12-26,2017-07-19,2017-09-13,False,,False,,,,,,,False,,no_signal,,,,,first_ema60_reclaim
2017,SH600029,1,2017-08-07,2017-12-26,ema_state_baseline,stop_plus_time,2017-08-07,2017-12-26,2017-07-19,2017-09-13,False,,False,,,,,,,False,,no_signal,,,,,first_ema60_reclaim
2017,SH600029,1,2017-08-07,2017-12-26,breakout_core,layered_exit,2017-08-07,2017-12-26,2017-07-19,2017-09-13,False,,False,,,,,,,False,,no_signal,,,,,first_ema60_reclaim
2017,SH600029,1,2017-08-07,2017-12-26,breakout_core,stop_plus_time,2017-08-07,2017-12-26,2017-07-19,2017-09-13,False,,False,,,,,,,False,,no_signal,,,,,first_ema60_reclaim
2017,SH600029,1,2017-08-07,2017-12-26,breakout_core,fast_failure_exit_diagnostic,2017-08-07,2017-12-26,2017-07-19,2017-09-13,False,,False,,,,,,,False,,no_signal,,,,,first_ema60_reclaim
2017,SH600029,1,2017-08-07,2017-12-26,pullback_original,layered_exit,2017-08-07,2017-12-26,2017-07-19,2017-09-13,False,,False,,,,,,,False,,no_signal,,,,,first_ema60_reclaim
2017,SH600029,1,2017-08-07,2017-12-26,pullback_original,stop_plus_time,2017-08-07,2017-12-26,2017-07-19,2017-09-13,False,,False,,,,,,,False,,no_signal,,,,,first_ema60_reclaim
2017,SH600029,1,2017-08-07,2017-12-26,pullback_strict_trend,layered_exit,2017-08-07,2017-12-26,2017-07-19,2017-09-13,False,,False,,,,,,,False,,no_signal,,,,,first_ema60_reclaim
2017,SH600029,1,2017-08-07,2017-12-26,pullback_strict_money,layered_exit,2017-08-07,2017-12-26,2017-07-19,2017-09-13,False,,False,,,,,,,False,,no_signal,,,,,first_ema60_reclaim
2017,SH600029,1,2017-08-07,2017-12-26,pullback_top_score,layered_exit,2017-08-07,2017-12-26,2017-07-19,2017-09-13,False,,False,,,,,,,False,,no_signal,,,,,first_ema60_reclaim
2017,SH600029,1,2017-08-07,2017-12-26,pullback_strict_trend,fast_failure_exit_diagnostic,2017-08-07,2017-12-26,2017-07-19,2017-09-13,False,,False,,,,,,,False,,no_signal,,,,,first_ema60_reclaim
2017,SH600029,1,2017-08-07,2017-12-26,pullback_original,layered_exit,2017-08-07,2017-12-26,2017-07-19,2017-09-13,False,,False,,,,,,,False,,no_signal,,,,,first_ema60_reclaim
