year,rule_version_id,entry_type,exit_reason,industry_name,market_trend_state,market_width_state,trend_score_bucket,money_ratio_bucket,gap_bucket,initial_risk_bucket,holding_days_bucket,trades,net_pnl,avg_loss_pnl,stop_time_trade_ratio
2017,breakdown_repair_fast_failure_diag__risk_unit_w03_ind20,breakdown_repair,fast_industry_failure,建筑装饰,market_trend_on,width_strong,top20,gt120,flat_up,risk_8_12,d0_3,1,-2134.8490179061873,-2134.8490179061873,0.0
2017,breakdown_repair_fast_failure_diag__risk_unit_w03_ind20,breakdown_repair,ema60_exit,煤炭,market_trend_on,width_strong,top50,gt120,flat_down,risk_4_8,d0_3,2,-2128.538513731958,-1064.269256865979,0.0
2017,breakdown_repair_fast_failure_diag__risk_unit_w03_ind20,breakdown_repair,fast_industry_failure,交通运输,market_trend_on,width_strong,top50,gt120,flat_down,risk_gt12,d0_3,1,-2123.0433605194085,-2123.0433605194085,0.0
2017,breakdown_repair_fast_failure_diag__risk_unit_w03_ind20,breakdown_repair,fast_ema20_failure,煤炭,market_trend_on,width_strong,top20,gt120,flat_down,risk_8_12,d0_3,1,-2084.8619243860257,-2084.8619243860257,0.0
2017,breakdown_repair_fast_failure_diag__risk_unit_w03_ind20,breakdown_repair,fast_industry_failure,交通运输,market_trend_on,width_strong,top50,gt120,flat_down,risk_4_8,d0_3,3,-2084.2366090536125,-694.7455363512041,0.0
2017,breakdown_repair_fast_failure_diag__risk_unit_w03_ind20,breakdown_repair,time_stop,电子,market_trend_on,width_strong,bottom50,080_100,flat_up,risk_4_8,d6_10,1,-1946.07848496437,-1946.07848496437,1.0
2017,breakdown_repair_fast_failure_diag__risk_unit_w03_ind20,breakdown_repair,ema60_exit,有色金属,market_trend_on,width_strong,bottom50,gt120,flat_up,risk_8_12,d0_3,1,-1918.9801298141465,-1918.9801298141465,0.0
2017,breakdown_repair_fast_failure_diag__risk_unit_w03_ind20,breakdown_repair,fast_industry_failure,房地产,market_trend_on,width_strong,top50,gt120,flat_down,risk_gt12,d0_3,2,-1890.2731225490556,-945.1365612745278,0.0
2017,breakdown_repair_fast_failure_diag__risk_unit_w03_ind20,breakdown_repair,ema60_exit,传媒,market_trend_on,width_strong,bottom50,gt120,flat_up,risk_gt12,d0_3,1,-1879.237927246093,-1879.237927246093,0.0
2017,breakdown_repair_fast_failure_diag__risk_unit_w03_ind20,breakdown_repair,ema60_exit,房地产,market_trend_on,width_strong,bottom50,gt120,flat_down,risk_8_12,d0_3,1,-1773.640364313124,-1773.640364313124,0.0
2017,breakdown_repair_fast_failure_diag__risk_unit_w03_ind20,breakdown_repair,ema60_exit,电子,market_trend_on,width_strong,bottom50,gt120,flat_down,risk_8_12,d0_3,1,-1746.3280080795303,-1746.3280080795303,0.0
2017,breakdown_repair_fast_failure_diag__risk_unit_w03_ind20,breakdown_repair,stop_loss,房地产,market_trend_on,width_strong,bottom50,gt120,flat_down,risk_lt4,d6_10,1,-1656.6803827285767,-1656.6803827285767,1.0
